Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ZseaIKt19broBzze3F8hz,"Hello, Anxiety","Hello, Anxiety","Phum Viphurit",2019-03-22,264761,50,false,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:20:41Z,"bedroom pop","Rats Records",0.84,0.495,9,-9.54,1,0.0406,0.589,0.552,0.103,0.808,125.993,4
spotify:track:0TAHhMjG17P5pzlSm1sgSl,"Funky Galileo","Funky Galileo","Sure Sure",2020-03-06,246200,49,false,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:21:00Z,"","Sure Sure",0.802,0.325,10,-9.327,1,0.0466,0.164,0.162,0.156,0.648,110.995,4
spotify:track:6SE4JAo7T8C7XkFka5bbga,"Someone To Spend Time With","Someone To Spend Time With","Los Retros",2019-02-12,173953,68,false,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:21:11Z,"latin indie,bedroom pop","Stones Throw Records",0.816,0.46,9,-13.299,1,0.034,0.0488,0.261,0.106,0.963,89.57,4
spotify:track:58zXQUhb3NXbY2QjhRgTNL,"さよならべいべ","HELP EVER HURT NEVER","Fujii Kaze",2020-05-20,260533,60,false,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:21:23Z,"j-pop","Universal Music LLC",0.61,0.884,9,-5.579,1,0.0426,0.00185,0,0.342,0.806,132.042,4
spotify:track:1haEW65uXhvn0oy4Caiaje,"I Say a Little Prayer","Star Funk","Scary Pockets;KENTON",2018-09-23,162760,38,false,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:23:57Z,"funk,retro soul","Pockets, Inc.",0.674,0.596,0,-8.033,1,0.0545,0.239,0,0.127,0.831,135.92,4
spotify:track:5hC8RfOmpP4QcuMoT2yjIH,"Don't Start Now","Don't Start Now","Pomplamoose",2021-06-28,166718,0,false,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:25:32Z,"","Pomplamoose",0.805,0.569,11,-7.408,0,0.0467,0.0453,0.0741,0.199,0.486,117.974,4
spotify:track:71LsKf3xISiOlY1mj7FFPP,"Happiness Is A Warm Gun - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,164546,61,false,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:32:58Z,"classic rock,psychedelic rock","EMI Catalogue",0.431,0.54,9,-9.6,0,0.0589,0.523,0.00000134,0.169,0.44,139.288,4
spotify:track:2wsBhAFs6Cxk9AGngVpYOK,"Miss America","Born Sinner (Deluxe Version)","J. Cole",2013-06-18,225866,48,true,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:44:05Z,"rap","Roc Nation LLC",0.512,0.677,9,-7.407,0,0.14,0.00425,0.000951,0.142,0.204,172.208,4
spotify:track:1mvDFqbbmgmMmU6U4dIq5m,"Forbidden Fruit (feat. Kendrick Lamar)","Born Sinner (Deluxe Version)","J. Cole;Kendrick Lamar",2013-06-18,268666,63,true,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:44:55Z,"rap,hip hop,west coast hip hop","Roc Nation LLC",0.84,0.504,1,-9.354,1,0.383,0.546,0.00131,0.211,0.406,110.027,4
spotify:track:5cxnSTLzGD1t9xcdmJYFVB,"No Children","Tallahassee","The Mountain Goats",2003-01-27,168306,60,false,60727spb0sfh9ijzix1ya4dxi,2022-01-11T04:46:24Z,"folk punk,anti-folk,indie folk","4AD",0.607,0.411,1,-7.566,1,0.0414,0.603,0.000671,0.103,0.412,84.94,4
