Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Va6NvkegKBXZMK7mOP6Gr,"WhatItDo","WhatItDo","Aphi Tenza",2023-07-04,116819,28,true,60727spb0sfh9ijzix1ya4dxi,2023-07-24T07:27:42Z,"","4664708 Records DK",0.805,0.282,5,-13.898,0,0.264,0.562,0.00204,0.194,0.725,74.997,4
spotify:track:630Ug0XtmhhFvAKo0PNuEI,"Remember Me","Remember Me","UMI",2018-10-08,199226,60,false,60727spb0sfh9ijzix1ya4dxi,2023-07-24T07:50:55Z,"","UMI",0.84,0.344,5,-8.613,0,0.0374,0.456,0.0000336,0.35,0.526,111.994,4
spotify:track:2YIIDMcF9zWJ2xcFSA99lH,"Charge It","We Go Again","ENNY",2023-04-13,185715,65,true,60727spb0sfh9ijzix1ya4dxi,2023-07-24T07:28:11Z,"uk r&b,alternative r&b","FAMM",0.783,0.542,8,-6.793,0,0.114,0.347,0.593,0.201,0.622,127.047,4
spotify:track:1DSl7kRrdWhwntiK6HOLVY,"Sauna","Schvitz","Vulfpeck",2022-12-30,195223,41,false,60727spb0sfh9ijzix1ya4dxi,2023-07-24T08:44:58Z,"funk,funk rock","Vulf Records",0.838,0.338,1,-10.592,1,0.0434,0.0296,0.121,0.115,0.668,94.191,4
spotify:track:6lKCaafKm88sVfYz2u7S4B,"Rich Niggaz","Born Sinner (Deluxe Version)","J. Cole",2013-06-18,276093,64,true,60727spb0sfh9ijzix1ya4dxi,2023-07-24T07:43:56Z,"rap","Roc Nation LLC",0.586,0.717,8,-8.546,0,0.196,0.472,0.00239,0.104,0.306,125.014,4
spotify:track:2qRbZNMMkD8Yl9WlgQ73N5,"Sympathy","Sympathy","Declan McKenna",2023-07-06,185831,26,false,60727spb0sfh9ijzix1ya4dxi,2023-07-24T07:51:51Z,"","Tomplicated Records",0.678,0.76,5,-6.912,1,0.0332,0.263,0.00142,0.198,0.871,113.994,4
spotify:track:4P9mkwYxReeSJDsUvUtAkE,"Mind","What Do You Think About the Car?","Declan McKenna",2017-04-21,260270,39,false,60727spb0sfh9ijzix1ya4dxi,2023-07-24T07:53:35Z,"","Columbia",0.437,0.785,8,-5.781,1,0.0277,0.00465,0.0000695,0.23,0.579,180.928,3
spotify:track:5wxYxygyHpbgv0EXZuqb9V,"on the street (with J. Cole)","on the street (with J. Cole)","j-hope;J. Cole",2023-03-03,214701,63,true,60727spb0sfh9ijzix1ya4dxi,2023-07-24T07:44:32Z,"k-pop,k-rap,rap","BIGHIT MUSIC",0.681,0.821,11,-5.12,0,0.131,0.532,0.00111,0.0921,0.813,94.074,4
spotify:track:3OZzMeazGgm3HnTQXRsXAk,"Be the Wheel","Be the Wheel","Theo Katzman;10 Good Songs",2023-03-10,227095,38,false,60727spb0sfh9ijzix1ya4dxi,2023-07-24T08:16:00Z,"retro soul","10 Good Songs",0.667,0.317,10,-11.174,1,0.0953,0.866,0.0000634,0.0923,0.401,86.594,4
spotify:track:2QLpCGzhaCkva3Q92GKFBM,"Hit the Target","Be the Wheel","Theo Katzman;10 Good Songs",2023-03-10,167725,30,false,60727spb0sfh9ijzix1ya4dxi,2023-07-24T08:16:29Z,"retro soul","10 Good Songs",0.784,0.503,10,-11.286,1,0.305,0.434,0.0000248,0.102,0.683,120.787,4
