Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5lE2EFXt4muvLFMGQg4hZN,"Hypotheticals","Obviously","Lake Street Dive",2021-03-12,230178,71,false,60727spb0sfh9ijzix1ya4dxi,2023-12-17T05:31:54Z,"","Nonesuch",0.69,0.664,1,-6.488,1,0.0562,0.00753,0.00762,0.0496,0.383,164.145,4
spotify:track:6aNY4H68EBdaSdYys3FVHT,"Weekend Love (We Can)","Weekend Love (We Can)","Narysal;Akeem Jahat",2023-10-03,199642,0,false,60727spb0sfh9ijzix1ya4dxi,2023-12-17T06:14:37Z,"malay rap,malay,malaysian pop,malay pop","Cross Ratio Entertainment",0.729,0.621,2,-6.009,1,0.0998,0.471,0,0.398,0.649,84.03,4
spotify:track:6RYZuucXyu3eD2unlLVTmg,"Bakit Pa?","Just Can't Help Feelin'","Jessa Zaragoza",2014-01-01,267154,0,false,60727spb0sfh9ijzix1ya4dxi,2023-12-17T06:19:10Z,"opm,p-pop","PolyEast Records",0.631,0.379,1,-12.025,1,0.0283,0.627,0,0.0947,0.392,129.985,4
spotify:track:3SmkSWNgUw6y1uEtskJbtI,"Take Me by the Hand","sunsets that i had w u","Flamingos in the Tree",2022-06-10,206456,0,false,60727spb0sfh9ijzix1ya4dxi,2023-12-17T06:58:06Z,"","Flamingos in the Tree",0.583,0.462,2,-11.789,1,0.0854,0.547,0,0.117,0.501,126.983,4
spotify:track:1BDZMlcnaZiRq1ZdT0AKIz,"Kahit Maputi Na Ang Buhok Ko","Kahit Maputi Na Ang Buhok Ko","Joseph Vincent",2017-04-29,131500,44,false,60727spb0sfh9ijzix1ya4dxi,2023-12-17T07:10:12Z,"","Joseph Vincent",0.859,0.111,5,-16.634,1,0.0404,0.924,0.00133,0.105,0.419,105.031,4
spotify:track:6ywzdDgKmTBBvJzDA91XKJ,"Julie.","Neptune","Gallant",2021-03-26,231733,43,true,60727spb0sfh9ijzix1ya4dxi,2023-12-17T08:55:12Z,"alternative r&b","Gallant / EMPIRE",0.424,0.647,2,-6.593,0,0.156,0.293,0,0.209,0.571,147.681,4
spotify:track:6vX00oaG3bMuNBKxapoPYO,"Kollage","The Loveliest Time","Carly Rae Jepsen",2023-07-28,256528,49,false,60727spb0sfh9ijzix1ya4dxi,2023-12-19T22:39:25Z,"","Silent Records IGA",0.604,0.538,2,-7.85,0,0.033,0.306,0.001,0.0829,0.368,151.658,4
spotify:track:1MmDfBzGsWKXb0rQfTyvOy,"After the Disco","After the Disco","Broken Bells;Danger Mouse;James Mercer",2014-01-13,219290,51,false,60727spb0sfh9ijzix1ya4dxi,2023-12-19T22:39:32Z,"","Columbia",0.729,0.74,9,-5.444,1,0.0258,0.00226,0.0305,0.13,0.966,115.984,4
spotify:track:2QdXar3pthoqEFO9qY4CqZ,"Kygers Hill","Imaginary People","Viv & Riley",2023-09-15,216200,0,false,60727spb0sfh9ijzix1ya4dxi,2023-12-19T22:39:36Z,"americana","Free Dirt Records",0.654,0.624,11,-6.584,1,0.0288,0.23,0.000379,0.0733,0.444,128.998,4
spotify:track:1Fav4xZn60uGM3XmiHJmvT,"One Of Your Girls","Something To Give Each Other","Troye Sivan",2023-10-13,181481,62,false,60727spb0sfh9ijzix1ya4dxi,2023-12-19T22:39:41Z,"","EMI Recorded Music Australia Pty Ltd",0.635,0.648,11,-7.78,0,0.0548,0.101,0.00426,0.198,0.8,93,4
