Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7xvpgEWTUWekq9uBcyW3yu,"Cheapest Flight","Futures","PREP",2016-10-14,268460,51,false,60727spb0sfh9ijzix1ya4dxi,2025-01-13T13:04:21Z,"","Jeffrey International",0.676,0.653,5,-5.228,0,0.0371,0.285,0.0000121,0.137,0.562,80.002,4
spotify:track:6doY5sLPHdE4g7RUQdYSz6,"Run Away","47","Chezile",2024-02-27,159650,66,false,60727spb0sfh9ijzix1ya4dxi,2025-01-26T22:20:23Z,"","Chezile / 10K Projects",0.663,0.595,10,-6.414,1,0.0309,0.485,0.526,0.0663,0.729,148.242,4
spotify:track:3BcNAUgEbT22O0K0DkUGFi,"Coming Home Isn't Easy (feat. Phum Viphurit)","Coming Home Isn't Easy (feat. Phum Viphurit)","Summer Salt;Phum Viphurit",2024-01-19,190525,31,false,60727spb0sfh9ijzix1ya4dxi,2025-02-07T17:40:28Z,"bedroom pop","2024 Summer Salt",0.589,0.609,7,-6.717,1,0.0251,0.0625,0.011,0.329,0.603,98.069,4
spotify:track:5LIwaG8Wl9LfExcmiRQm7J,"Send It On","Voodoo","D'Angelo",2000-01-01,356493,64,false,60727spb0sfh9ijzix1ya4dxi,2025-02-21T15:18:43Z,"neo soul","Virgin Records",0.788,0.258,5,-11.758,1,0.104,0.171,0.00721,0.326,0.335,127.492,3
spotify:track:2OKnxmALCPQARJTzSn4vD7,"Twilight","Forge Your Own Chains: Heavy Psychedelic Ballads and Dirges 1968-1974","Shin Jung Hyun & The Men;Jang Hyun",2009-11-17,336319,21,false,60727spb0sfh9ijzix1ya4dxi,2025-02-21T15:31:08Z,"psychedelic rock","Now Again Records",0.243,0.419,9,-7.771,0,0.0303,0.106,0.869,0.107,0.328,142.918,4
spotify:track:0NIh5j1CfLpDHvoOCaUnaU,"Blow Spring Breeze","Now","Kim Jung Mi",1973,115040,27,false,60727spb0sfh9ijzix1ya4dxi,2025-02-21T15:31:40Z,"","Lion Productions",0.66,0.304,0,-15.532,1,0.044,0.342,0.573,0.108,0.961,122.429,4
spotify:track:60PZulEPKAOdSWueZ1W5pQ,"Love Song To My Parents","2015 Tae Jin-Ah 'Sarang Taryeong'","Tae Jin-Ah",2014-12-10,210373,5,false,60727spb0sfh9ijzix1ya4dxi,2025-02-21T15:34:10Z,"","JIN-AH ENTERTAINMENT",0.414,0.586,11,-6.18,0,0.0308,0.61,0.00000381,0.185,0.531,143.754,4
spotify:track:5mmD2cKnJGK2zlxweQXBw5,"Woman's Life","Yearning","Lee Mi Ja",2014-03-01,199653,9,false,60727spb0sfh9ijzix1ya4dxi,2025-02-21T15:35:37Z,"enka","Super Star Record",0.402,0.386,5,-9.152,1,0.0331,0.928,0.416,0.12,0.29,127.577,4
spotify:track:77mmpy5QUbgWfByfpMjytu,"Your Dream","Now","Kim Jung Mi",1973,326813,32,false,60727spb0sfh9ijzix1ya4dxi,2025-02-21T15:53:19Z,"","Lion Productions",0.545,0.416,0,-14.886,1,0.0307,0.327,0.0743,0.166,0.413,137.588,4
spotify:track:2cyH63Rzf19Q43R4GBpVuD,"It's Raining","Now","Kim Jung Mi",1973,252720,24,false,60727spb0sfh9ijzix1ya4dxi,2025-02-21T16:06:53Z,"","Lion Productions",0.59,0.229,6,-16.734,0,0.0437,0.835,0.0339,0.0989,0.628,75.943,4
