Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6XrTwqp0vMc2Z3m4ttoyRe,"Michelle","Party Favors","Sir Chloe",2020-10-23,214087,69,false,60727spb0sfh9ijzix1ya4dxi,2025-01-09T16:37:37Z,"","Terrible Records",0.366,0.439,4,-5.238,1,0.0298,0.0781,0.0000192,0.108,0.11,115.94,3
spotify:track:7pB8DoQuLCT6IbgSCXAmhG,"Should I","I Am The Dog","Sir Chloe",2023-05-19,148301,46,false,60727spb0sfh9ijzix1ya4dxi,2025-01-09T16:43:33Z,"","Atlantic Records",0.644,0.735,11,-5.651,0,0.0759,0.0164,0.0000128,0.118,0.75,119.963,4
spotify:track:5vWAgdYgGN5WXzKvfNwx2E,"Mercy","Mercy","Sir Chloe",2022-03-01,179192,49,false,60727spb0sfh9ijzix1ya4dxi,2025-01-09T16:46:52Z,"","P2022",0.549,0.324,8,-9.406,1,0.0307,0.0717,0,0.0832,0.199,161.881,4
spotify:track:2RZWiishrE4Tygv9R7zuZe,"Animal","Party Favors","Sir Chloe",2020-10-23,160518,66,false,60727spb0sfh9ijzix1ya4dxi,2025-01-09T16:49:57Z,"","Terrible Records",0.495,0.457,7,-6.072,1,0.0306,0.407,0.00000125,0.142,0.342,82.825,4
spotify:track:4fPBB44eDH71YohayI4eKV,"You Only Live Once","First Impressions Of Earth","The Strokes",2006-01-03,189226,71,false,60727spb0sfh9ijzix1ya4dxi,2025-01-09T23:24:48Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,4
spotify:track:1ZseaIKt19broBzze3F8hz,"Hello, Anxiety","Hello, Anxiety","Phum Viphurit",2019-03-22,264761,50,false,60727spb0sfh9ijzix1ya4dxi,2025-01-10T00:34:28Z,"bedroom pop","Rats Records",0.84,0.495,9,-9.54,1,0.0406,0.589,0.552,0.103,0.808,125.993,4
spotify:track:1camd9eP6HEbhNjXww8FKN,"Sunflower","Sunflower","Michele Leigh",2020-04-21,165254,54,false,60727spb0sfh9ijzix1ya4dxi,2025-01-10T21:16:26Z,"","Revolution Records",0.683,0.273,7,-11.458,1,0.0285,0.324,0.0000379,0.244,0.719,90.059,4
spotify:track:3jjsRKEsF42ccXf8kWR3nu,"Washing Machine Heart","Be the Cowboy","Mitski",2018-08-17,128198,83,false,60727spb0sfh9ijzix1ya4dxi,2025-01-10T21:16:44Z,"","Dead Oceans",0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,4
spotify:track:5lE2EFXt4muvLFMGQg4hZN,"Hypotheticals","Obviously","Lake Street Dive",2021-03-12,230178,71,false,60727spb0sfh9ijzix1ya4dxi,2025-01-11T18:37:14Z,"","Nonesuch",0.69,0.664,1,-6.488,1,0.0562,0.00753,0.00762,0.0496,0.383,164.145,4
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,82,false,60727spb0sfh9ijzix1ya4dxi,2025-01-15T15:29:35Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:4VFGpluBaU1WcquEMzhSz6,"Wild Blue","Sob Rock","John Mayer",2021-07-16,252413,64,false,60727spb0sfh9ijzix1ya4dxi,2025-01-23T14:17:17Z,"singer-songwriter","Columbia",0.816,0.596,0,-8.989,1,0.0294,0.557,0.812,0.0842,0.876,123.027,4
spotify:track:5CjwXdq5Z73Va0XCPFG5Aq,"The Good Life","Pinkerton","Weezer",1996-09-24,257000,57,true,60727spb0sfh9ijzix1ya4dxi,2025-02-03T01:51:55Z,"alternative rock","DGC",0.539,0.893,6,-4.566,1,0.0423,0.14,0,0.339,0.683,135.76,4
spotify:track:5411TEB6tlzvuF5A4oyldr,"Francis Forever","Bury Me At Makeout Creek","Mitski",2014-11-11,149680,74,false,60727spb0sfh9ijzix1ya4dxi,2025-02-03T12:37:45Z,"","Dead Oceans",0.535,0.448,2,-9.167,1,0.0279,0.00262,0.0000194,0.115,0.32,101.986,4
spotify:track:6VoIBz0VhCyz7OdEoRYDiA,"Say It Ain't So - Original Mix","Weezer","Weezer",1994-05-10,258826,78,false,60727spb0sfh9ijzix1ya4dxi,2025-02-05T23:58:55Z,"alternative rock","DGC",0.634,0.551,3,-7.136,1,0.0352,0.00737,0.0000182,0.07,0.453,151.779,4
spotify:track:1a19jsjG2DvbN1fVJonKUU,"Beaches","This Is How Tomorrow Moves","beabadoobee",2024-08-09,230053,79,false,60727spb0sfh9ijzix1ya4dxi,2025-02-06T00:12:54Z,"bedroom pop","Dirty Hit",0.417,0.812,10,-3.979,1,0.0332,0.0154,0.0000211,0.189,0.419,82.002,4
spotify:track:7nZ9CzhiFRPhOQCn7eDSnn,"Vanille fraise","Vanille fraise","L'Impératrice",2015,238183,66,false,60727spb0sfh9ijzix1ya4dxi,2025-02-06T01:55:23Z,"french indie pop,french house,french pop","microqlima",0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,0.66,103.03,4
spotify:track:1zFbBrZmJr1Z49HYe84dBg,"Harvey","Invitation to Her's","Her's",2018-08-24,211165,74,false,60727spb0sfh9ijzix1ya4dxi,2025-03-05T21:45:19Z,"indie","Heist Or Hit Records",0.588,0.855,9,-6.153,1,0.0372,0.0735,0.815,0.128,0.717,141.941,4
spotify:track:2TByc4Do3j8Fq2knuuK2oB,"三部曲","多米力高威威维利星","Oh! Dirty Fingers",2021-04-28,264874,10,false,60727spb0sfh9ijzix1ya4dxi,2025-03-11T11:52:59Z,"chinese rock,chinese indie,taiwanese indie","脏手指武工队",0.397,0.747,6,-9.718,0,0.0654,0.266,0.165,0.115,0.386,99.61,4
spotify:track:0jmKzJmUEKNbC7eU8YfOiA,"Mayonaise - 2011 Remaster","Siamese Dream (Deluxe Edition)","The Smashing Pumpkins",1993,348773,69,false,60727spb0sfh9ijzix1ya4dxi,2025-05-14T20:24:55Z,"alternative rock,rock","Virgin Records",0.482,0.528,10,-10.426,1,0.0272,0.000107,0.543,0.0839,0.0882,146.043,4
