Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6tQZ1DrkecZLpmaYjgfL9n,"""J"" Blues 72","Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974","Shin Joong Hyun",2011-09-12,901480,0,false,patits,2018-10-19T19:56:56Z,"psychedelic rock","Light In The Attic",0.553,0.716,2,-8.154,1,0.0625,0.173,0.86,0.0687,0.613,128.031,4
spotify:track:3AgwEpqxiKsCKiujsO2S4x,"Lady","Shin Joong Hyun & Yup Juns","Shin Joong Hyun",1974-05-14,246920,14,false,patits,2018-09-01T20:04:32Z,"psychedelic rock","Lion Productions, LLC",0.61,0.542,9,-10.165,1,0.0295,0.121,0.314,0.165,0.697,121.01,4
spotify:track:3200xNl3U6UZzf8Vcbsb34,"From Where to Where","From Where To Where","Kim Jung Mi",2011-09-12,200973,0,false,patits,2021-07-27T20:11:48Z,"","Light In The Attic",0.463,0.66,0,-7.175,1,0.0305,0.233,0.48,0.194,0.485,126.385,4
spotify:track:0CGjRPvgYKxJ812XjgrNdJ,"The Rising Sun (Instrumental)","Shin Joong Hyun & Yup Juns","Shin Joong Hyun",1974-05-14,419253,10,false,patits,2018-08-30T16:10:26Z,"psychedelic rock","Lion Productions, LLC",0.558,0.421,0,-13.176,1,0.0364,0.0188,0.877,0.153,0.408,112.476,4
spotify:track:2OKnxmALCPQARJTzSn4vD7,"Twilight","Forge Your Own Chains: Heavy Psychedelic Ballads and Dirges 1968-1974","Shin Jung Hyun & The Men;Jang Hyun",2009-11-17,336319,21,false,patits,2020-11-17T08:12:52Z,"psychedelic rock","Now Again Records",0.243,0.419,9,-7.771,0,0.0303,0.106,0.869,0.107,0.328,142.918,4
spotify:track:0NIh5j1CfLpDHvoOCaUnaU,"Blow Spring Breeze","Now","Kim Jung Mi",1973,115040,27,false,patits,2021-04-01T21:24:57Z,"","Lion Productions",0.66,0.304,0,-15.532,1,0.044,0.342,0.573,0.108,0.961,122.429,4
spotify:track:5HshJOG3lOUEZinx0I3vXf,"Wind","Now","Kim Jung Mi",1973,200106,38,false,patits,2018-10-05T22:17:43Z,"","Lion Productions",0.474,0.454,4,-14.249,0,0.0335,0.759,0.613,0.522,0.699,135.835,4
spotify:track:2ygIR7MZashd2mSxZwfpXQ,"Miss You","Authentic Luxury Of Half A Century, Kpop Vol. 2","하나원",2003-01-01,230893,0,false,patits,2019-04-09T20:05:38Z,"","GAP",0.515,0.358,8,-9.625,1,0.0346,0.752,0.00323,0.179,0.21,108.508,3
spotify:track:0LYQuxMecEk4ciTwvOIuJw,"Think","Shin Joong Hyun & Yup Juns","Shin Joong Hyun",1974-05-14,265786,13,false,patits,2018-10-19T19:58:11Z,"psychedelic rock","Lion Productions, LLC",0.768,0.508,7,-12.024,0,0.0385,0.242,0.00366,0.0844,0.94,120.94,4
spotify:track:2cyH63Rzf19Q43R4GBpVuD,"It's Raining","Now","Kim Jung Mi",1973,252720,24,false,patits,2018-12-28T21:05:14Z,"","Lion Productions",0.59,0.229,6,-16.734,0,0.0437,0.835,0.0339,0.0989,0.628,75.943,4
spotify:track:0p7rBqUbdeJydjBkkHwGCN,"Moon Watching","Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974","Shin Joong Hyun",2011-09-12,156813,0,false,patits,2018-10-05T22:17:38Z,"psychedelic rock","Light In The Attic",0.543,0.805,4,-6.027,1,0.0307,0.815,0.314,0.143,0.952,147.009,4
spotify:track:1Je8rQKWtyKmFka5KLCiA2,"I've Got Nothing to Say","Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974","Shin Joong Hyun",2011-09-12,145480,0,false,patits,2018-08-29T22:40:46Z,"psychedelic rock","Light In The Attic",0.621,0.938,11,-5.233,0,0.152,0.594,0.0671,0.243,0.748,92.773,4
spotify:track:2FqDAcMLhkBEqF8DeXUhbH,"What Am I Going to Do","From Where To Where","KIM CHOO JA",2011-09-12,251320,0,false,patits,2018-08-30T16:10:08Z,"","Light In The Attic",0.368,0.393,2,-9.52,1,0.0285,0.301,0.0134,0.463,0.312,142.481,4
spotify:track:2RxfVCY2Wz34sNp3lD3PEh,"Beautiful Woman","From Where To Where","Shin Joong Hyun",2011-09-12,269426,0,false,patits,2018-10-05T22:17:52Z,"psychedelic rock","Light In The Attic",0.602,0.663,2,-9.404,1,0.0698,0.367,0.241,0.165,0.771,99.217,4
spotify:track:1OJlh6HgNIYpkajF4kt0vE,"I Think There was Someone Else","Shin Joong Hyun & Yup Juns","Shin Joong Hyun",1974-05-14,350320,9,false,patits,2018-08-30T16:09:30Z,"psychedelic rock","Lion Productions, LLC",0.825,0.309,3,-11.857,1,0.0471,0.172,0.04,0.138,0.92,96.826,4
spotify:track:0OnCJaXesiG1B8McnBRboW,"Yama Yama","Le Monde Fabuleux Des Yamasuki","Yamasuki Singers",1969,135093,0,false,patits,2018-08-29T17:28:06Z,"","Jean Kluger",0.696,0.709,2,-8.274,1,0.0586,0.11,0.0000123,0.185,0.336,96.858,4
spotify:track:6uBFcQ0TFjdnS5QUTff2Yb,"Haenim","Now","Kim Jung Mi",1973,413933,35,false,patits,2018-08-30T16:09:48Z,"","Lion Productions",0.307,0.181,7,-16.38,1,0.0322,0.826,0.166,0.112,0.405,76.424,4
spotify:track:77mmpy5QUbgWfByfpMjytu,"Your Dream","Now","Kim Jung Mi",1973,326813,32,false,patits,2018-08-29T16:28:23Z,"","Lion Productions",0.545,0.416,0,-14.886,1,0.0307,0.327,0.0743,0.166,0.413,137.588,4
