Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3OHfY25tqY28d16oZczHc8,"Kill Bill","SOS","SZA",2022-12-09,153946,79,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:10:54Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,4
spotify:track:7J94LZ3lmwI12XRVsOYJZL,"Sugarcoat","Sugarcoat","Kid Bloom",2019-01-18,237900,0,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:11:13Z,"","Kid Bloom Music",0.56,0.699,0,-4.332,1,0.0347,0.346,0,0.0625,0.521,174.048,4
spotify:track:1kwnxJNVl7cwcU98RvMBaR,"Surf","Circles","Mac Miller",2020-01-17,330506,68,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:11:19Z,"","Warner Records",0.828,0.182,1,-13.066,0,0.166,0.754,0.0706,0.15,0.231,147.279,4
spotify:track:1xSmjB0t19q4CSJ0X0ymGB,"Frankenstein","Frankenstein","Claire Rosinkranz",2021-05-14,202248,59,true,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:11:27Z,"","Republic Records",0.826,0.745,2,-6.091,1,0.141,0.13,0.0000132,0.178,0.883,119.92,4
spotify:track:6B1Q7hi48RVUvak1SLoiJX,"Venus Flytrap","Venus Flytrap","Feng Suave",2018-11-30,222122,52,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:11:34Z,"bedroom pop","Feng Suave",0.611,0.453,4,-8.366,1,0.0296,0.533,0.0000178,0.115,0.4,130.925,4
spotify:track:3ejnmVr0MkpFTFlpZ9Lwfi,"as it was - slowed + reverb","as it was (slowed + reverb)","Slawd;Vallvete",2022-11-04,191387,44,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:11:40Z,"","Melodyz Town",0.578,0.404,6,-12.141,1,0.0293,0.718,0.804,0.128,0.417,72.75,4
spotify:track:76tztTt7xAC6E0RZggd9xg,"7PM","7PM","Lilacs.;Lizzy McAlpine",2020-03-07,202105,0,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:11:44Z,"","Lilacs.",0.782,0.512,4,-8.103,1,0.0324,0.297,0.0000324,0.0979,0.658,94.98,4
spotify:track:55bAGINwthFraRx2BgFd07,"I Kissed a Girl, And She Kissed Me","Different State of Mind","Kid Bloom",2016-12-06,155500,49,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:13:33Z,"","Position Music under exclusive license from Kid Bloom",0.756,0.477,10,-12.308,1,0.0399,0.762,0.0621,0.177,0.566,118.02,4
spotify:track:3xyr2xfbSZiZWWGsjLyMFh,"Hotel","6 Of A Billion","Claire Rosinkranz",2021-07-09,134781,54,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:14:01Z,"","Republic Records",0.856,0.656,5,-6.475,1,0.0752,0.484,0,0.559,0.949,133.927,4
spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,"Sofia","Immunity","Clairo",2019-08-02,188386,21,false,60727spb0sfh9ijzix1ya4dxi,2023-02-03T21:14:48Z,"bedroom pop","FADER Label",0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,4
spotify:track:2B4Y9u4ERAFiMo13XPJyGP,"Here, There And Everywhere - Remastered 2009","Revolver (Remastered)","The Beatles",1966-08-05,144880,70,false,60727spb0sfh9ijzix1ya4dxi,2023-02-05T19:38:50Z,"classic rock,psychedelic rock","EMI Catalogue",0.29,0.247,7,-12.125,1,0.0383,0.921,0.00565,0.0917,0.36,165.361,4
