Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4CrSb6QANO8NX2rdLa9Hg7,"God Is Just the Universe","God Is Just the Universe","Corey Kilgannon",2020-04-12,282709,22,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:45:21Z,"","Corey Kilgannon, under exclusive license to Amuseio AB",0.377,0.153,10,-15.459,1,0.0355,0.648,0,0.108,0.285,84.079,4
spotify:track:4Eegpewr60UiKR7w8wfGMH,"Location","For The Sake Of The Rhyme","Madison Cunningham",2019-03-15,203546,10,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:45:33Z,"","Verve Forecast",0.595,0.435,7,-6.392,1,0.0455,0.386,0.0000136,0.112,0.388,115.672,3
spotify:track:5fayurvS00m3T7fcXBkb7e,"End Of The World","Covered In Hether","Hether",2023-03-17,160675,30,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:46:02Z,"bedroom pop","ear slime c/o R&R Digital",0.612,0.175,11,-16.338,0,0.0323,0.97,0.00176,0.131,0.239,95.86,3
spotify:track:5T00EN4oZmDQx3hqVAC4Fx,"Heaven","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,224333,59,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:46:10Z,"","Dead Oceans",0.296,0.296,2,-11.846,1,0.0289,0.875,0.248,0.115,0.328,71.648,4
spotify:track:2cu8qpB68Sv0E1zVQCcpYw,"Going To A Town","Vibrate: The Best Of","Rufus Wainwright",2014-01-01,247013,18,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:46:24Z,"singer-songwriter","Geffen",0.546,0.467,5,-7.263,0,0.0334,0.693,0.00000341,0.334,0.206,124.116,4
spotify:track:4i3ExiCWHemALN24hVn65B,"What Are We Gonna Do Now","I Love My Mom","Indigo De Souza",2018-06-08,204291,52,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:46:29Z,"","Saddle Creek",0.394,0.257,4,-8.588,1,0.0691,0.365,0,0.103,0.11,164.412,5
spotify:track:47k7FCxk7ylTwKCnJ3QTVc,"Brand New City","Lush","Mitski",2012-01-31,132773,68,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:46:50Z,"","Good Harbor",0.482,0.829,5,-5.956,0,0.0587,0.0499,0,0.0824,0.657,148.119,4
spotify:track:35SRuRfp5BvD1yArmXKNHO,"I Just Threw Out The Love Of My Dreams","Pinkerton - Deluxe Edition","Weezer",1996-09-24,157960,73,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:47:58Z,"alternative rock","Geffen",0.413,0.967,6,-3.96,0,0.136,0.00176,0.00000109,0.101,0.279,130.451,4
spotify:track:7yR5ZDif2glYMnFP73uRMm,"Out Like a Light","Out Like a Light","The Honeysticks;Ricky Montgomery",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:48:40Z,"","The Honeysticks",0.522,0.458,11,-7.785,1,0.0275,0.17,0.00244,0.072,0.359,125.973,3
spotify:track:1dyTcli07c77mtQK3ahUZR,"Just","The Bends","Radiohead",1995-03-13,234800,76,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:48:46Z,"art rock,alternative rock","XL Recordings",0.291,0.767,7,-6.913,0,0.0862,0.000401,0.012,0.0763,0.359,175.702,4
spotify:track:31Wlc9ZnraX3JxrvMg9e8H,"3 Boys","3 Boys","Omar Apollo",2023-02-17,209188,55,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:49:07Z,"bedroom pop","Warner Records",0.548,0.456,9,-5.979,1,0.0703,0.813,0.00464,0.122,0.53,173.839,3
spotify:track:30jui3PqevssdIVpjEWM38,"Is there free breakfast here?","Ugly Duck","Hotel Ugly",2023-03-24,129199,66,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:49:26Z,"","Hotel Ugly under exclusive license to Amuseio AB",0.615,0.373,2,-10.173,1,0.0278,0.597,0.00312,0.224,0.337,74.986,4
spotify:track:2pdDaacrQEeT8QH47TiPvr,"You Don't Know","You Don't Know","Nico Play",2025-01-14,176212,55,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T06:59:11Z,"","Nico Play",0.451,0.2,4,-14.183,1,0.0483,0.914,0.112,0.104,0.234,205.794,3
spotify:track:6OiRh4kttAs1YWglvTcYkB,"Alrighty Aphrodite","Being So Normal","Peach Pit",2018-06-28,207813,68,false,60727spb0sfh9ijzix1ya4dxi,2025-09-10T15:16:34Z,"","Columbia",0.534,0.724,6,-4.675,0,0.0495,0.00605,0.0929,0.108,0.503,81.846,4
spotify:track:1gpBDeONibvJyQYEv5HJh9,"Drop the Guillotine","Being So Normal","Peach Pit",2018-06-28,219960,58,false,60727spb0sfh9ijzix1ya4dxi,2025-09-10T15:16:45Z,"","Columbia",0.514,0.881,0,-6.52,1,0.0629,0.0381,0.00000955,0.103,0.577,87.541,4
spotify:track:7xW3rU5rzv4ghw0h8APxuH,"MESS U MADE","MESS U MADE","MICHELLE",2021-10-27,168542,39,true,60727spb0sfh9ijzix1ya4dxi,2025-09-10T15:18:02Z,"bedroom pop","Canvasback/ATL",0.674,0.366,4,-6.539,1,0.0381,0.341,0.0000073,0.125,0.346,126.994,3
spotify:track:3qWdH6gv7I4LmSIhsHJ6JJ,"Aria","Aria","Eugène Bozza;Gerard McChrystal;Shiroma De Silva",2014-02-18,216920,15,false,60727spb0sfh9ijzix1ya4dxi,2025-09-14T20:48:56Z,"chamber music,japanese classical","First Hand Records",0.165,0.0296,7,-19.432,0,0.0396,0.995,0.904,0.0564,0.0478,72.344,3
spotify:track:2aRlCbFg3nN6ORmd47aUJx,"Stop And Think It Over","Tale Of My Lost Love","Female Species",2021-04-09,178026,50,false,60727spb0sfh9ijzix1ya4dxi,2025-09-15T09:07:15Z,"psychedelic rock","Numero Group",0.646,0.399,2,-10.7,0,0.0388,0.569,0.23,0.173,0.757,138.366,4
spotify:track:65sNrvOp2HLlhGTeLJ0nnk,"Being so Normal","Being So Normal","Peach Pit",2018-06-28,220066,56,false,60727spb0sfh9ijzix1ya4dxi,2025-09-15T19:41:09Z,"","Columbia",0.541,0.583,6,-8.886,0,0.0507,0.674,0.00583,0.125,0.295,148.162,4
