Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7szBZqBJuj9eAC8HJ4CyTM,"That I Miss You","That I Miss You","Vansire",2018-07-17,140116,56,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:50:47Z,"bedroom pop","Vansire",0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
spotify:track:3xLOD2jhRXA9CVEfNRHt6C,"What Doesn't Kill You Makes You Paranoid","Blame My Ex","The Beaches",2023-09-15,231518,48,true,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:50:48Z,"","The Beaches",0.42,0.732,4,-4.853,1,0.0374,0.00398,0,0.356,0.627,57.966,4
spotify:track:3jjsRKEsF42ccXf8kWR3nu,"Washing Machine Heart","Be the Cowboy","Mitski",2018-08-17,128198,83,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:50:50Z,"","Dead Oceans",0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,4
spotify:track:5lE2EFXt4muvLFMGQg4hZN,"Hypotheticals","Obviously","Lake Street Dive",2021-03-12,230178,71,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:50:51Z,"","Nonesuch",0.69,0.664,1,-6.488,1,0.0562,0.00753,0.00762,0.0496,0.383,164.145,4
spotify:track:2Zo1PcszsT9WQ0ANntJbID,"Feather","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,185552,83,true,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:50:53Z,"pop","Island Records",0.791,0.694,6,-4.332,0,0.0335,0.0736,0.00000175,0.0958,0.826,123.508,4
spotify:track:1U675HGzKcVxVjdz522XYI,"Stuck On You","When We Were Younger","grentperez",2023-06-02,159477,46,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:50:54Z,"","Fast Friends",0.589,0.679,7,-6.139,1,0.0528,0.0769,0.000456,0.553,0.779,150.02,4
spotify:track:5411TEB6tlzvuF5A4oyldr,"Francis Forever","Bury Me At Makeout Creek","Mitski",2014-11-11,149680,74,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:50:55Z,"","Dead Oceans",0.535,0.448,2,-9.167,1,0.0279,0.00262,0.0000194,0.115,0.32,101.986,4
spotify:track:3ngZf8e29zHlW4gNMQb6IR,"Jobless Monday","Bury Me At Makeout Creek","Mitski",2014-11-11,126746,62,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:51:27Z,"","Dead Oceans",0.434,0.442,5,-11.217,1,0.03,0.00106,0.0136,0.123,0.203,100.019,4
spotify:track:6Ijmj8Z0L31hCp5pLZnT5U,"Numb","Numb","Men I Trust",2019-04-12,219340,69,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:51:34Z,"bedroom pop,indie pop","Independent",0.783,0.303,4,-14.393,1,0.0527,0.811,0.945,0.109,0.65,138.816,4
spotify:track:7pMSBupRMxTmMvoDbESqDy,"Kismet","Blame My Ex","The Beaches",2023-09-15,183873,44,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:52:01Z,"","The Beaches",0.573,0.747,11,-5.191,1,0.0456,0.0353,0.00000332,0.378,0.828,136.005,4
spotify:track:7xLfmCx9jcZNgzlIK7NupN,"Stress Relief","Am I sinking or Am I swimming?","late night drive home",2021-09-17,205714,74,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:52:27Z,"indie","late night drive home, under exclusive license to Amuseio AB",0.519,0.666,8,-7.576,1,0.0318,0.0108,0.000623,0.0781,0.603,139.94,4
spotify:track:6suxUONtPxkEPL3JHGX9SX,"Talk to You","Edits","Ricky Montgomery",2022-12-16,214724,59,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:52:32Z,"","sped up/slowed down",0.514,0.671,2,-7.048,1,0.0287,0.048,0.000218,0.194,0.356,179.934,4
spotify:track:4IiXEeH2j5FAVfCncumgXw,"P.U.N.K. Girl","Atta Girl","Heavenly",1993-01-01,174733,63,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:52:38Z,"jangle pop,riot grrrl","SARAH RECORDS",0.351,0.673,9,-11.863,1,0.111,0.0317,0.000199,0.251,0.76,185.778,4
spotify:track:5i7ThJfYLAzp2DyZuFpF6j,"Heart Of Glass (Live from the iHeart Festival)","Heart Of Glass / Midnight Sky","Miley Cyrus",2020-09-29,213671,1,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:00Z,"","RCA Records Label",0.58,0.908,4,-5.303,1,0.0341,0.000335,0.0000484,0.087,0.427,115.016,4
spotify:track:3FmsKw8ie3KLC5273nH6wD,"Dead Weight","Use Me","PVRIS",2020-08-28,207000,47,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:05Z,"","Warner Records",0.599,0.915,4,-2.087,0,0.0664,0.00593,0.00943,0.484,0.59,119.004,4
spotify:track:1TWNKyNQOBfNUkWWs7FooF,"XS","SAWAYAMA","Rina Sawayama",2020-04-17,201060,57,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:09Z,"","Dirty Hit",0.635,0.929,2,-3.256,0,0.146,0.0854,0.00000114,0.0822,0.59,117.039,4
spotify:track:7ArllcQI3c3ee43yKFSwBs,"Maggot","Almost Famous","Slutever",2016-03-11,146593,48,true,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:13Z,"riot grrrl,queercore","Slutever",0.309,0.957,0,-6.851,1,0.153,0.000818,0.00000472,0.133,0.132,125.594,4
spotify:track:02b5L9jExmkRTdUTqXFzmR,"Primadonna","Electra Heart","MARINA",2012-04-27,221075,41,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:19Z,"","Atlantic Records UK",0.66,0.689,4,-2.671,0,0.0337,0.0884,0,0.0922,0.427,127.98,4
spotify:track:32fSZSbxeVoiZShMQKLc6Z,"My Kink Is Karma","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,222578,69,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:23Z,"","Chappell Roan PS/ Island",0.555,0.599,2,-5.695,1,0.052,0.00925,0,0.102,0.415,86.727,4
spotify:track:7yBjQ29XKxHlxuqycHuvmm,"Wet","Maggot","Dazey and the Scouts",2017-04-13,171575,72,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:27Z,"riot grrrl,queercore","16 Entertainment LLC, under exclusive license from Dazey and The Scouts",0.509,0.922,9,-5.597,0,0.0524,0.0167,0.0000126,0.712,0.649,95.921,4
spotify:track:1kT0mt9AstPDGUJCNiQI0T,"It Only Cost Everything","It Only Cost Everything","Victor Ray",2023-07-21,148146,58,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:34Z,"","ZOZO Records",0.463,0.336,10,-8.217,0,0.044,0.705,0,0.0905,0.589,138.702,3
spotify:track:6c6vULMrRuN4NECs2iB1xe,"The Loneliest Time (feat. Rufus Wainwright)","The Loneliest Time","Carly Rae Jepsen;Rufus Wainwright",2022-10-21,274506,52,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:53:54Z,"singer-songwriter","Silent Records IGA",0.701,0.548,2,-6.255,1,0.0517,0.103,0,0.102,0.509,122.971,4
spotify:track:1H39jAnukCwKGyYe1Azy9Y,"Wall St","Wall St","Boys Go To Jupiter",2023-12-01,233025,0,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:54:00Z,"","nice music idiot",0.444,0.766,5,-5.885,1,0.203,0.155,0.00000277,0.821,0.692,124.904,4
spotify:track:3gjRRs7gmh3Euynu1cau1d,"This December","Montgomery Ricky","Ricky Montgomery",2016-04-08,181920,67,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:54:38Z,"","Warner Records",0.659,0.873,9,-4.873,1,0.0504,0.0253,0,0.132,0.891,139.946,4
spotify:track:61jCFoNIuzQnc9UovuzNVW,"IRIS","Voodoo Blu","Ashes To Amber",2018-10-01,151578,5,false,60727spb0sfh9ijzix1ya4dxi,2024-02-10T16:54:42Z,"","Ashes To Amber under exclusive license to Amuseio AB",0.725,0.543,6,-9.089,1,0.0387,0.28,0.475,0.113,0.415,140.051,4
