Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5By7Pzgl6TMuVJG168VWzS,"Michelle - Remastered 2009","Rubber Soul (Remastered 2009)","The Beatles",1965-12-03,162373,68,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:28:49Z,"classic rock,psychedelic rock","EMI Catalogue",0.578,0.29,5,-12.501,0,0.0341,0.652,0,0.105,0.666,117.403,4
spotify:track:3BQHpFgAp4l80e1XslIjNI,"Yesterday - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,125666,77,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:32:40Z,"classic rock,psychedelic rock","EMI Catalogue",0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.524,4
spotify:track:5FPnjikbwlDMULCCCa6ZCJ,"Daughters","Heavier Things","John Mayer",2003-09-09,239320,67,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:32:52Z,"singer-songwriter","Aware/Columbia",0.674,0.413,2,-7.816,1,0.0274,0.836,0.0000195,0.098,0.503,124.893,3
spotify:track:7Kohy4v3KLWfUXlv9N3feB,"Neon","Room For Squares","John Mayer",2001-08-16,262106,59,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:39:48Z,"singer-songwriter","Aware/Columbia",0.699,0.77,5,-7.658,0,0.036,0.0181,0.000138,0.0644,0.589,101.984,4
spotify:track:15j6KDfMDmWBvXtCEESm0v,"Made for Wesley","Trio","Jimmy Rosenberg;Nomy Rosenberg",2004-03-29,199418,32,false,60727spb0sfh9ijzix1ya4dxi,2019-07-22T01:12:15Z,"swing music,french jazz","Hot Club Records",0.58,0.463,7,-10.07,1,0.0339,0.952,0.86,0.0937,0.749,159.982,4
spotify:track:5jgFfDIR6FR0gvlA56Nakr,"Blackbird - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,138386,79,false,60727spb0sfh9ijzix1ya4dxi,2019-07-24T14:38:53Z,"classic rock,psychedelic rock","EMI Catalogue",0.686,0.127,7,-14.361,1,0.0342,0.754,0.0000141,0.0573,0.372,93.699,4
spotify:track:745H5CctFr12Mo7cqa1BMH,"My Girl","The Temptations Sing Smokey","The Temptations",1965-03-22,165000,80,false,60727spb0sfh9ijzix1ya4dxi,2019-07-25T02:15:02Z,"motown,classic soul,soul","UNI/MOTOWN",0.574,0.418,0,-10.739,1,0.0345,0.636,0,0.0961,0.692,104.57,4
spotify:track:0gDyuX5rdHulQTUyrIdSR1,"Oh My Love - Remastered 2010","Imagine","John Lennon",1971-09-09,168106,57,false,60727spb0sfh9ijzix1ya4dxi,2019-07-25T16:24:35Z,"christmas","EMI Catalogue",0.529,0.104,9,-19.669,1,0.0392,0.985,0.291,0.109,0.183,135.235,4
spotify:track:0L7QCEXQBDAtEyK1x72Sw0,"Where Does the Good Go","So Jealous","Tegan and Sara",2004-09-14,217253,57,false,60727spb0sfh9ijzix1ya4dxi,2019-08-27T15:42:18Z,"","Vapor/Sire",0.741,0.508,3,-6.856,1,0.0302,0.212,0.000114,0.0757,0.841,105.022,4
spotify:track:0LJrw4m55mJcLB8X2IPwpB,"My Valentine","Kisses On The Bottom","Paul McCartney",2012-01-01,194026,47,false,60727spb0sfh9ijzix1ya4dxi,2019-08-31T19:56:20Z,"","Paul McCartney Catalog",0.528,0.207,7,-12.18,0,0.0349,0.912,0.0000246,0.11,0.243,70.306,4
spotify:track:5RXeWHkrfFSaHaUtehoFTW,"Jenny Wren","Chaos And Creation In The Backyard","Paul McCartney",2005-09-12,226720,42,false,60727spb0sfh9ijzix1ya4dxi,2019-09-06T15:34:08Z,"","Paul McCartney Catalog",0.455,0.229,5,-12.297,0,0.0296,0.82,0.00157,0.14,0.367,173.103,4
spotify:track:4JVmESg1JVr2WqecNqFnch,"Walking Back To Georgia","You Don't Mess Around With Jim","Jim Croce",1972-01-01,171666,0,false,60727spb0sfh9ijzix1ya4dxi,2019-09-06T15:40:35Z,"folk rock,singer-songwriter","Rhino",0.685,0.445,6,-10.676,0,0.0393,0.776,0.000154,0.0953,0.809,128.042,4
spotify:track:3Am0IbOxmvlSXro7N5iSfZ,"Strawberry Fields Forever - Remastered 2009","Magical Mystery Tour (Remastered)","The Beatles",1967-11-27,247320,70,false,60727spb0sfh9ijzix1ya4dxi,2019-11-13T15:58:48Z,"classic rock,psychedelic rock","EMI Catalogue",0.39,0.502,10,-12.277,1,0.178,0.336,0.000129,0.0713,0.289,97.873,4
spotify:track:3FrGJ16ee3RS6Ly8n5QL5v,"Shameless","Here We Stand","The Fratellis",2008-01-01,235506,18,false,60727spb0sfh9ijzix1ya4dxi,2019-11-14T03:17:33Z,"","Universal-Island Records Ltd.",0.392,0.942,4,-3.466,1,0.0511,0.0015,0,0.341,0.544,142.954,4
spotify:track:67V2lL3sY4nw0bqeEEp72i,"Never Want to Say It's Love","Safe Trip Home","Dido",2008-11-14,215453,35,false,60727spb0sfh9ijzix1ya4dxi,2019-11-14T03:20:15Z,"","Cheeky Records",0.728,0.402,6,-13.715,0,0.0412,0.224,0.000687,0.174,0.66,132.999,4
