Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5AUzJ1BZhjgsEVbkr4j9fM,"Cry","Cry","Sally Kim",2025-05-30,255326,0,true,23r8wymhex18tc8x9gx8ne8v4,2025-06-12T21:12:58Z,"","Sally Kim.",0.375,0.236,7,-18.334,1,0.0314,0.81,0.138,0.12,0.151,142.583,4
spotify:track:4AajxCEwGEsmHmT4H1TwjY,"undressed","undressed","sombr",2025-03-21,182088,83,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-22T03:52:24Z,"","Warner Records",0.642,0.887,0,-3.883,1,0.0406,0.137,0,0.0829,0.888,115.999,4
spotify:track:0FTmksd2dxiE5e3rWyJXs6,"back to friends","back to friends","sombr",2024-12-27,199032,92,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-13T21:26:20Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:2Co0IjcLTSHMtodwD4gzfg,"I Bet on Losing Dogs","Puberty 2","Mitski",2016-06-17,170240,81,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-13T21:30:44Z,"","Dead Oceans",0.398,0.493,9,-9.561,1,0.0303,0.00347,0.000157,0.106,0.412,82.048,4
spotify:track:3siwsiaEoU4Kuuc9WKMUy5,"No One Noticed","Submarine","The Marías",2024-05-31,236906,90,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-13T21:29:26Z,"bedroom pop","Nice Life/Atlantic",0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4
spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish",2023-07-13,222369,85,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-25T01:46:56Z,"","Darkroom/Interscope Records",0.391,0.084,0,-17.843,1,0.0317,0.953,0,0.0983,0.111,79.449,4
spotify:track:66MP31dDAEV6rsmMKDVm9o,"School Rooftop (Bird Sounds)","School Rooftop (Bird Sounds)","Hisohkah;WMD",2023-05-26,85500,70,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-25T02:06:04Z,"electroacoustic","hisohkah & WMD",0.326,0.0959,4,-32.196,1,0.0585,0.96,0.00431,0.379,0.06,110.149,3
spotify:track:3pyyGVqWvRMq43qtJBzxe0,"Kids","Kids","Current Joys",2015-03-08,269142,2,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-22T03:50:51Z,"lo-fi indie","Current Joys",0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45,4
spotify:track:3QaPy1KgI7nu9FJEQUgn6h,"WILDFLOWER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,261466,93,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-24T20:01:54Z,"","Darkroom/Interscope Records",0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
spotify:track:00RLNHc2jkEjUoCUlFgPVT,"welcome and goodbye","welcome and goodbye","Dream, Ivory",2018-03-31,140643,81,false,23r8wymhex18tc8x9gx8ne8v4,2025-06-02T02:37:24Z,"","Dream, Ivory LLC",0.584,0.717,0,-5.175,0,0.0266,0.0194,0.756,0.0739,0.659,140.031,4
