Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:44LLP8HiZBkfOzyC1PLXGo,"愛不疚","Your Love","Raymond Lam",2008-09-10,230468,46,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,c-pop,mandopop","EEG",0.563,0.526,6,-8.959,0,0.0362,0.532,0.00000105,0.158,0.371,139.996,5
spotify:track:7scQnPn4YQGV8ZgtDNcdu5,"處處吻","Gold Typhoon Best Sellers Series - Miriam Yeung","Miriam Yeung",2015-02-05,199041,40,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,c-pop,mandopop","Gold Typhoon Hong Kong",0.759,0.794,1,-4.734,0,0.0405,0.364,0,0.099,0.77,119.021,4
spotify:track:2Rb4U44Lq8cP38tZpM0krK,"我的驕傲","我的驕傲","Joey Yung",2003-03-25,187732,47,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,c-pop,mandopop,taiwanese pop","EEG",0.656,0.282,10,-8.203,1,0.0327,0.936,0,0.097,0.429,163.896,4
spotify:track:0Eum5dQqpUDgwJiUucG3QU,"心淡","我的驕傲","Joey Yung",2003-03-25,248786,56,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,c-pop,mandopop,taiwanese pop","EEG",0.66,0.487,5,-6.757,1,0.0333,0.7,0,0.159,0.375,125.914,4
spotify:track:5nAu0uysmjw8hcHQgV5Tri,"愛得太遲","Gold Typhoon Best Sellers Series - Leo Ku","Leo Ku",2015-02-05,229067,26,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,c-pop,mandopop","Gold Typhoon Hong Kong",0.718,0.423,5,-6.754,1,0.0317,0.564,0,0.145,0.417,117.006,4
spotify:track:1iTrl4vzxT2YFVi8YeBfvE,"以你為榮","Gold Typhoon Best Sellers Series - Leo Ku","Leo Ku",2015-02-05,248244,12,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,c-pop,mandopop","Gold Typhoon Hong Kong",0.694,0.273,0,-16.037,1,0.0408,0.544,0,0.16,0.401,119.966,4
spotify:track:7A6yaYh5mrj7QD3U8B8tvp,"一事無成","Imperfect Collection","Pakho Chau;Stephanie Cheng",2012-12-18,192786,0,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,c-pop,mandopop","WM Hong Kong",0.907,0.662,1,-3.627,0,0.0554,0.19,0,0.468,0.847,101.036,4
spotify:track:77uktQePd9IdeMPVWlu1cO,"海闊天空","華納廿三週年紀念精選系列 - Beyond","Beyond",1992-07-31,239506,65,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,chinese rock,c-pop,mandopop","WM Hong Kong",0.311,0.311,5,-11.516,1,0.0323,0.69,0,0.195,0.369,76.951,4
spotify:track:2hLBXWw033oLlkWUdX98Zm,"光輝歲月","命運派對","Beyond",2010-01-01,302733,26,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,chinese rock,c-pop,mandopop","Cinepoly Records Co. Ltd.",0.627,0.495,4,-10.874,1,0.0379,0.765,0,0.319,0.475,148.2,4
spotify:track:2VrZjYkt9G32LSXKm9NOxC,"喜歡妳","BEYOND - 25周年","Beyond",2008-01-01,273770,0,false,ta7syiqhmaxtt95btisz1c3hr,2025-11-12T19:37:01Z,"cantopop,chinese rock,c-pop,mandopop","Universal Music",0.525,0.741,0,-6.376,1,0.03,0.768,0.203,0.309,0.353,153.056,4
