Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5erj8jK6bq8MWFnDVv2HtI,"Ravel: String Quartet, M. 35: II. Assez vif - Très rythmé","Debussy, Fauré & Ravel: String Quartets","Maurice Ravel;Quatuor Ébène",2008-10-06,389213,35,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:27:43Z,"impressionism,classical,classical piano,neoclassical,chamber music","Warner Classics",0.286,0.0439,5,-24.745,1,0.042,0.925,0.551,0.147,0.0932,152.867,3
spotify:track:5nGf8c5OytsC5fQQOuE0ip,"Debussy: String Quartet in G Minor, Op. 10, CD 91, L. 85: I. Animé et très décidé","Debussy, Fauré & Ravel: String Quartets","Claude Debussy;Quatuor Ébène",2008-10-06,385373,24,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:27:47Z,"impressionism,classical,classical piano,chamber music","Warner Classics",0.208,0.108,0,-22.155,0,0.0515,0.971,0.769,0.265,0.118,81.04,3
spotify:track:5qCRniPyl9Sst5Jv8NuzQ5,"Sonatine, M. 40: I. Modéré","Ravel: Sonatine / Valses Nobles Et Sentimentales / Gaspard De La Nuit","Maurice Ravel;Dezsö Ranki",2014-07-15,227466,0,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:30:17Z,"impressionism,classical,classical piano,neoclassical,chamber music","Hungaroton",0.295,0.0386,6,-25.853,0,0.0467,0.995,0.919,0.0966,0.0628,73.293,3
spotify:track:2sdhgaUlGB4WhHAw15GSwg,"Debussy: Piano Trio in G Major, CD 5, L. 5: IV. Finale - Appassionato","Debussy: Sonates & Trios","Claude Debussy;Renaud Capuçon;Edgar Moreau;Bertrand Chamayou",2017-11-03,313573,30,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:30:22Z,"impressionism,classical,classical piano,chamber music","Warner Classics",0.257,0.202,5,-17.676,0,0.0446,0.958,0.586,0.208,0.161,108.959,4
spotify:track:4ojn2KcOB22YlMsjbFsNnM,"Spanish Romance, Op. 74: The Smuggler (Transcr. for Concert Performance by Carl Tausig)","The Berlin Recital – Encores","Robert Schumann;Yuja Wang",2018-09-21,120546,15,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:30:28Z,"classical piano,classical,chamber music,impressionism","Deutsche Grammophon (DG)",0.304,0.133,7,-26.156,0,0.0313,0.983,0.93,0.111,0.592,145.645,4
spotify:track:02g2003oxgxEbSoiR8Itar,"Swan Lake, Op. 20, TH. 12: Dance of the Four Swans (Arr. Wild for Piano)","The Berlin Recital – Encores","Pyotr Ilyich Tchaikovsky;Yuja Wang",2018-09-21,89653,18,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:30:32Z,"ballet,classical,orchestral,classical piano,impressionism","Deutsche Grammophon (DG)",0.494,0.118,11,-30.142,0,0.0312,0.985,0.863,0.113,0.768,113.038,4
spotify:track:73FHnUWDmI526kxaHweWal,"Rachmaninov: Prelude No. 1 in C-Sharp Minor, Op. 3 No. 2 ""The Bells of Moscow""","Simon Trpčeski plays Rachmaninov","Sergei Rachmaninoff;Simon Trpčeski",2005-01-17,265480,31,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:30:42Z,"classical,classical piano,concerto,impressionism","Warner Classics",0.342,0.0304,1,-20.867,0,0.0487,0.988,0.898,0.0855,0.212,85.482,5
spotify:track:4hUou1fZlRN8KSpzoqGM22,"Waxman & Bizet: Carmen Fantasia","Paganini, Waxman & Saint-Saëns: Works for Violin and Orchestra","Franz Waxman;Georges Bizet;Maxim Vengerov;Zubin Mehta;Israel Philharmonic Orchestra",1992-03-01,599973,13,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:30:49Z,"score,opera,classical,concerto,orchestral,baroque","Warner Classics International",0.339,0.149,2,-22.843,1,0.0415,0.874,0.414,0.487,0.251,107.208,4
spotify:track:6VKzk7kt8AQMGHLqJIokQx,"Symphony No. 2 in E Minor, Op. 27: III. Adagio","Rachmaninoff: Symphony No. 2 in E Minor, Op. 27 - Lyadov: The Enchanted Lake, Op. 62","Sergei Rachmaninoff;Bergen Philharmonic Orchestra;Andrew Litton",2015-11-06,918706,0,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:30:53Z,"classical,classical piano,concerto,ballet,orchestral,expressionism","BIS",0.073,0.0626,9,-21.459,1,0.0415,0.966,0.905,0.0869,0.0347,79.061,3
spotify:track:1CA5IRs7tPWlrfozSL0MKE,"String Quartet, Op. 11: II. Molto adagio","American Anthem","Samuel Barber;Ying Quartet",2013-03-05,412154,0,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:31:18Z,"classical,chamber music","Sono Luminus",0.1,0.039,10,-26.611,0,0.0469,0.923,0.876,0.103,0.0322,89.603,3
