Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2DnJjbjNTV9Nd5NOa1KGba,"You're So Vain","No Secrets","Carly Simon",1972,258411,77,false,60727spb0sfh9ijzix1ya4dxi,2025-10-01T23:36:59Z,"","Rhino/Elektra",0.66,0.68,0,-8.18,1,0.0313,0.153,0.0000067,0.0784,0.671,106.187,4
spotify:track:1camd9eP6HEbhNjXww8FKN,"Sunflower","Sunflower","Michele Leigh",2020-04-21,165254,54,false,60727spb0sfh9ijzix1ya4dxi,2025-10-02T14:20:47Z,"","Revolution Records",0.683,0.273,7,-11.458,1,0.0285,0.324,0.0000379,0.244,0.719,90.059,4
spotify:track:2omiaJwimfJMlcM6yw2YmA,"Come On Let's Go","The Noise Made By People","Broadcast",2000-03-20,197213,54,false,60727spb0sfh9ijzix1ya4dxi,2025-10-02T22:22:01Z,"dream pop,neo-psychedelic,shoegaze","Warp Records",0.576,0.655,2,-9.669,1,0.029,0.000471,0.1,0.0672,0.336,114.855,4
spotify:track:3gCYle76USfbHa7VDTDg5V,"The Kiss Of Venus (Dominic Fike)","The Kiss Of Venus (Dominic Fike)","Paul McCartney;Dominic Fike",2021-03-11,143530,49,false,60727spb0sfh9ijzix1ya4dxi,2025-10-05T21:54:42Z,"","Capitol Records",0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,4
spotify:track:47rOmlKHPYyMDM3h6L74Sn,"So Alright, Cool, Whatever","Concentrate","The Happy Fits",2018-06-15,191360,55,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:31:13Z,"","The Happy Fits Records",0.685,0.642,0,-5.417,1,0.0372,0.0997,0,0.0343,0.763,130.02,4
spotify:track:5qnVigvU1R795fr1HOSXzY,"Touching Toes","Touching Toes","Olivia Dean",2024-11-15,132000,72,false,60727spb0sfh9ijzix1ya4dxi,2025-10-11T22:17:13Z,"pop soul","PLG - Capitol",0.568,0.281,2,-8.918,1,0.0519,0.914,0,0.15,0.358,129.038,5
spotify:track:7bMJf6O50SB7FuLQi47ep2,"My Love","MY LOVE","Lee Seung Chul",2013-06-18,203899,0,false,60727spb0sfh9ijzix1ya4dxi,2025-10-12T17:13:19Z,"k-ballad","Genie Music Corporation, Stone Music Entertainment",0.679,0.821,1,-5.164,1,0.0281,0.163,0,0.0922,0.54,111.985,4
spotify:track:1irJhcpldknFoEzcqO75qB,"Rolling Back","Ticket To Shangri-La","Young Gun Silver Fox",2022-10-21,223720,34,false,60727spb0sfh9ijzix1ya4dxi,2025-11-06T17:53:57Z,"yacht rock,aor","Dream Break",0.722,0.627,5,-8.378,1,0.0288,0.0446,0.000012,0.108,0.971,117.033,4
spotify:track:6tJQwOhJTw9a6l7C1EEBbP,"Heavy Foot","Heavy Foot","Mon Rovîa",2025-07-25,145058,63,false,60727spb0sfh9ijzix1ya4dxi,2025-11-06T18:57:03Z,"","Nettwerk Music Group",0.677,0.696,11,-8.805,1,0.0367,0.519,0.0000111,0.085,0.963,149.974,4
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,96,false,60727spb0sfh9ijzix1ya4dxi,2025-11-07T23:14:28Z,"pop soul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:33CZB3Ywb7zoMTdyPOS7oM,"Nine One One","Nine One One","Naked Karaoke",2025-03-01,208235,33,true,60727spb0sfh9ijzix1ya4dxi,2025-11-08T04:28:33Z,"","Naked Music",0.77,0.479,9,-9.277,0,0.123,0.332,0.0000199,0.0895,0.786,107.771,4
spotify:track:7iyBmEhGJ5YfdaNKDSNYX7,"Piccolo Amore","QUIT QUIETLY","落日飛車 Sunset Rollercoaster",2025-08-08,280566,47,false,60727spb0sfh9ijzix1ya4dxi,2025-11-08T04:28:55Z,"taiwanese indie,chinese indie,bedroom pop","WM Taiwan",0.536,0.556,9,-7.691,1,0.0376,0.707,0.725,0.0901,0.665,74.991,4
spotify:track:4uTTd2SlalZoG0zVgI63kH,"Tin Man","Holiday","America",1974,209866,71,false,60727spb0sfh9ijzix1ya4dxi,2025-11-09T15:47:48Z,"yacht rock,soft rock,folk rock","Rhino/Warner Records",0.646,0.531,7,-10.785,1,0.0671,0.528,0.0133,0.0836,0.655,172.02,4
