Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1atHLDyVs1mIK4XhL5Sjsx,"Cooley's Reel Backing Track (60 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,388000,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.738,0.626,6,-10.643,0,0.0337,0.111,0.917,0.0699,0.818,119.989,4
spotify:track:2Vdp6kad6ZRavgi2V6PCCR,"Cooley's Reel Backing Track (65 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,358250,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.712,0.611,6,-10.996,0,0.0321,0.0883,0.726,0.0653,0.879,129.992,4
spotify:track:0WzNq0BeLRANEcVJurzdW0,"Cooley's Reel Backing Track (70 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,332750,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.678,0.65,9,-11.303,1,0.0292,0.0696,0.917,0.0769,0.878,140.002,4
spotify:track:4Adk84C0k3T7Rvg6XqdHr3,"Cooley's Reel Backing Track (75 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,310000,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.604,0.707,6,-8.706,0,0.0285,0.0499,0.476,0.08,0.879,149.999,4
spotify:track:67RIRg7DSy8IMp02TaeHJF,"Cooley's Reel Backing Track (80 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,292000,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.62,0.754,6,-10.766,0,0.0303,0.103,0.893,0.0678,0.941,159.994,4
spotify:track:6gFqUBSfZMQk9cdMDmFyW6,"Cooley's Reel Backing Track (85 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,274000,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.583,0.775,6,-10.687,0,0.0296,0.0639,0.902,0.0668,0.911,170.011,4
spotify:track:381622qNewQVQ5ApvocjoF,"Cooley's Reel Backing Track (90 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,258750,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.57,0.769,6,-10.319,0,0.0305,0.0538,0.95,0.0663,0.902,179.986,4
spotify:track:5JORzs197kxarD65Su8ndV,"Cooley's Reel Backing Track (95 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,245000,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.521,0.844,6,-8.252,0,0.0392,0.0231,0.74,0.0514,0.921,189.981,4
spotify:track:3LRMUWlOicT8f0K9V1iFWJ,"Cooley's Reel Backing Track (100 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,233000,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.656,0.815,6,-10.372,0,0.0282,0.0713,0.94,0.0673,0.936,100.007,4
spotify:track:27kGpKKuvdN4IsDIM0M6T7,"Cooley's Reel Backing Track (105 bpm)","Cooley's Reel (Bpm Backing Track)","BPM Celtic Backing Track Project",2021-01-31,221750,0,false,60727spb0sfh9ijzix1ya4dxi,2025-11-02T17:08:49Z,"celtic","la bottega di Jubal",0.654,0.843,6,-10.052,0,0.0283,0.077,0.917,0.0774,0.954,105.009,4
