Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5OUTFH5acycdnf8OVo21Gv,"Television / So Far So Good","Apricot Princess","Rex Orange County",2017-04-26,262600,1,true,60727spb0sfh9ijzix1ya4dxi,2020-04-07T00:42:18Z,"bedroom pop","Rex Orange County",0.405,0.505,5,-7.75,1,0.0458,0.592,0,0.121,0.318,164.971,4
spotify:track:5FMXrphygZ4z3gVDHGWxgl,"Copacabana (At the Copa)","Dance Vault Mixes - Copacabana (At The Copa)","Barry Manilow",2006-09-12,236760,70,false,60727spb0sfh9ijzix1ya4dxi,2020-07-10T06:57:04Z,"yacht rock,adult standards","Arista",0.606,0.899,7,-6.412,0,0.0758,0.333,0.000102,0.0754,0.66,116.735,4
spotify:track:2grjqo0Frpf2okIBiifQKs,"September","The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,215005,76,false,60727spb0sfh9ijzix1ya4dxi,2020-09-26T01:21:03Z,"funk,disco","Columbia/Legacy",0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4
spotify:track:5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Funk Wav Bounces Vol.1","Calvin Harris;Pharrell Williams;Katy Perry;Big Sean;Funk Wav",2017-06-30,223413,78,true,60727spb0sfh9ijzix1ya4dxi,2020-09-26T01:21:15Z,"edm,pop","Columbia",0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,4
spotify:track:0q21FNwES2bbtcduB6kjEU,"Dancing in the Moonlight","Dancing in the Moonlight","King Harvest",1973-01-01,181133,76,false,60727spb0sfh9ijzix1ya4dxi,2020-09-26T01:21:26Z,"","Darbo Music LLC",0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,4
spotify:track:2BY7ALEWdloFHgQZG6VMLA,"Brandy (You're a Fine Girl)","Looking Glass","Looking Glass",1972,189044,75,false,60727spb0sfh9ijzix1ya4dxi,2020-09-26T01:21:30Z,"yacht rock","Epic/Legacy",0.716,0.625,1,-11.369,0,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
spotify:track:6BBGtJ0VvrIP7GIAfim1k3,"Reaper","Reaper","Manwolves",2018-08-24,212384,0,true,60727spb0sfh9ijzix1ya4dxi,2020-09-26T01:21:33Z,"","Manwolves",0.576,0.769,0,-4.276,1,0.0545,0.0304,0.0000949,0.0642,0.707,146.026,4
spotify:track:745H5CctFr12Mo7cqa1BMH,"My Girl","The Temptations Sing Smokey","The Temptations",1965-03-22,165000,80,false,60727spb0sfh9ijzix1ya4dxi,2020-09-26T01:21:43Z,"motown,classic soul,soul","UNI/MOTOWN",0.574,0.418,0,-10.739,1,0.0345,0.636,0,0.0961,0.692,104.57,4
spotify:track:3Am0IbOxmvlSXro7N5iSfZ,"Strawberry Fields Forever - Remastered 2009","Magical Mystery Tour (Remastered)","The Beatles",1967-11-27,247320,70,false,60727spb0sfh9ijzix1ya4dxi,2020-09-26T01:21:46Z,"classic rock,psychedelic rock","EMI Catalogue",0.39,0.502,10,-12.277,1,0.178,0.336,0.000129,0.0713,0.289,97.873,4
spotify:track:4alHo6RGd0D3OUbTPExTHN,"Just What I Needed","The Cars","The Cars",1978-06-06,225626,71,false,60727spb0sfh9ijzix1ya4dxi,2020-09-26T01:21:48Z,"power pop,new wave,classic rock","Elektra Records",0.62,0.579,4,-9.307,1,0.0473,0.0152,0.000064,0.0858,0.691,127.215,4
