Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5lE2EFXt4muvLFMGQg4hZN,"Hypotheticals","Obviously","Lake Street Dive",2021-03-12,230178,71,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:38:07Z,"","Nonesuch",0.69,0.664,1,-6.488,1,0.0562,0.00753,0.00762,0.0496,0.383,164.145,4
spotify:track:6c6vULMrRuN4NECs2iB1xe,"The Loneliest Time (feat. Rufus Wainwright)","The Loneliest Time","Carly Rae Jepsen;Rufus Wainwright",2022-10-21,274506,52,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:38:17Z,"singer-songwriter","Silent Records IGA",0.701,0.548,2,-6.255,1,0.0517,0.103,0,0.102,0.509,122.971,4
spotify:track:0ACoy3rzW779jyh76PI3UD,"On Top of the World","The Shapes I'm In","Stephen Day",2021-08-20,239044,53,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:38:24Z,"pop soul","Stephen Day",0.882,0.477,2,-7.858,1,0.053,0.502,0.0000783,0.0859,0.835,120.015,4
spotify:track:2fvdQ1Uq04qE4RLN5zKBXS,"Disco Yes","Geography","Tom Misch;Poppy Ajudha",2018-04-06,280878,61,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:38:37Z,"indie soul","Beyond The Groove 4",0.926,0.549,9,-6.63,0,0.0935,0.42,0.0399,0.298,0.666,123.044,4
spotify:track:6xkryXuiZU360Lngd4sx13,"Fantasy","Daydream","Mariah Carey",1995-10-03,243493,79,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:38:50Z,"christmas","Columbia",0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322,4
spotify:track:0TAHhMjG17P5pzlSm1sgSl,"Funky Galileo","Funky Galileo","Sure Sure",2020-03-06,246200,49,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:39:07Z,"","Sure Sure",0.802,0.325,10,-9.327,1,0.0466,0.164,0.162,0.156,0.648,110.995,4
spotify:track:1H39jAnukCwKGyYe1Azy9Y,"Wall St","Wall St","Boys Go To Jupiter",2023-12-01,233025,0,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:39:20Z,"","nice music idiot",0.444,0.766,5,-5.885,1,0.203,0.155,0.00000277,0.821,0.692,124.904,4
spotify:track:4M9Op6UQ36mhtjMBuevRYN,"Dress Down","Cologne","Kaoru Akimoto",1986,272533,59,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:41:15Z,"city pop","INVITATION",0.769,0.403,0,-15.134,1,0.051,0.197,0.000191,0.264,0.567,118.007,4
spotify:track:1DrlLvlYd1FIjNavRm6NdX,"Back Pocket","Thrill of the Arts","Vulfpeck",2015-10-09,181259,62,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:43:10Z,"funk,funk rock","Vulf Records",0.839,0.585,2,-7.737,1,0.153,0.478,0.00278,0.0435,0.89,89.821,4
spotify:track:5FMXrphygZ4z3gVDHGWxgl,"Copacabana (At the Copa)","Dance Vault Mixes - Copacabana (At The Copa)","Barry Manilow",2006-09-12,236760,70,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:43:23Z,"yacht rock,adult standards","Arista",0.606,0.899,7,-6.412,0,0.0758,0.333,0.000102,0.0754,0.66,116.735,4
spotify:track:4UQDZlZhGUDoYMohwrY28v,"Virtual Insanity - Remastered 2006","Driving Songs","Jamiroquai",2005-01-01,229360,77,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:44:48Z,"acid jazz","Sony Music CG",0.662,0.949,6,-4.758,1,0.108,0.128,0,0.135,0.516,91.954,4
spotify:track:6ztstiyZL6FXzh4aG46ZPD,"Boogie Wonderland (with The Emotions)","I Am","Earth, Wind & Fire;The Emotions",1979-06,288408,81,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:46:18Z,"funk,disco,motown","Columbia/Legacy",0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4
spotify:track:7szBZqBJuj9eAC8HJ4CyTM,"That I Miss You","That I Miss You","Vansire",2018-07-17,140116,56,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:49:59Z,"bedroom pop","Vansire",0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
spotify:track:6AsF1pBjFMIEMXuA8JgRag,"Dolce Vita","ZYX Italo Disco Collection","Ryan Paris",2009-12-04,451426,57,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:51:54Z,"italo disco,italo dance","ZYX Music",0.881,0.738,5,-9.124,0,0.0406,0.189,0.00205,0.0602,0.958,121.956,4
spotify:track:1MmDfBzGsWKXb0rQfTyvOy,"After the Disco","After the Disco","Broken Bells;Danger Mouse;James Mercer",2014-01-13,219290,51,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:52:08Z,"","Columbia",0.729,0.74,9,-5.444,1,0.0258,0.00226,0.0305,0.13,0.966,115.984,4
spotify:track:0ZwKmu4hPqK2oN0DcVhe8V,"Treasure (Karaoke Version) - Originally Performed By Bruno Mars","Treasure (Karaoke Version) [Originally Performed By Bruno Mars]","Backing Trax Pro",2013,165955,2,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T18:53:17Z,"","Backing Trax Pro",0.801,0.703,0,-6.277,0,0.0388,0.0371,0.927,0.133,0.916,116.036,4
spotify:track:1vMGIZbIkpaLSagdF2ygcV,"Music Sounds Better with You","Music Sounds Better with You","NEIL FRANCES",2017-07-21,198305,69,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T19:20:29Z,"indie soul","Nettwerk Music Group",0.927,0.525,8,-8.256,0,0.0667,0.274,0.238,0.0672,0.778,118.023,4
spotify:track:0ri4EFGPe0GqSl8Mp1yYuE,"Me Da Igual","Me Da Igual","L'Impératrice",2024-03-07,209242,39,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T20:02:31Z,"french indie pop,french house,french pop","microqlima",0.795,0.475,11,-11.634,0,0.0593,0.593,0.121,0.337,0.589,115.03,4
spotify:track:3ODnfFXZP7hLp2fn2KpGGG,"Love's Battery","Love's Battery","HONG JIN YOUNG",2009-06-19,206863,49,false,60727spb0sfh9ijzix1ya4dxi,2024-04-24T14:37:56Z,"","코어콘텐츠미디어",0.718,0.928,1,-3.454,0,0.0297,0.143,0,0.13,0.941,131.041,4
spotify:track:2KRQR1VK6OoJxpwVzwDv72,"Funky Duck","Thrill of the Arts","Vulfpeck",2015-10-09,130770,46,false,60727spb0sfh9ijzix1ya4dxi,2024-04-27T03:55:03Z,"funk,funk rock","Vulf Records",0.805,0.771,10,-6.402,0,0.115,0.305,0.00124,0.103,0.962,81.711,4
spotify:track:6TlkRvPjRQo5VZqIfM0MjA,"Doctor's Orders","The Carol Douglas Album","Carol Douglas",1975-01-01,270533,46,false,60727spb0sfh9ijzix1ya4dxi,2024-11-07T02:32:53Z,"disco","UNIDISC MUSIC INC.",0.662,0.636,0,-14.2,1,0.0336,0.0679,0.737,0.0891,0.963,125.845,4
spotify:track:7aQjPecQdIuNd1sz3KCDhD,"Lovefool","First Band On The Moon (Remastered)","The Cardigans",1996-01-01,193953,84,false,60727spb0sfh9ijzix1ya4dxi,2024-11-12T11:26:35Z,"swedish pop","Universal Music AB",0.704,0.636,9,-6.029,1,0.0252,0.0344,0,0.35,0.89,111.845,4
spotify:track:3l6DqNA32RBgTZgRmF1M5h,"Doctor's Orders - Extended Mix","The Carol Douglas Album","Carol Douglas",1975-01-01,298693,21,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T04:34:21Z,"disco","UNIDISC MUSIC INC.",0.624,0.636,0,-13.829,1,0.0389,0.0574,0.593,0.164,0.963,125.876,4
spotify:track:0UFLbtupYWaDGMS4io94Ml,"Once I Had A Love (AKA The Disco Song) - 1975 Version / Remastered 2001","Plastic Letters","Blondie",1978-02-01,238973,45,false,60727spb0sfh9ijzix1ya4dxi,2025-02-17T19:58:00Z,"","Chrysalis\EMI Records (USA)",0.749,0.512,1,-9.595,0,0.0466,0.0488,0.0000684,0.111,0.499,98.691,4
spotify:track:0d28khcov6AiegSCpG5TuT,"Feel Good Inc.","Demon Days","Gorillaz;De La Soul",2005-05-23,222640,90,false,60727spb0sfh9ijzix1ya4dxi,2025-03-29T13:23:05Z,"jazz rap,east coast hip hop","Parlophone UK",0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4
spotify:track:608uL3XBV8f2MHKNgm32Y3,"Disco Ulysses (Instrumental)","Hill Climber","Vulfpeck",2018-12-07,231084,52,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T05:42:05Z,"funk,funk rock","Vulf Records",0.74,0.707,8,-10.464,0,0.0539,0.0422,0.886,0.0909,0.969,133.715,4
