Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0yLdNVWF3Srea0uzk55zFn,"Flowers","Flowers","Miley Cyrus",2023-01-13,200454,13,false,krisjai8,2023-04-14T18:22:06Z,"","Columbia",0.707,0.681,0,-4.325,1,0.0668,0.0632,0.00000515,0.0322,0.646,117.999,4
spotify:track:0CrcwVLUe8wzLUIXgjXVZJ,"Kill Bill (feat. Doja Cat)","Kill Bill (feat. Doja Cat)","SZA;Doja Cat",2023-04-14,175836,60,true,krisjai8,2023-04-14T18:22:07Z,"r&b","Top Dawg Entertainment/RCA Records",0.629,0.744,5,-6.124,0,0.0409,0.0769,0.247,0.194,0.451,89.021,4
spotify:track:4SqWKzw0CbA05TGszDgMlc,"I Love You So","I Love You So","The Walters",2014-11-28,160239,88,false,krisjai8,2023-04-14T18:22:17Z,"","Warner Records",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,4
spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y,"Club Can't Handle Me (feat. David Guetta)","Only One Flo (Part 1)","Flo Rida;David Guetta",2010-11-24,234560,82,false,krisjai8,2023-04-14T18:22:24Z,"edm","Poe Boy/Atlantic",0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,4
spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,"Barbie Girl","Aquarium (Special Edition)","Aqua",1997-01-01,197960,77,false,krisjai8,2023-04-14T18:22:27Z,"europop,eurodance","Universal Music A/S",0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,4
spotify:track:6hkOqJ5mE093AQf2lbZnsG,"The One That Got Away","Teenage Dream","Katy Perry",2010-01-01,227333,75,false,1257545316,2023-04-14T18:22:29Z,"pop","Capitol Records",0.689,0.795,1,-4.021,0,0.0356,0.000812,0.00000107,0.156,0.876,133.968,4
spotify:track:1qrpoAMXodY6895hGKoUpA,"You Belong With Me (Taylor’s Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,231124,82,false,1257545316,2023-04-14T18:22:34Z,"","Taylor Swift",0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,4
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,89,false,1220437143,2023-04-14T18:22:57Z,"","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
spotify:track:3avYqdwHKEq8beXbeWCKqJ,"Last Friday Night (T.G.I.F.)","Teenage Dream","Katy Perry",2010-01-01,230733,77,false,krisjai8,2023-04-14T18:23:05Z,"pop","Capitol Records",0.652,0.81,3,-3.789,0,0.0406,0.00129,0.0000291,0.667,0.732,126.022,4
spotify:track:5YqltLsjdqFtvqE7Nrysvs,"We Are Never Ever Getting Back Together (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,193146,73,false,krisjai8,2023-04-14T18:23:07Z,"","Taylor Swift",0.567,0.686,7,-6.139,1,0.175,0.0317,0.00000186,0.0732,0.716,172.014,4
spotify:track:60jI0JgMLLj1VggHJVhtRs,"Glory And Gore","Pure Heroine","Lorde",2013-09-27,210737,64,false,krisjai8,2023-04-14T18:23:11Z,"","Universal Music New Zealand Limited",0.689,0.377,1,-8.761,1,0.0397,0.281,0,0.268,0.295,143.947,4
spotify:track:2Sjx8DWZO5zaTyTAmgo2gY,"Gone Girl","SOS","SZA",2022-12-09,244026,64,true,krisjai8,2023-04-14T18:24:42Z,"r&b","Top Dawg Entertainment/RCA Records",0.429,0.438,5,-7.719,1,0.0626,0.561,0,0.139,0.417,150.093,4
spotify:track:68HocO7fx9z0MgDU0ZPHro,"Every Summertime","Every Summertime","NIKI",2021-08-10,215686,76,false,1220437143,2023-04-14T18:23:15Z,"indonesian r&b","MARVEL/Hollywood Records, Inc./Interscope Records",0.628,0.676,6,-4.227,1,0.0424,0.393,0.0000694,0.0978,0.723,78.996,4
spotify:track:1R0a2iXumgCiFb7HEZ7gUE,"Don’t Blame Me","reputation","Taylor Swift",2017-11-10,236413,83,false,1257545316,2023-04-14T18:23:20Z,"","Taylor Swift",0.615,0.534,9,-6.719,0,0.0386,0.106,0.0000176,0.0607,0.193,135.917,4
spotify:track:1zxfRSZcaonV1VXcY0PgY5,"High School in Jakarta","Nicole","NIKI",2022-08-12,219040,0,true,1220437143,2023-04-14T18:23:25Z,"indonesian r&b","88rising Music",0.873,0.488,7,-8.285,0,0.0413,0.531,0.000132,0.153,0.462,119.983,4
spotify:track:152lZdxL1OR0ZMW6KquMif,"Location","American Teen","Khalid",2017-04-27,219080,77,false,1220437143,2023-04-14T18:23:40Z,"","Right Hand Music Group, LLC/RCA Records",0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4
spotify:track:6YuFv5d7iGeNnFMu6xphZl,"Sober","Kauai","Childish Gambino",2014-10-03,252013,1,false,1220437143,2023-04-14T18:23:44Z,"","Glassnote Entertainment Group LLC",0.701,0.591,0,-6.646,1,0.0301,0.0979,0.0000253,0.551,0.423,98.056,4
spotify:track:55Ctj6nVfobn9AcPe6sLG2,"Like","2 Cool 4 Skool","BTS",2013-06-12,231893,68,false,1220437143,2023-04-14T18:24:15Z,"k-pop","BIGHIT MUSIC",0.737,0.723,0,-4.165,0,0.0705,0.303,0,0.26,0.783,100.939,4
spotify:track:0W6I02J9xcqK8MtSeosEXb,"Get Into It (Yuh)","Planet Her","Doja Cat",2021-06-25,138293,72,true,1220437143,2023-04-14T18:24:20Z,"","Kemosabe Records/RCA Records",0.912,0.655,8,-6.029,0,0.162,0.315,0.0000339,0.0894,0.793,91.942,4
spotify:track:0VE4kBnHJUgtMf0dy6DRmW,"Getaway Car","reputation","Taylor Swift",2017-11-10,233626,79,false,1257545316,2023-04-14T18:23:58Z,"","Taylor Swift",0.562,0.689,2,-6.745,1,0.127,0.00465,0.00000223,0.0888,0.351,172.054,4
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,"Kill Bill","SOS","SZA",2022-12-08,153946,83,false,1257545316,2023-04-14T18:24:13Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
spotify:track:1yjY7rpaAQvKwpdUliHx0d,"Still into You","Paramore","Paramore",2013-04-05,216013,83,false,1257545316,2023-04-14T18:24:15Z,"pop punk,emo","Fueled By Ramen",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
spotify:track:5enxwA8aAbwZbf5qCHORXi,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift",2021-11-12,613026,82,true,1257545316,2023-04-14T18:24:24Z,"","Taylor Swift",0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,0.205,93.023,4
spotify:track:6vFsBXYczYsP0H3lgunZOm,"Cloud 9","Honeymoon","Beach Bunny",2020-02-14,147350,1,false,1257545316,2023-04-14T18:24:26Z,"","Mom+Pop",0.637,0.929,4,-3.593,1,0.0491,0.00167,0.0000262,0.344,0.902,80.974,4
spotify:track:0a4MMyCrzT0En247IhqZbD,"Hype Boy","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,179026,78,false,1220437143,2023-04-14T18:24:33Z,"k-pop","ADOR",0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,4
spotify:track:5760o7vIytByWNmmf115wj,"Gotta Get Back (feat. Pink Sweat$)","Gotta Get Back (feat. Pink Sweat$)","P1Harmony;Pink Sweat$",2022-05-26,179333,47,false,1220437143,2023-04-14T18:24:56Z,"k-pop,noise music","ADA Korea",0.733,0.532,0,-4.469,1,0.0553,0.34,0,0.0738,0.719,162.656,4
