Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2tznHmp70DxMyr2XhWLOW0,"Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,79,false,1227291390,2023-01-13T21:09:16Z,"","RCA Records Label",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
spotify:track:1l9hj8jFK4bEsRguwqMrKJ,"Driving to Hawaii","Driving to Hawaii","Summer Salt",2014-10-14,188183,19,false,1227291390,2023-01-13T21:09:46Z,"","Cherry Lime Records",0.348,0.638,7,-4.907,1,0.0403,0.719,0.0000203,0.255,0.299,186.826,3
spotify:track:5T0Ib1Hjhsua7qbGTczU7j,"Mary","Trick","Alex G",2012-11-05,197733,0,true,jnappleseed-us,2023-01-13T21:09:49Z,"","Lucky Number",0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.958,4
spotify:track:5iUQMwxUPdJBFeGkePtM66,"Dang! (feat. Anderson .Paak)","The Divine Feminine","Mac Miller;Anderson .Paak",2016-09-16,305350,70,true,12153289282,2023-01-13T21:10:16Z,"","Warner Records",0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,4
spotify:track:5JRMqkR82k2fdDEAim9SCN,"Peach","ARIZONA BABY","Kevin Abstract",2019-04-25,176732,62,true,12153289282,2023-01-13T21:10:27Z,"","Question Everything/RCA Records",0.646,0.682,7,-5.847,1,0.0759,0.683,0.00000484,0.107,0.421,131.895,4
spotify:track:6YuFv5d7iGeNnFMu6xphZl,"Sober","Kauai","Childish Gambino",2014-10-03,252013,1,false,12153289282,2023-01-13T21:10:34Z,"","Glassnote Entertainment Group LLC",0.701,0.591,0,-6.646,1,0.0301,0.0979,0.0000253,0.551,0.423,98.056,4
spotify:track:7h2nmmoWDi2UpfYKLKWLYB,"Sunflower","Sunflower","Rex Orange County",2017-03-22,252230,73,true,12153289282,2023-01-13T21:10:41Z,"bedroom pop","Rex Orange County",0.548,0.765,6,-4.463,1,0.0525,0.646,0.00378,0.522,0.573,129.933,4
spotify:track:0HAqq2GcQKyi3s87GuN7jU,"Amoeba","Sling","Clairo",2021-07-16,228922,75,false,jnappleseed-us,2023-01-13T22:35:02Z,"bedroom pop","Republic Records",0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,4
spotify:track:4KykoaJQ5UxjCpp3lYkvTE,"Liquor Store Blues (feat. Damian Marley)","Doo-Wops & Hooligans","Bruno Mars;Damian Marley",2010-05-11,229383,64,false,12153289282,2023-01-13T22:38:55Z,"reggae,ragga,roots reggae","Atlantic Records",0.691,0.828,1,-3.909,0,0.0749,0.113,0,0.358,0.678,75.519,4
spotify:track:3vWAF1k5crNOR67wDdupxc,"Woopie","If This Isn’t Nice, I Don’t Know What Is","Still Woozy",2021-08-13,189840,44,true,12153289282,2023-01-13T22:39:00Z,"bedroom pop","Still Woozy Productions Inc., under exclusive license to Interscope Records",0.664,0.777,11,-7.95,1,0.0769,0.128,0.0519,0.185,0.489,93.011,4
