Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0uZFcsx96wzbixsULmrg8o,"Pasilyo","Pasilyo","SunKissed Lola",2022-10-28,270250,75,false,60727spb0sfh9ijzix1ya4dxi,2024-04-07T15:21:08Z,"opm,harana,pinoy indie,p-pop,parang","Independent",0.716,0.61,2,-4.674,1,0.0348,0.42,0.0000277,0.177,0.41,120.069,3
spotify:track:1qEmFfgcLObUfQm0j1W2CK,"Late Night Talking","Harry's House","Harry Styles",2022-05-20,177954,77,false,60727spb0sfh9ijzix1ya4dxi,2024-04-07T15:21:18Z,"","Columbia",0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,4
spotify:track:2fvdQ1Uq04qE4RLN5zKBXS,"Disco Yes","Geography","Tom Misch;Poppy Ajudha",2018-04-06,280878,61,false,60727spb0sfh9ijzix1ya4dxi,2024-04-07T15:24:59Z,"indie soul","Beyond The Groove 4",0.926,0.549,9,-6.63,0,0.0935,0.42,0.0399,0.298,0.666,123.044,4
spotify:track:0Ts1lnK3lYa2dwE2orDJc5,"I Don’t Think That I Like Her","CHARLIE","Charlie Puth",2022-10-07,188507,59,false,60727spb0sfh9ijzix1ya4dxi,2024-04-09T05:38:01Z,"soft pop,pop","Atlantic Records",0.587,0.548,8,-5.846,0,0.0339,0.396,0,0.109,0.713,186.073,4
spotify:track:0QzJS1fQv5l0s1mqKTECRX,"When Memories Snow","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,104253,55,false,60727spb0sfh9ijzix1ya4dxi,2024-04-10T04:21:07Z,"","Dead Oceans",0.188,0.334,2,-10.25,1,0.0346,0.126,0,0.124,0.297,115.118,4
spotify:track:1ZEFYW6nPEvIcsIvymgsLk,"WA-R-R","Love Part 1","Colde",2019-05-31,272000,1,false,60727spb0sfh9ijzix1ya4dxi,2024-04-11T05:12:06Z,"","ADA Korea",0.735,0.358,1,-9.227,0,0.0641,0.873,0,0.102,0.236,112.901,3
spotify:track:4aR9bPMAOFySBuQSbVWF3d,"Smile","Alright, Still (Bonus Track Version)","Lily Allen",2006-05-08,196893,70,true,60727spb0sfh9ijzix1ya4dxi,2024-04-11T14:18:31Z,"","Parlophone UK",0.632,0.639,5,-5.938,1,0.0259,0.00143,0,0.221,0.733,95.506,4
spotify:track:6nXiaXqSZAJuOG6q66mZV1,"Lil Baby Crush","Lil Baby Crush","Jordan Ward",2021-09-08,141520,56,true,60727spb0sfh9ijzix1ya4dxi,2024-04-11T15:58:36Z,"","ARTium Recordings, LLC/Interscope Records",0.858,0.435,6,-9.611,0,0.116,0.566,0.0893,0.106,0.824,136.891,4
spotify:track:0bBnpTvCWQfbq0OEP79CoS,"Question","Question","Fat Night",2018-12-21,256148,0,false,60727spb0sfh9ijzix1ya4dxi,2024-04-12T04:25:12Z,"retro soul","Acrophase Records",0.612,0.382,10,-10.777,1,0.0935,0.692,0.00000208,0.0951,0.598,103.368,4
spotify:track:2QdXar3pthoqEFO9qY4CqZ,"Kygers Hill","Imaginary People","Viv & Riley",2023-09-15,216200,0,false,60727spb0sfh9ijzix1ya4dxi,2024-04-12T04:48:37Z,"americana","Free Dirt Records",0.654,0.624,11,-6.584,1,0.0288,0.23,0.000379,0.0733,0.444,128.998,4
