Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0IN0ST4OUeSCWASMGa8DyP,"Gold Past Life","Gold Past Life","Fruit Bats",2019-06-21,209533,15,false,60727spb0sfh9ijzix1ya4dxi,2024-07-04T20:11:01Z,"","Merge Records",0.803,0.632,0,-8.495,1,0.0313,0.736,0.0374,0.085,0.719,94.002,4
spotify:track:6TW4bM3L1tyiUlCnQUkS1U,"Kids","Canyons","Young Gun Silver Fox",2020-02-21,185506,48,false,60727spb0sfh9ijzix1ya4dxi,2024-07-04T20:11:25Z,"yacht rock,aor","Monty Music Ltd T/A Candelion",0.838,0.635,2,-6.822,1,0.0304,0.254,0.0000436,0.199,0.946,106.918,4
spotify:track:0eGpcLG96GWVCG4Ix3qLCp,"Summer Soft","Songs In The Key Of Life","Stevie Wonder",1976-09-28,254106,53,false,60727spb0sfh9ijzix1ya4dxi,2024-07-04T20:11:37Z,"motown,classic soul,soul","UNI/MOTOWN",0.548,0.615,8,-12.019,0,0.0493,0.374,0.000209,0.09,0.218,104.884,4
spotify:track:6ZjyQjcoNuOaz9dGQzLi2T,"Negroni Summer","Mr Experience","Donny Benét",2020-05-22,228210,38,false,60727spb0sfh9ijzix1ya4dxi,2024-07-04T20:14:32Z,"post-disco","Dot Dash Recordings",0.811,0.541,4,-9.636,0,0.0486,0.0345,0.244,0.0703,0.678,110.996,4
spotify:track:1o0nAjgZwMDK9TI4TTUSNn,"LAX","The Joy of Music, The Job of Real Estate","Vulfpeck;Joey Dosik",2020-10-23,225665,45,false,60727spb0sfh9ijzix1ya4dxi,2024-07-04T20:14:49Z,"funk,funk rock,retro soul,retro pop","Vulf Records",0.8,0.599,0,-7.357,1,0.0344,0.00521,0.00547,0.0587,0.908,128.381,4
spotify:track:3HdcqQpq7zb5GbEKBDY34p,"Humbug Mountain Song","Absolute Loser","Fruit Bats",2016-05-13,184346,59,false,60727spb0sfh9ijzix1ya4dxi,2024-07-04T20:21:21Z,"","Easy Sound Recording Company",0.593,0.926,6,-5.361,0,0.0319,0.0355,0.0582,0.311,0.945,100.011,4
spotify:track:6BJHsLiE47Sk0wQkuppqhr,"From the Start","From the Start","Good Kid",2023-11-10,150047,76,false,60727spb0sfh9ijzix1ya4dxi,2024-07-06T02:05:28Z,"","Good People Record Co.",0.573,0.803,1,-4.142,1,0.0451,0.0225,0,0.0841,0.638,92.909,4
spotify:track:5i7ThJfYLAzp2DyZuFpF6j,"Heart Of Glass (Live from the iHeart Festival)","Heart Of Glass / Midnight Sky","Miley Cyrus",2020-09-29,213671,1,false,60727spb0sfh9ijzix1ya4dxi,2024-07-06T02:07:20Z,"","RCA Records Label",0.58,0.908,4,-5.303,1,0.0341,0.000335,0.0000484,0.087,0.427,115.016,4
spotify:track:3sqNXrDvCy4nid6XbaA2Cg,"Kid Charlemagne","The Royal Scam","Steely Dan",1976-01-01,278800,1,false,60727spb0sfh9ijzix1ya4dxi,2024-07-12T23:02:42Z,"yacht rock,classic rock","Geffen*",0.546,0.697,0,-9.667,1,0.0631,0.272,0.00558,0.649,0.755,96.752,4
spotify:track:4pNiE4LCVV74vfIBaUHm1b,"Sir Duke","Songs In The Key Of Life","Stevie Wonder",1976-09-28,232760,74,false,60727spb0sfh9ijzix1ya4dxi,2024-07-15T01:18:59Z,"motown,classic soul,soul","UNI/MOTOWN",0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,4
spotify:track:6PVx8IYQJdeLa2AIJnnFrj,"Revvin' My Cj7","So Polite","Summer Salt",2017-07-18,168205,23,false,60727spb0sfh9ijzix1ya4dxi,2024-07-18T00:48:35Z,"","Cherry Lime Records",0.762,0.468,10,-7.969,1,0.0464,0.934,0.102,0.115,0.347,119.88,4
spotify:track:7GVvj4zJNVuBJSl6StEfn5,"Only A Fool Would Say That","Can't Buy A Thrill","Steely Dan",1972-11-01,175273,68,false,60727spb0sfh9ijzix1ya4dxi,2024-07-23T20:09:42Z,"yacht rock,classic rock","Geffen",0.759,0.367,0,-19.024,1,0.0367,0.848,0.00000112,0.227,0.96,129.882,4
spotify:track:13toFl1UwJPsRxDiD9jgtn,"As","Songs In The Key Of Life","Stevie Wonder",1976-09-28,428222,67,false,60727spb0sfh9ijzix1ya4dxi,2024-07-26T16:35:49Z,"motown,classic soul,soul","UNI/MOTOWN",0.467,0.869,8,-10.342,0,0.0559,0.0589,0,0.244,0.684,102.376,4
spotify:track:5emxp4RqsF6QoAWXW2Afrk,"Peg","Aja","Steely Dan",1977-09-23,237066,67,false,60727spb0sfh9ijzix1ya4dxi,2025-05-19T05:23:45Z,"yacht rock,classic rock","Geffen",0.778,0.441,7,-15.259,1,0.0314,0.22,0.000652,0.171,0.944,116.918,4
spotify:track:6TlkRvPjRQo5VZqIfM0MjA,"Doctor's Orders","The Carol Douglas Album","Carol Douglas",1975-01-01,270533,46,false,60727spb0sfh9ijzix1ya4dxi,2025-06-01T01:36:43Z,"disco","UNIDISC MUSIC INC.",0.662,0.636,0,-14.2,1,0.0336,0.0679,0.737,0.0891,0.963,125.845,4
