Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1H58ENGMaXYHlcVhOancAN,"故乡的云","跨越四海的歌声","费翔",2011-08-24,263284,35,false,12153289282,2025-11-13T18:54:26Z,"mandopop,taiwanese pop","太平洋影音有限公司",0.457,0.377,3,-14.165,1,0.0285,0.563,0,0.0697,0.265,89.958,4
spotify:track:3Oq1NOawll5D2OXWzmQOWG,"冬天里的一把火","跨越四海的歌声","费翔",2011-08-24,202069,33,false,12153289282,2025-11-13T18:54:31Z,"mandopop,taiwanese pop","太平洋影音有限公司",0.734,0.495,2,-14.435,1,0.0362,0.0229,0.0000126,0.311,0.343,129.278,4
spotify:track:3H11uu3LKRDZfDLHK2dUVW,"读你","四海一心","费翔",2011-11-14,242972,21,false,12153289282,2025-11-13T18:54:54Z,"mandopop,taiwanese pop","太平洋影音有限公司",0.526,0.255,5,-19.561,1,0.0275,0.682,0.00000994,0.156,0.495,88.347,4
spotify:track:5Vnx5i9VJSZ6ayfK6jncf8,"一翦梅","天之大","Fei Yu-ching",2010-04-30,234866,59,false,12153289282,2025-11-13T18:55:03Z,"mandopop,c-pop,taiwanese pop","Columbia",0.29,0.482,6,-8.207,0,0.035,0.145,0.000171,0.12,0.247,141.459,4
spotify:track:3Pjp7lBM20zYzTlRurI6B7,"千里之外","依然范特西","Jay Chou;Fei Yu-ching",2006-09-05,256372,54,false,12153289282,2025-11-13T18:55:08Z,"mandopop,c-pop,taiwanese pop,gufeng,cantopop,chinese r&b","Universal Music Taiwan (JVR)",0.687,0.545,2,-6.398,1,0.0298,0.318,0.00000153,0.0857,0.169,117.995,4
spotify:track:6YigcJsVvp5zDGZmdhKNJ1,"晚安曲","晚安曲","Fei Yu-ching;Chang Li;Chi Tian Zhe Ye;Yang-Fu",1992-05-21,214200,39,false,12153289282,2025-11-13T18:55:41Z,"mandopop,c-pop,taiwanese pop","WM Taiwan",0.204,0.282,1,-13.991,1,0.0315,0.898,0.00221,0.106,0.0874,79.549,4
spotify:track:3svBK6zrkHMMiDVIHliiAy,"新鴛鴦蝴蝶夢","晚安曲","Fei Yu-ching;Chang Li;Chi Tian Zhe Ye;Yang-Fu",1992-05-21,248693,44,false,12153289282,2025-11-13T18:55:50Z,"mandopop,c-pop,taiwanese pop","WM Taiwan",0.47,0.263,10,-14.741,1,0.0311,0.829,0.0016,0.14,0.369,94.147,4
spotify:track:4n4bmiBcnrnYuLSDser3lf,"月亮代表我的心","島國之情歌第四集 香港之戀","Teresa Teng",1977-12-19,208853,49,false,12153289282,2025-11-13T18:56:55Z,"enka,kayokyoku,mandopop,cantopop,c-pop","Universal Music Ltd.",0.467,0.314,1,-10.426,1,0.0284,0.863,0.0302,0.13,0.343,77.938,4
spotify:track:1qSnfG6dFPlAo6kq8OAVED,"我只在乎你","我只在乎你","Teresa Teng",1987-04-01,252146,58,false,12153289282,2025-11-13T18:56:59Z,"enka,kayokyoku,mandopop,cantopop,c-pop","Universal Music Ltd.",0.553,0.478,5,-9.405,1,0.0285,0.915,0.000277,0.277,0.155,140.131,4
spotify:track:3IcsQlSI5QmQfNVjhCKm8r,"時の流れに身をまかせ","Kyou, Kun Sairai Suisan Toei Aizou Tokuten","Teresa Teng",2016-07-08,251426,46,false,12153289282,2025-11-13T18:57:04Z,"enka,kayokyoku,mandopop,cantopop,c-pop","Universal Music Ltd.",0.571,0.407,5,-11.018,1,0.029,0.745,0.00000455,0.144,0.343,143.96,4
spotify:track:4MvfgPiRxSkQTlvPgj7KEl,"甜蜜蜜","難忘的一天","Teresa Teng",1979-09-20,211946,46,false,12153289282,2025-11-13T18:57:26Z,"enka,kayokyoku,mandopop,cantopop,c-pop","Universal Music Ltd.",0.639,0.341,2,-11.805,1,0.0346,0.229,0.00132,0.2,0.416,127.291,4
spotify:track:1jJrx8IKact3kvA8riEcUk,"你怎麼說","鄧麗君15週年","Teresa Teng",1983-12-08,201973,50,false,12153289282,2025-11-13T18:57:38Z,"enka,kayokyoku,mandopop,cantopop,c-pop","Universal Music Ltd.",0.635,0.337,5,-8.317,1,0.03,0.636,0.0000608,0.6,0.477,82.842,4
