Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Zo1PcszsT9WQ0ANntJbID,"Feather","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,185552,83,true,60727spb0sfh9ijzix1ya4dxi,2023-10-24T07:45:58Z,"pop","Island Records",0.791,0.694,6,-4.332,0,0.0335,0.0736,0.00000175,0.0958,0.826,123.508,4
spotify:track:2uFkRg6BICax5y6OUQnkOQ,"I Can Break Your Heart Too","Under My Influence","The Aces",2020-07-17,214662,42,false,60727spb0sfh9ijzix1ya4dxi,2023-10-24T07:46:48Z,"","Red Bull Records",0.656,0.541,7,-7.901,1,0.0394,0.23,0,0.0836,0.722,77.962,4
spotify:track:0OBIHrjv88N4SEtf2INos5,"Heavy","Heavy","POWERS",2017-02-24,234356,49,false,60727spb0sfh9ijzix1ya4dxi,2023-10-24T07:47:03Z,"","Universal Records",0.739,0.689,4,-3.726,0,0.0468,0.00563,0.00000539,0.102,0.897,102.018,4
spotify:track:1jZrlerU1ZWEI7oDPtHPGx,"MESS U MADE","AFTER DINNER WE TALK DREAMS","MICHELLE",2022-03-04,168542,45,true,60727spb0sfh9ijzix1ya4dxi,2023-10-24T07:47:33Z,"bedroom pop","Canvasback/ATL",0.674,0.366,4,-6.539,1,0.0381,0.341,0.0000073,0.125,0.346,126.994,3
spotify:track:6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,83,false,60727spb0sfh9ijzix1ya4dxi,2023-10-24T07:58:04Z,"pop","Jive",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
spotify:track:22sLuJYcvZOSoLLRYev1s5,"Material Girl","Celebration (double disc version)","Madonna",2009-09-18,240280,74,false,60727spb0sfh9ijzix1ya4dxi,2023-10-24T08:05:49Z,"","Warner Records",0.742,0.883,0,-3.419,1,0.0329,0.335,0.00000751,0.0964,0.978,136.506,4
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,84,false,60727spb0sfh9ijzix1ya4dxi,2023-10-24T08:06:30Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
spotify:track:6c6vULMrRuN4NECs2iB1xe,"The Loneliest Time (feat. Rufus Wainwright)","The Loneliest Time","Carly Rae Jepsen;Rufus Wainwright",2022-10-21,274506,52,false,60727spb0sfh9ijzix1ya4dxi,2023-11-01T19:59:23Z,"singer-songwriter","Silent Records IGA",0.701,0.548,2,-6.255,1,0.0517,0.103,0,0.102,0.509,122.971,4
spotify:track:2YIIDMcF9zWJ2xcFSA99lH,"Charge It","We Go Again","ENNY",2023-04-13,185715,65,true,60727spb0sfh9ijzix1ya4dxi,2023-12-09T05:04:50Z,"uk r&b,alternative r&b","FAMM",0.783,0.542,8,-6.793,0,0.114,0.347,0.593,0.201,0.622,127.047,4
spotify:track:3bB5IWONMpDTj3XYuOTGUB,"UGOMDN","Nearly Straight","chlothegod",2023-10-13,172893,10,true,60727spb0sfh9ijzix1ya4dxi,2023-12-09T05:05:19Z,"","EQT Recordings, LLC",0.592,0.502,8,-6.493,1,0.296,0.517,0.00000484,0.144,0.657,79.127,4
spotify:track:3YkDslZvvMixTwgDId0aYB,"Twenty-three","CHAT-SHIRE","IU",2015-10-23,194325,53,false,60727spb0sfh9ijzix1ya4dxi,2023-12-09T05:05:25Z,"k-pop,k-ballad","Kakao Entertainment",0.757,0.955,5,-2.299,0,0.0412,0.0168,0,0.0817,0.968,122.952,4
