Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6BrMEbPSSj55nQhkgf6DnE,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster","Hatful of Hollow","The Smiths",1984,112706,80,false,60727spb0sfh9ijzix1ya4dxi,2024-11-07T04:07:36Z,"new wave,madchester,jangle pop","WM UK",0.241,0.468,2,-9.579,1,0.0272,0.534,0,0.161,0.451,91.581,3
spotify:track:754kgU5rWscRTfvlsuEwFp,"Kiss Me","Sixpence None The Richer","Sixpence None The Richer",1997-11-22,208680,85,false,60727spb0sfh9ijzix1ya4dxi,2024-11-07T04:08:10Z,"","Curb | Word",0.526,0.749,3,-6.964,1,0.0283,0.023,0.00000176,0.0692,0.421,99.982,4
spotify:track:6qmV2uUHTofLq64Iq7L5az,"ancient girl","ceremonial contrafact (empathogen deluxe)","WILLOW",2024-09-27,90533,31,false,60727spb0sfh9ijzix1ya4dxi,2024-11-07T14:49:03Z,"","Three Six Zero Recordings",0.482,0.358,6,-11.221,0,0.039,0.76,0,0.307,0.257,109.784,3
spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,"Sultans of Swing","Dire Straits","Dire Straits",1978-10-07,348760,74,false,60727spb0sfh9ijzix1ya4dxi,2024-11-07T13:02:52Z,"classic rock","Warner Records",0.725,0.801,5,-10.059,1,0.0302,0.0722,0.0339,0.339,0.925,148.211,4
spotify:track:1yYlpGuBiRRf33e1gY61bN,"Night Shift","Historian","Lucy Dacus",2018-03-02,391829,66,true,60727spb0sfh9ijzix1ya4dxi,2024-11-07T14:55:48Z,"","Matador",0.48,0.311,9,-7.887,1,0.0258,0.313,0.0000152,0.113,0.162,86.15,4
spotify:track:6PVx8IYQJdeLa2AIJnnFrj,"Revvin' My Cj7","So Polite","Summer Salt",2017-07-18,168205,23,false,60727spb0sfh9ijzix1ya4dxi,2024-11-08T05:40:47Z,"","Cherry Lime Records",0.762,0.468,10,-7.969,1,0.0464,0.934,0.102,0.115,0.347,119.88,4
spotify:track:5QVNBUXS0Vuds1hjrH5Qx9,"Even Though You Said So Easily","Love Part 2","Colde",2023-05-04,206000,18,false,60727spb0sfh9ijzix1ya4dxi,2024-11-08T05:45:24Z,"","WAVY",0.814,0.428,11,-12.229,1,0.0442,0.821,0.00881,0.293,0.573,116.031,4
spotify:track:2QdXar3pthoqEFO9qY4CqZ,"Kygers Hill","Imaginary People","Viv & Riley",2023-09-15,216200,0,false,60727spb0sfh9ijzix1ya4dxi,2024-11-08T05:47:49Z,"americana","Free Dirt Records",0.654,0.624,11,-6.584,1,0.0288,0.23,0.000379,0.0733,0.444,128.998,4
spotify:track:3IVgEYBvkSViPI2nq0uoxJ,"Pleure pas pour moi","1969","1969 Collective;Les sœurs Boulay",2022-04-12,257838,23,false,60727spb0sfh9ijzix1ya4dxi,2024-11-09T19:27:22Z,"chanson québécoise,folk québécois,pop québécoise,indie québécois,chanson","Connor Seidel",0.544,0.241,6,-11.517,1,0.0332,0.945,0.102,0.0719,0.274,118.64,4
spotify:track:6oBIzNjrQ7ibErxk1ZbdfA,"Sadness As A Gift","Sadness As A Gift","Adrianne Lenker",2024-01-17,259015,0,false,60727spb0sfh9ijzix1ya4dxi,2024-11-09T20:14:44Z,"","4AD",0.53,0.277,9,-11.037,1,0.031,0.862,0,0.112,0.358,115.34,4
