Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:265ehI4I7NfR8PmAXdpspn,"Swim and Sleep (Like a Shark)","II (10 Year Anniversary Edition)","Unknown Mortal Orchestra",2023-03-16,165226,54,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:19:01Z,"neo-psychedelic","Jagjaguwar",0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.51,4
spotify:track:1gpBDeONibvJyQYEv5HJh9,"Drop the Guillotine","Being So Normal","Peach Pit",2018-06-28,219960,58,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:19:18Z,"","Columbia",0.514,0.881,0,-6.52,1,0.0629,0.0381,0.00000955,0.103,0.577,87.541,4
spotify:track:65khdTvH5CfGxUmLxaq4T5,"Rest My Head Against The Wall","Mic City Sons","Heatmiser",1996-01-01,211000,39,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:19:55Z,"","Astralwerks",0.669,0.354,10,-8.75,1,0.029,0.143,0.0832,0.0931,0.34,82.081,4
spotify:track:2bt1cEwiLzcClL5bTs0ezd,"Hospital","Revealer","Madison Cunningham",2022-09-09,213328,38,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:21:59Z,"","Verve Forecast",0.547,0.507,4,-8.717,1,0.0353,0.527,0,0.268,0.673,142.102,4
spotify:track:3gCYle76USfbHa7VDTDg5V,"The Kiss Of Venus (Dominic Fike)","The Kiss Of Venus (Dominic Fike)","Paul McCartney;Dominic Fike",2021-03-11,143530,49,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:23:29Z,"","Capitol Records",0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,4
spotify:track:1camd9eP6HEbhNjXww8FKN,"Sunflower","Sunflower","Michele Leigh",2020-04-21,165254,54,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:23:41Z,"","Revolution Records",0.683,0.273,7,-11.458,1,0.0285,0.324,0.0000379,0.244,0.719,90.059,4
spotify:track:1XrSjpNe49IiygZfzb74pk,"What Once Was","Songs of Her's","Her's",2017-05-12,255067,76,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:24:21Z,"indie","Heist Or Hit Records",0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,3
spotify:track:0hgOGzUYKKQbQcWDoJpM6H,"Why I'm Here","February Son","Oleander",1999-01-01,238093,53,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:26:00Z,"post-grunge","Republic",0.642,0.673,8,-7.154,0,0.0248,0.0114,0.00156,0.11,0.423,100.004,4
spotify:track:4S0zagxseJHOL5ZVnTQA6X,"Playing God","Remember That You Will Die","Polyphia",2022-10-28,205925,62,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:26:12Z,"math rock,djent,progressive metal,progressive rock","Rise Records",0.601,0.789,4,-6.822,0,0.0328,0.0395,0.812,0.114,0.315,137.06,4
spotify:track:2t0wwvR15fc3K1ey8OiOaN,"Selfless","The New Abnormal","The Strokes",2020-04-10,222093,78,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:26:28Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,4
spotify:track:16Fp67kTFhH0XK5Cl6Oz7r,"Demolition Lovers","I Brought You My Bullets, You Brought Me Your Love","My Chemical Romance",2002,366560,67,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:27:38Z,"emo,pop punk","Reprise",0.38,0.797,8,-9.091,1,0.057,0.00184,0.0000142,0.208,0.206,118.64,4
spotify:track:7j31rVgGX9Q2blT92VBEA0,"Teenagers","The Black Parade","My Chemical Romance",2006-10-20,161920,82,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:29:16Z,"emo,pop punk","Reprise",0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4
spotify:track:1ZseaIKt19broBzze3F8hz,"Hello, Anxiety","Hello, Anxiety","Phum Viphurit",2019-03-22,264761,50,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:32:33Z,"bedroom pop","Rats Records",0.84,0.495,9,-9.54,1,0.0406,0.589,0.552,0.103,0.808,125.993,4
spotify:track:0DyZx471Ab72xTOFE47q9h,"Penelope","Penelope","Early Eyes",2018-06-15,236634,37,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:33:22Z,"","Birds Plural",0.613,0.651,11,-10.048,1,0.0513,0.103,0.000368,0.101,0.6,141.961,4
spotify:track:2uFkRg6BICax5y6OUQnkOQ,"I Can Break Your Heart Too","Under My Influence","The Aces",2020-07-17,214662,42,false,60727spb0sfh9ijzix1ya4dxi,2025-10-09T00:33:28Z,"","Red Bull Records",0.656,0.541,7,-7.901,1,0.0394,0.23,0,0.0836,0.722,77.962,4
