Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5K2KkZmixWKjiOa3I7D2pn,"Who Laughs Last (feat. Kristen Stewart)","Who Laughs Last","Lord Huron;Kristen Stewart",2025-01-24,283946,47,false,60727spb0sfh9ijzix1ya4dxi,2025-03-30T18:04:08Z,"","Mercury Records/Lord Huron",0.517,0.962,9,-4.684,0,0.0677,0.0358,0.187,0.145,0.454,160.032,4
spotify:track:1tGUGrEHNX5Ld6aXDSAOhS,"Inner Peace","Hymns of Spirit","Beautiful Chorus",2015-06-14,244000,56,false,60727spb0sfh9ijzix1ya4dxi,2025-03-30T18:07:01Z,"","A Love In The World",0.336,0.0212,6,-21.25,1,0.0405,0.994,0.000391,0.115,0.118,137.53,3
spotify:track:4IHc6SzGPnzSPuHVEPzpJc,"Wouldn't It Be Nice","Pet Sounds","The Beach Boys",1966-05-16,153240,69,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.392,0.629,5,-7.056,1,0.0334,0.718,0.00000365,0.129,0.72,124.511,4
spotify:track:2xNZK0n7SV7qvV1AlH30Dp,"You Still Believe In Me","Pet Sounds","The Beach Boys",1966-05-16,156266,50,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.427,0.335,11,-10.032,1,0.0282,0.268,0.000563,0.132,0.208,88.533,4
spotify:track:0j0y0KnYpbNSiJ0YBwRx9E,"That's Not Me","Pet Sounds","The Beach Boys",1966-05-16,151426,50,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.615,0.538,11,-8.494,1,0.0276,0.732,0.0000538,0.0792,0.485,115.026,4
spotify:track:6BWZ4BPsftc9v7sUMFOAr4,"Don't Talk (Put Your Head On My Shoulder)","Pet Sounds","The Beach Boys",1966-05-16,178440,50,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.249,0.184,6,-11.84,1,0.0339,0.246,0.00761,0.0849,0.0692,61.043,4
spotify:track:56rf6DuAv3AGpLIhXVagTM,"I'm Waiting For The Day","Pet Sounds","The Beach Boys",1966-05-16,186760,48,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.364,0.495,4,-9.317,1,0.0374,0.469,0.00116,0.395,0.544,166.893,4
spotify:track:1kl9i2FGtcO34whpvwZb18,"Let's Go Away For Awhile","Pet Sounds","The Beach Boys",1966-05-16,144706,47,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.33,0.242,11,-16.537,0,0.027,0.118,0.73,0.0785,0.0859,87.456,3
spotify:track:72fAewq2UVWSf3RjtqICdS,"Sloop John B","Pet Sounds","The Beach Boys",1966-05-16,179493,57,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.616,0.689,8,-6.514,1,0.0261,0.139,0,0.0822,0.942,125.933,4
spotify:track:17QTsL4K9B9v4rI8CAIdfC,"God Only Knows - Remastered 1996","Pet Sounds","The Beach Boys",1966-05-16,174906,70,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.44,0.462,9,-9.338,1,0.0382,0.154,0,0.0529,0.31,116.033,4
spotify:track:2NqMUVziSGdz1MizMFu3aT,"I Know There's An Answer","Pet Sounds","The Beach Boys",1966-05-16,198333,46,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.595,0.711,10,-6.19,1,0.0287,0.366,0.0000282,0.111,0.733,115.632,4
spotify:track:2QHf2UijcOOpLgEsA3YOjm,"Here Today","Pet Sounds","The Beach Boys",1966-05-16,187360,46,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.526,0.644,9,-7.927,1,0.0381,0.507,0.0000151,0.223,0.608,121.297,4
spotify:track:7Jljbi0t6TIusvUm3HnCAb,"I Just Wasn't Made For These Times","Pet Sounds","The Beach Boys",1966-05-16,201133,50,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.212,0.569,10,-7.466,1,0.0334,0.446,0,0.0879,0.337,187.69,4
spotify:track:1RDva71oSm8zSnRLMQm6Gx,"Pet Sounds","Pet Sounds","The Beach Boys",1966-05-16,157666,45,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.616,0.709,3,-8.062,1,0.0409,0.102,0.818,0.352,0.459,115.958,4
spotify:track:78OmsgtUu4qsSvo6I7J2SN,"Caroline, No","Pet Sounds","The Beach Boys",1966-05-16,171933,47,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:51:10Z,"baroque pop","Capitol Records",0.379,0.376,10,-10.734,0,0.0286,0.762,0.00000368,0.169,0.549,78.317,4
spotify:track:7lPjS6Yd4lRk4BsboDsm1H,"Roundabout - 2008 Remaster","Fragile","Yes",1971-11-26,515960,47,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.411,0.845,4,-6.821,0,0.0835,0.117,0.0146,0.0763,0.391,132.876,4
spotify:track:7dOc0iGP59T9U2DWWsS8Tg,"Cans and Brahms (Extracts from Brahms' 4th Symphony in E Minor, Third Movement) - 2008 Remaster","Fragile","Yes",1971-11-26,102840,27,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.471,0.177,0,-13.055,1,0.0393,0.985,0.891,0.0736,0.627,125.27,4
spotify:track:4Y4Cz1QRmDNZ6suB5SIaxX,"We Have Heaven - 2008 Remaster","Fragile","Yes",1971-11-26,99733,28,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.482,0.442,11,-11.998,0,0.0324,0.0138,0.00401,0.154,0.847,53.683,4
spotify:track:5IAcmHktMIqXEDm1BLsEcG,"South Side of the Sky - 2008 Remaster","Fragile","Yes",1971-11-26,478066,31,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.268,0.803,7,-10.429,1,0.0788,0.135,0.624,0.605,0.168,80.768,4
spotify:track:4KBBtbZwQiJaAZxDBXJpqE,"Five Per Cent for Nothing - 2008 Remaster","Fragile","Yes",1971-11-26,37693,26,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.717,0.892,0,-9.908,0,0.0747,0.00394,0.849,0.157,0.947,114.364,4
spotify:track:2WUKsLdYxJl9PcqmOgMo5v,"Long Distance Runaround - 2008 Remaster","Fragile","Yes",1971-11-26,210266,32,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.622,0.43,0,-9.141,1,0.0351,0.3,0.0215,0.822,0.792,92.68,4
spotify:track:0sonjlaXdMgch0Wcv37r4v,"The Fish (Schindleria Praematurus) - 2008 Remaster","Fragile","Yes",1971-11-26,162106,28,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.53,0.862,11,-8.701,0,0.0527,0.185,0.822,0.235,0.863,152.384,1
spotify:track:1isv4ftbx0esgqKV1TSwk7,"Mood for a Day - 2008 Remaster","Fragile","Yes",1971-11-26,182800,28,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.492,0.122,11,-19.844,0,0.0702,0.945,0.868,0.108,0.599,131.646,3
spotify:track:6f5GVaxl1gQ7EGK9LEgKV4,"Heart of the Sunrise - 2008 Remaster","Fragile","Yes",1971-11-26,692693,31,false,60727spb0sfh9ijzix1ya4dxi,2025-06-14T00:55:17Z,"progressive rock,art rock,aor","Rhino/Elektra",0.368,0.573,1,-10.185,1,0.0484,0.00933,0.147,0.171,0.393,144.158,4
spotify:track:4F9poSXIBwCZDeOXbvtwby,"It Smells Like Bootyhole On Mars...Bring Me Back To Earth!","It Smells Like Bootyhole On Mars...Bring Me Back To Earth!","DJ Pirna;Former City Records",2024-01-19,228629,24,false,60727spb0sfh9ijzix1ya4dxi,2025-06-22T20:58:11Z,"miami bass,footwork,g-house,breakbeat","Former City Records",0.748,0.861,9,-5.205,1,0.0671,0.0103,0.542,0.0618,0.918,141.023,4
spotify:track:2AX5E86cn9n2dgioZEjirI,"Golden Brown","La Folie","The Stranglers",1981,206760,83,false,60727spb0sfh9ijzix1ya4dxi,2025-07-04T19:32:27Z,"proto-punk,new wave","Parlophone UK",0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3
spotify:track:13ZpvzL10nw52uCDY13SkF,"Uptown Folks","Honey Bones","DOPE LEMON",2016-07-16,288013,64,false,60727spb0sfh9ijzix1ya4dxi,2025-08-03T00:18:59Z,"","BMG Rights Management (Australia) Pty Ltd.",0.475,0.824,11,-4.935,0,0.0395,0.0846,0.155,0.136,0.408,117.239,4
spotify:track:7nFWZG3BdJekIElGe6cQAV,"Just Friends","Let's Get Lost: The Best Of Chet Baker Sings","Chet Baker",1989-01-01,164506,32,false,60727spb0sfh9ijzix1ya4dxi,2025-07-20T19:39:52Z,"jazz,cool jazz,vocal jazz,jazz ballads","Blue Note Records",0.527,0.327,7,-13.932,1,0.0393,0.51,0.00000904,0.0326,0.527,94.643,4
spotify:track:537IPiZTZ1GVcohzFHAHf5,"To Bring You My Love","To Bring You My Love","PJ Harvey",1995-01-01,331600,48,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:36:27Z,"art pop,alternative rock,singer-songwriter","Universal-Island Records Ltd.",0.572,0.27,0,-15.119,1,0.0354,0.669,0.00712,0.0577,0.14,116.197,4
spotify:track:368b4IicwKycpFGav6Hfgm,"Little Fury","Title Tk","The Breeders",2002-05-20,209626,29,true,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.564,0.431,1,-12.62,1,0.079,0.189,0.0175,0.214,0.811,186.616,4
spotify:track:5vSFlcbQeJDyU1JfCSSPLY,"London Song","Title Tk","The Breeders",2002-05-20,219333,24,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.675,0.577,1,-11.288,0,0.0454,0.0791,0.0154,0.12,0.416,109.43,4
spotify:track:5Yd5o6w2WkicEulQkghKxl,"Off You","Title Tk","The Breeders",2002-05-20,295666,43,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.464,0.102,10,-18.76,1,0.0319,0.965,0.0277,0.108,0.0642,81.165,4
spotify:track:7EYwaZMH1MA1hh1WqfIvNY,"The She","Title Tk","The Breeders",2002-05-20,241306,28,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.721,0.42,1,-13.316,0,0.0455,0.135,0.385,0.334,0.207,98.675,4
spotify:track:6u4aQjSjUv2PPTezg9fg3q,"Too Alive","Title Tk","The Breeders",2002-05-20,165600,21,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.519,0.6,2,-10.264,1,0.0285,0.00132,0.0363,0.101,0.523,86.836,4
spotify:track:75s8IoVTA8BTVunH5EXtxe,"Son of Three","Title Tk","The Breeders",2002-05-20,129293,24,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.566,0.895,11,-7.502,1,0.0297,0.0123,0.539,0.136,0.825,132.681,4
spotify:track:4WhpIxCQKkB13jCPLnNExa,"Put on A Side","Title Tk","The Breeders",2002-05-20,178773,18,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.719,0.178,8,-24.827,1,0.0399,0.831,0.848,0.356,0.201,117.594,4
spotify:track:39UQu0EUNpocezKqsQWd5E,"Full On Idle","Title Tk","The Breeders",2002-05-20,156933,25,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.563,0.868,4,-9.177,1,0.0724,0.367,0.00181,0.0991,0.246,143.073,3
spotify:track:3w3W1mfhYEa6yozHUUSDFg,"Sinister Foxx","Title Tk","The Breeders",2002-05-20,255893,20,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.513,0.222,0,-13.848,1,0.0444,0.517,0.00501,0.114,0.229,178.205,3
spotify:track:4ZDL13k0WD12k259f9x87y,"Forced to Drive","Title Tk","The Breeders",2002-05-20,183933,22,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.589,0.529,7,-11.531,1,0.0296,0.0462,0.107,0.229,0.362,99.116,4
spotify:track:6JOkbLdDB9gCvqxXUKkgXP,"T and T","Title Tk","The Breeders",2002-05-20,116933,19,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.449,0.59,11,-11.081,1,0.0326,0.0769,0.869,0.106,0.37,136.549,4
spotify:track:0cVWkp9MkiwlPmp87ZPa7c,"Huffer","Title Tk","The Breeders",2002-05-20,127933,32,true,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:23Z,"riot grrrl,alternative rock","4AD",0.511,0.812,11,-8.933,1,0.0375,0.0911,0.0703,0.107,0.948,169.332,4
spotify:track:6MEAQnIS71j4BGkyRhz7dA,"New Year","Last Splash","The Breeders",1993-08-30,116706,37,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.209,0.655,4,-10.467,1,0.0375,0.0066,0.654,0.139,0.321,146.832,4
spotify:track:1KdwPeY1WRWQGHCmRJTveb,"Cannonball","Last Splash","The Breeders",1993-08-30,213693,65,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499,4
spotify:track:3bluNnCa66Tfhix35wSehs,"Invisible Man","Last Splash","The Breeders",1993-08-30,168240,41,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.429,0.718,6,-11.46,1,0.0293,0.1,0.463,0.0657,0.765,104.781,3
spotify:track:7izTc9bk8wT1RRz4giRHFW,"No Aloha","Last Splash","The Breeders",1993-08-30,127226,47,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.291,0.536,10,-9.166,1,0.0321,0.0798,0.269,0.1,0.448,107.41,4
spotify:track:0lA1BcaEVrQHMhymx4Y4kM,"Roi","Last Splash","The Breeders",1993-08-30,251666,34,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.388,0.347,2,-13.311,1,0.0334,0.0929,0.801,0.0929,0.177,92.968,4
spotify:track:6mI1t5Q6egSw7mTAApiD68,"Do You Love Me Now?","Last Splash","The Breeders",1993-08-30,181800,48,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.47,0.226,2,-11.578,1,0.0351,0.0363,0.134,0.103,0.318,134.55,4
spotify:track:041M2yTQ2Tk4As8O63kF2T,"Flipside","Last Splash","The Breeders",1993-08-30,119506,33,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.0952,0.767,6,-7.232,1,0.0472,0.0132,0.82,0.117,0.489,164.801,4
spotify:track:2ttMDab19hqmnEzmP4GUEH,"I Just Wanna Get Along","Last Splash","The Breeders",1993-08-30,104333,37,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.481,0.715,8,-10.103,1,0.0396,0.00356,0.00263,0.0569,0.736,145.554,4
spotify:track:4wcOeJYNDpxM2mOESLSAPm,"Mad Lucas","Last Splash","The Breeders",1993-08-30,276866,33,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.25,0.251,2,-19.192,1,0.0553,0.223,0.76,0.2,0.181,66.854,3
spotify:track:34X9XeLp4NNtOQZXJIEfmx,"Divine Hammer","Last Splash","The Breeders",1993-08-30,161360,45,false,60727spb0sfh9ijzix1ya4dxi,2025-10-16T19:51:42Z,"riot grrrl,alternative rock","4AD",0.344,0.561,3,-13.642,1,0.032,0.089,0.814,0.132,0.632,143.698,4
