Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:47a7Hn4fFE4mHgVJF19CO1,"No Choir","High As Hope","Florence + The Machine",2018-06-29,149120,49,false,ishi56,2024-02-02T19:49:16Z,"baroque pop","EMI",0.401,0.292,0,-8.414,1,0.154,0.919,0.00000332,0.396,0.299,88.744,4
spotify:track:6QAztdj5jtr41PL56WcgvP,"The Bomb","Dance Fever","Florence + The Machine",2022-05-13,164566,54,false,ishi56,2024-02-02T19:49:24Z,"baroque pop","Polydor Records",0.634,0.198,11,-8.68,1,0.0339,0.912,0.0000994,0.0875,0.299,110.79,4
spotify:track:3bENrkfntz1ugrsi8yzT9C,"Falling","Lungs (Deluxe Edition)","Florence + The Machine",2009,212973,40,false,ishi56,2024-02-02T19:53:03Z,"baroque pop","Universal-Island Records Ltd.",0.425,0.33,2,-9.038,0,0.0313,0.791,0.202,0.135,0.0764,113.201,4
spotify:track:6Ju28M6P8Y8sLjBgWjyUUD,"Hunger","High As Hope","Florence + The Machine",2018-06-29,214666,61,false,ishi56,2024-02-02T19:49:39Z,"baroque pop","EMI",0.729,0.675,2,-5.62,0,0.0415,0.53,0,0.0985,0.332,116.016,4
spotify:track:0CSTvWUps1YmpQoXXay9ol,"Cosmic Love","Lungs (Deluxe Edition)","Florence + The Machine",2009,255133,65,false,ishi56,2024-02-02T19:50:10Z,"baroque pop","Universal-Island Records Ltd.",0.524,0.803,9,-5.56,0,0.0366,0.145,0.000191,0.115,0.0827,140.003,4
spotify:track:1YLJVmuzeM2YSUkCCaTNUB,"Dog Days Are Over","Lungs (Deluxe Edition)","Florence + The Machine",2009,251840,77,false,ishi56,2024-02-02T19:50:22Z,"baroque pop","Universal-Island Records Ltd.",0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,4
spotify:track:74GJoiemPE1VOyN9nVFs6k,"All This And Heaven Too","Ceremonials (Deluxe Edition)","Florence + The Machine",2011-01-01,245893,39,false,ishi56,2024-02-02T19:50:33Z,"baroque pop","Universal-Island Records Ltd.",0.401,0.83,0,-3.838,1,0.0683,0.0371,0.0000447,0.0772,0.346,82.147,4
spotify:track:51oY1LQDglBFja1LJnqZqT,"Grace","High As Hope","Florence + The Machine",2018-06-29,288773,44,true,ishi56,2024-02-02T21:06:26Z,"baroque pop","EMI",0.335,0.251,1,-9.337,1,0.0366,0.761,0.0000799,0.231,0.156,74.545,4
spotify:track:3euILOYDltKArnqpupsE1W,"I'm Not Calling You A Liar","Lungs (Deluxe Edition)","Florence + The Machine",2009,185253,45,false,ishi56,2024-02-02T19:50:43Z,"baroque pop","Universal-Island Records Ltd.",0.597,0.516,7,-5.437,1,0.0546,0.369,0,0.261,0.35,117.959,4
spotify:track:64fzn2ewOdSH57wrxTPGov,"Sky Full Of Song","High As Hope","Florence + The Machine",2018-06-29,226160,52,false,ishi56,2024-02-02T19:49:35Z,"baroque pop","EMI",0.533,0.32,8,-8.819,1,0.0316,0.731,0.0000165,0.154,0.291,98.036,4
spotify:track:6cC9RY7MoUx5z3aHjDTNI6,"Never Let Me Go","Ceremonials (Deluxe Edition)","Florence + The Machine",2011-01-01,271013,63,false,ishi56,2024-02-02T19:51:05Z,"baroque pop","Universal-Island Records Ltd.",0.466,0.73,9,-3.262,1,0.0364,0.294,0.00000424,0.383,0.254,145.203,4
spotify:track:4lY95OMGb9WxP6IYut64ir,"Shake It Out","Ceremonials (Deluxe Edition)","Florence + The Machine",2011-01-01,277720,69,false,ishi56,2024-02-02T19:51:56Z,"baroque pop","Universal-Island Records Ltd.",0.528,0.804,10,-4.168,1,0.0358,0.0104,0,0.105,0.222,107.48,4
spotify:track:3fNuoybebaufvtFBo5TDWO,"Addicted To Love","Lungs (Deluxe Edition)","Florence + The Machine",2009,199386,49,false,ishi56,2024-02-02T19:52:40Z,"baroque pop","Universal-Island Records Ltd.",0.548,0.716,2,-5.756,1,0.0706,0.0767,0.00000166,0.0873,0.356,110.085,4
spotify:track:5WnYyCWBbJyLChmd2sbZK9,"Between Two Lungs","Lungs (Deluxe Edition)","Florence + The Machine",2009,248506,43,false,ishi56,2024-02-02T19:53:11Z,"baroque pop","Universal-Island Records Ltd.",0.561,0.413,0,-6.45,1,0.0507,0.244,0.00000333,0.142,0.402,150.061,4
spotify:track:3MZ7TxuXNnwYXm2KZGap5g,"South London Forever","High As Hope","Florence + The Machine",2018-06-29,262680,48,true,ishi56,2024-02-02T21:20:18Z,"baroque pop","EMI",0.676,0.577,9,-7.82,0,0.0274,0.613,0.0013,0.195,0.49,107,4
