Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:23g8j7eb2pJZVVFGiWR29W,"Stay","Stay","Groove Messengers;Dinah York",2022-02-18,232071,47,false,60727spb0sfh9ijzix1ya4dxi,2024-05-12T19:32:02Z,"lounge,bossa nova","Music Brokers",0.683,0.375,0,-14.169,0,0.0446,0.387,0.241,0.119,0.34,160.134,4
spotify:track:1EKpwGoisV5nUOqqMZ7gAJ,"Simply Paradise","Simply Paradise","Mac DeMarco;Ryan Paris",2023-10-02,155695,42,false,60727spb0sfh9ijzix1ya4dxi,2024-05-12T19:32:18Z,"indie,lo-fi indie,italo disco,italo dance","Mac DeMarco, LLC",0.836,0.219,2,-12.411,1,0.113,0.785,0.00828,0.0621,0.818,78.759,4
spotify:track:0FTpFi1BlqoBVELlh7jK50,"Le Départ","Lotus Glow","Adi Oasis",2023-03-03,59836,56,false,60727spb0sfh9ijzix1ya4dxi,2024-05-12T19:34:08Z,"indie soul,retro soul,neo soul","Unity Records",0.678,0.339,10,-11.187,0,0.0934,0.823,0.921,0.167,0.478,74.009,3
spotify:track:6muso4v5TtE4TtCKQQ97S8,"La Ciruela","Desilusión","Nico Play",2022-11-02,197166,0,true,60727spb0sfh9ijzix1ya4dxi,2024-05-12T19:36:15Z,"","Nico Play",0.657,0.164,3,-10.995,0,0.0511,0.873,0.000174,0.115,0.364,133.691,3
spotify:track:6dpeobV45p0mzpNFSYIsYm,"Even Though You Said So Easily","Love Part 2","Colde",2023-05-04,206000,0,false,60727spb0sfh9ijzix1ya4dxi,2024-05-12T19:36:31Z,"","ADA Korea",0.818,0.423,11,-12.115,1,0.0441,0.83,0.0101,0.311,0.561,116.013,4
spotify:track:4XVHomarAdF8I4fcn3sW9H,"If You Want Me to Stay","If You Want Me to Stay","Don & Gene",2020-08-07,182107,40,false,60727spb0sfh9ijzix1ya4dxi,2024-05-19T23:16:59Z,"acid jazz,lounge","Music Brokers",0.699,0.369,9,-11.907,1,0.269,0.618,0.0403,0.11,0.661,176.022,4
spotify:track:6lzDycd60SJ7H8y6wuESGl,"La rue","Troupeau bleu","Cortex",1975-07-15,267320,47,false,60727spb0sfh9ijzix1ya4dxi,2024-05-24T19:46:44Z,"jazz fusion,jazz funk","Sonodisc",0.583,0.861,0,-9.453,1,0.0684,0.351,0.639,0.101,0.96,98.463,4
spotify:track:55mvtucws4Mnro27744t9X,"Red Room","Mood Valiant","Hiatus Kaiyote",2021-06-25,232053,65,false,60727spb0sfh9ijzix1ya4dxi,2024-08-04T02:37:08Z,"neo soul,indie soul,alternative r&b","Brainfeeder",0.687,0.361,7,-9.782,1,0.0501,0.631,0.00479,0.117,0.453,80.935,4
spotify:track:2kM47CzCvo48ZaPGO6LFu2,"Tu danses, condessa","1969","1969 Collective;Safia Nolin",2022-04-12,197320,24,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T21:01:04Z,"chanson québécoise,indie québécois,folk québécois","Connor Seidel",0.657,0.334,2,-11.099,1,0.0319,0.792,0.0727,0.118,0.609,119.958,4
spotify:track:1OPkXWnIK8RYyWTp3NWvM9,"Ice Melt","Ice Melt","Crumb",2021-04-30,148946,59,false,60727spb0sfh9ijzix1ya4dxi,2024-10-24T22:52:20Z,"neo-psychedelic,bedroom pop","Crumb Records",0.593,0.265,9,-10.168,1,0.0782,0.761,0.826,0.142,0.457,176.12,4
spotify:track:5TxRUOsGeWeRl3xOML59Ai,"ARE WE STILL FRIENDS?","IGOR","Tyler, The Creator",2019-05-17,265480,83,true,60727spb0sfh9ijzix1ya4dxi,2024-11-03T16:46:39Z,"","Columbia",0.216,0.497,10,-8.025,1,0.0371,0.128,0.00000239,0.111,0.313,187.308,3
spotify:track:7KA4W4McWYRpgf0fWsJZWB,"See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator;Kali Uchis",2017-07-21,180386,89,true,60727spb0sfh9ijzix1ya4dxi,2024-11-03T17:48:01Z,"","Columbia",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
spotify:track:0UFLbtupYWaDGMS4io94Ml,"Once I Had A Love (AKA The Disco Song) - 1975 Version / Remastered 2001","Plastic Letters","Blondie",1978-02-01,238973,45,false,60727spb0sfh9ijzix1ya4dxi,2025-02-17T19:56:50Z,"","Chrysalis\EMI Records (USA)",0.749,0.512,1,-9.595,0,0.0466,0.0488,0.0000684,0.111,0.499,98.691,4
