Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1U675HGzKcVxVjdz522XYI,"Stuck On You","When We Were Younger","grentperez",2023-06-02,159477,46,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:39:30Z,"","Fast Friends",0.589,0.679,7,-6.139,1,0.0528,0.0769,0.000456,0.553,0.779,150.02,4
spotify:track:0TAHhMjG17P5pzlSm1sgSl,"Funky Galileo","Funky Galileo","Sure Sure",2020-03-06,246200,49,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:39:35Z,"","Sure Sure",0.802,0.325,10,-9.327,1,0.0466,0.164,0.162,0.156,0.648,110.995,4
spotify:track:0ACoy3rzW779jyh76PI3UD,"On Top of the World","The Shapes I'm In","Stephen Day",2021-08-20,239044,53,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:40:07Z,"pop soul","Stephen Day",0.882,0.477,2,-7.858,1,0.053,0.502,0.0000783,0.0859,0.835,120.015,4
spotify:track:3gjRRs7gmh3Euynu1cau1d,"This December","Montgomery Ricky","Ricky Montgomery",2016-04-08,181920,67,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:40:12Z,"","Warner Records",0.659,0.873,9,-4.873,1,0.0504,0.0253,0,0.132,0.891,139.946,4
spotify:track:61jCFoNIuzQnc9UovuzNVW,"IRIS","Voodoo Blu","Ashes To Amber",2018-10-01,151578,5,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:41:19Z,"","Ashes To Amber under exclusive license to Amuseio AB",0.725,0.543,6,-9.089,1,0.0387,0.28,0.475,0.113,0.415,140.051,4
spotify:track:7nF74JcG12aaD8lV9SJVTu,"Best Tears","Concentrate","The Happy Fits",2018-06-15,158533,0,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:43:09Z,"","The Happy Fits Records",0.415,0.702,2,-3.73,1,0.04,0.109,0,0.119,0.68,129.683,4
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,82,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:43:33Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:1o0nAjgZwMDK9TI4TTUSNn,"LAX","The Joy of Music, The Job of Real Estate","Vulfpeck;Joey Dosik",2020-10-23,225665,45,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:44:00Z,"funk,funk rock,retro soul,retro pop","Vulf Records",0.8,0.599,0,-7.357,1,0.0344,0.00521,0.00547,0.0587,0.908,128.381,4
spotify:track:5EV4bGHxVN0kHpcAFvgnTt,"Dance, Baby!","Roy Pablo","boy pablo",2017-05-19,198000,59,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:44:17Z,"bedroom pop","777 Music",0.602,0.601,9,-8.521,1,0.0411,0.037,0.0046,0.312,0.856,122.017,4
spotify:track:4xAJSIcCHcOCli5m325X2H,"We're Good","We're Good","Dua Lipa",2021-02-11,165506,48,false,60727spb0sfh9ijzix1ya4dxi,2023-09-28T08:45:44Z,"pop","Warner Records",0.722,0.588,6,-5.932,1,0.0544,0.0319,0,0.183,0.59,134.01,4
