Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2yWAPCnRMbpbGqVHAZzqgJ,"Nasty (feat. Jason Richardson)","New Levels New Devils","Polyphia;Jason Richardson",2018-10-12,280314,44,false,60727spb0sfh9ijzix1ya4dxi,2024-08-11T19:19:10Z,"math rock,djent,progressive metal,progressive rock","Equal Vision Records",0.581,0.816,2,-5.238,0,0.0471,0.000696,0.885,0.531,0.45,129.988,4
spotify:track:5qbhVL3vB7HwWvb0042B7y,"The Heart Part 5","Mr. Morale & The Big Steppers","Kendrick Lamar",2022-05-13,332228,60,true,60727spb0sfh9ijzix1ya4dxi,2024-08-12T00:06:27Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.7,0.812,1,-8.128,0,0.297,0.183,0,0.0756,0.801,97.405,4
spotify:track:1qhp5owrFGeZ5Jgin28nwR,"You've Got a Friend","Tapestry","Carole King",1971,309520,64,false,60727spb0sfh9ijzix1ya4dxi,2024-08-12T00:10:01Z,"singer-songwriter,folk rock","Ode/Epic/Legacy",0.473,0.263,8,-10.684,1,0.0336,0.88,0.0000441,0.123,0.461,169.094,4
spotify:track:0hgOGzUYKKQbQcWDoJpM6H,"Why I'm Here","February Son","Oleander",1999-01-01,238093,53,false,60727spb0sfh9ijzix1ya4dxi,2024-08-12T00:13:03Z,"post-grunge","Republic",0.642,0.673,8,-7.154,0,0.0248,0.0114,0.00156,0.11,0.423,100.004,4
spotify:track:2MR0RhrvX1TTq7D0Jbf5rl,"Dive","Dive","Kisnue",2023-08-21,176761,11,false,60727spb0sfh9ijzix1ya4dxi,2024-08-16T15:56:34Z,"k-rock,city pop","ADA Korea",0.702,0.476,6,-6.152,0,0.0472,0.0107,0.0000644,0.0477,0.799,142.944,4
spotify:track:1158ckiB5S4cpsdYHDB9IF,"My Own Summer (Shove It)","Around the Fur","Deftones",1997-10-27,214760,83,false,60727spb0sfh9ijzix1ya4dxi,2024-08-12T00:13:38Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Maverick",0.443,0.781,1,-4.277,1,0.0377,0.0000133,0.205,0.166,0.372,71.841,4
spotify:track:4S0zagxseJHOL5ZVnTQA6X,"Playing God","Remember That You Will Die","Polyphia",2022-10-28,205925,62,false,60727spb0sfh9ijzix1ya4dxi,2024-08-12T00:16:22Z,"math rock,djent,progressive metal,progressive rock","Rise Records",0.601,0.789,4,-6.822,0,0.0328,0.0395,0.812,0.114,0.315,137.06,4
spotify:track:02tNuntKQsoou5T4O8meyh,"Hana","Hana","Fujii Kaze",2023-10-12,246699,61,false,60727spb0sfh9ijzix1ya4dxi,2024-08-12T00:16:41Z,"j-pop","Universal Music LLC",0.769,0.716,5,-8.203,0,0.0429,0.118,0.00659,0.158,0.66,123.031,4
spotify:track:5rDXfGMWI6S8wkXR0MHsvv,"love.","0.1 flaws and all.","wave to earth",2023-04-20,307750,2,false,60727spb0sfh9ijzix1ya4dxi,2024-08-12T04:56:42Z,"","ADA Korea",0.319,0.391,2,-9.758,1,0.0298,0.649,0.296,0.279,0.251,61.921,4
spotify:track:5GKVcvTgnFYtfh25qKQtRg,"One Way Trigger","Comedown Machine","The Strokes",2013-03-25,242293,59,false,60727spb0sfh9ijzix1ya4dxi,2024-08-16T15:43:03Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.516,0.942,2,-4.113,1,0.036,0.000182,0.464,0.116,0.964,95.996,4
