Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3A7BdeL8UbwjLyKgsR5QWj,"King of the Fairies","Translate","Jiggy",2017-06-30,196148,18,false,60727spb0sfh9ijzix1ya4dxi,2024-05-07T01:05:12Z,"celtic","Big Bang Music",0.703,0.72,11,-6.338,0,0.0823,0.322,0.000168,0.146,0.765,140,4
spotify:track:2qLFfXmrhJJME5mfjCVuNG,"Softly Softly","The Magic Of Ruby Murray","Ruby Murray",1997-05-19,149333,34,false,60727spb0sfh9ijzix1ya4dxi,2024-05-07T01:05:28Z,"","Parlophone UK",0.3,0.245,2,-12.767,1,0.041,0.92,0.00203,0.102,0.246,126.523,3
spotify:track:3wHA9tbkc3wrGakX9nz7Yw,"To a Certain Degree but Not Entirely","To a Certain Degree but Not Entirely","Yellow Tinted Windows",2024-03-01,226557,0,false,60727spb0sfh9ijzix1ya4dxi,2024-05-07T01:05:47Z,"","Yellow Tinted Records",0.297,0.522,11,-10.783,0,0.0361,0.397,0.929,0.097,0.678,200.611,4
spotify:track:63CsmFBEJulhvBybGPIdgQ,"Fear The Sheep","Fear The Sheep","Kettle Boilers",2023-10-13,261092,0,true,60727spb0sfh9ijzix1ya4dxi,2024-05-07T01:06:34Z,"","Morning Tea Records",0.602,0.737,9,-8.9,1,0.132,0.257,0.0208,0.62,0.371,142.981,4
spotify:track:1KnilWyiAb1Jwa9QJXZGMN,"The Galway Girl","Transcendental Blues","Steve Earle",2000-06-06,185000,57,false,60727spb0sfh9ijzix1ya4dxi,2024-05-07T01:07:08Z,"alt country,outlaw country,americana,country rock","Warner Records",0.421,0.946,2,-5.101,1,0.0767,0.24,0.00255,0.504,0.848,169.712,4
spotify:track:2cgQvJIxwZrUJpWw5D8Fo4,"Goodbye Yellow Brick Road","Walk Through Fire (Deluxe Edition)","Yola",2019-12-06,204117,44,false,60727spb0sfh9ijzix1ya4dxi,2024-05-08T23:33:22Z,"retro soul,americana,folk","Easy Eye Sound/Nonesuch",0.273,0.438,5,-5.234,1,0.0326,0.501,0,0.0997,0.336,58.789,4
spotify:track:2ixsaeFioXJmMgkkbd4uj1,"Budapest","Wanted on Voyage (Expanded Edition)","George Ezra",2014-06-30,200573,81,false,60727spb0sfh9ijzix1ya4dxi,2024-05-09T11:28:31Z,"","Columbia",0.717,0.455,5,-8.303,1,0.0276,0.0846,0,0.11,0.389,127.812,4
spotify:track:2i04VnXg1v18K0dw7DqOt1,"I Don't Know","Egypt Station","Paul McCartney",2018-09-07,266943,35,false,60727spb0sfh9ijzix1ya4dxi,2024-05-10T09:25:22Z,"","Capitol Records (US1A)",0.718,0.554,10,-9.218,1,0.0353,0.417,0.00816,0.111,0.182,80.992,4
spotify:track:23g8j7eb2pJZVVFGiWR29W,"Stay","Stay","Groove Messengers;Dinah York",2022-02-18,232071,47,false,60727spb0sfh9ijzix1ya4dxi,2024-05-10T09:50:09Z,"lounge,bossa nova","Music Brokers",0.683,0.375,0,-14.169,0,0.0446,0.387,0.241,0.119,0.34,160.134,4
spotify:track:64D3dzWyj0GpQT1AHx4kbK,"Panic - 2011 Remaster","Louder Than Bombs","The Smiths",1987,140506,64,false,60727spb0sfh9ijzix1ya4dxi,2024-05-10T14:09:37Z,"new wave,madchester,jangle pop","WM UK",0.53,0.861,7,-4.67,1,0.0372,0.0175,0.0177,0.0857,0.844,130.476,4
spotify:track:7tnYsRepXLaNhqj4xtcWP2,"grace","grace","Fujii Kaze",2022-10-09,289541,62,false,60727spb0sfh9ijzix1ya4dxi,2024-05-11T17:25:52Z,"j-pop","Universal Music LLC",0.668,0.685,7,-8.765,1,0.0472,0.0822,0.0257,0.319,0.637,108.971,4
spotify:track:3OZljEMmJaeTZ41SeXt8xD,"City Of Sound","City Of Sound","Skull The Pierre;Cloud 9;Kid Kuba;Emileo",2021-05-28,266931,1,true,60727spb0sfh9ijzix1ya4dxi,2024-05-12T13:00:22Z,"","Skull The Pierre",0.604,0.525,0,-8.163,1,0.47,0.581,0.00000306,0.133,0.693,176.588,4
spotify:track:4hRxjV1Lz8mQiBLH8xyVuR,"200g of protein","200g of protein","Skull The Pierre",2023-09-08,121463,0,true,60727spb0sfh9ijzix1ya4dxi,2024-05-12T13:00:53Z,"","Skull The Pierre",0.522,0.834,11,-3.3,1,0.382,0.747,0,0.108,0.356,86.163,4
spotify:track:6DFSJdVNcL31OOpCVjCmRr,"Bellyful","Bellyful","Kettle Boilers",2024-03-08,154786,0,false,60727spb0sfh9ijzix1ya4dxi,2024-05-12T19:50:48Z,"","Morning Tea Records",0.434,0.736,7,-6.136,1,0.165,0.0708,0.000901,0.906,0.667,140.703,4
