Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0TAHhMjG17P5pzlSm1sgSl,"Funky Galileo","Funky Galileo","Sure Sure",2020-03-06,246200,49,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:06:35Z,"","Sure Sure",0.802,0.325,10,-9.327,1,0.0466,0.164,0.162,0.156,0.648,110.995,4
spotify:track:6SE4JAo7T8C7XkFka5bbga,"Someone To Spend Time With","Someone To Spend Time With","Los Retros",2019-02-12,173953,68,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:06:43Z,"latin indie,bedroom pop","Stones Throw Records",0.816,0.46,9,-13.299,1,0.034,0.0488,0.261,0.106,0.963,89.57,4
spotify:track:6vClu14OM4fb5DrxfKK7P5,"Street by Street","Street by Street","Laufey",2020-04-06,224098,0,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:07:25Z,"","Laufey",0.696,0.277,0,-10.865,1,0.0557,0.875,0.0000029,0.137,0.221,82.065,4
spotify:track:6PVx8IYQJdeLa2AIJnnFrj,"Revvin' My Cj7","So Polite","Summer Salt",2017-07-18,168205,23,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:07:42Z,"","Cherry Lime Records",0.762,0.468,10,-7.969,1,0.0464,0.934,0.102,0.115,0.347,119.88,4
spotify:track:0gY98BmpHwoh5UFlBTCAqb,"More Than This","$hiny Things","Dasha",2021-03-19,218764,28,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:08:06Z,"","Quadio Records",0.776,0.45,11,-7.975,1,0.142,0.214,0,0.0913,0.779,89.001,4
spotify:track:2uFkRg6BICax5y6OUQnkOQ,"I Can Break Your Heart Too","Under My Influence","The Aces",2020-07-17,214662,42,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:08:20Z,"","Red Bull Records",0.656,0.541,7,-7.901,1,0.0394,0.23,0,0.0836,0.722,77.962,4
spotify:track:4crdHmkZQmNd2hucSIk7dA,"Like the Movies","Typical of Me EP","Laufey",2021-04-30,162758,0,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:09:12Z,"","Laufey",0.576,0.273,0,-10.216,1,0.0359,0.909,0.0000963,0.146,0.21,87.122,4
spotify:track:2EjuEHTRZRgE9pvaBm5Hh3,"Valentine","Valentine","Laufey",2022-02-14,168906,0,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:09:19Z,"","Laufey",0.483,0.204,3,-13.065,1,0.0453,0.916,0,0.107,0.219,82.711,4
spotify:track:3oX7VxSz6EHHnxKGUjk9sx,"Let You Break My Heart Again","Let You Break My Heart Again","Laufey;Philharmonia Orchestra",2021-08-13,269066,0,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:09:23Z,"opera,classical,orchestral","Laufey",0.26,0.144,2,-15.126,1,0.036,0.965,0.113,0.111,0.127,80.428,4
spotify:track:48jV8AW50589btXi0Hs5f4,"Lancaster Nights","Lancaster Nights","Charlie Burg",2020-09-02,190469,4,false,60727spb0sfh9ijzix1ya4dxi,2022-04-05T05:09:28Z,"","FADER Label",0.745,0.387,1,-12.839,0,0.0327,0.179,0.00633,0.0736,0.772,95.985,4
