Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4H7WNRErSbONkM06blBoGc,"Stay","beerbongs & bentleys","Post Malone",2018-04-27,204426,70,true,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:18:04Z,"","Republic Records",0.506,0.48,5,-5.418,1,0.0266,0.449,0,0.147,0.351,86.042,4
spotify:track:4m8DQjgh5aQF0mxCw171Dn,"Worldwide","The edbl x Kazuki Sessions","edbl;Kazuki Isogai;JPRK",2022-04-29,223390,0,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:24:52Z,"lo-fi hip hop,neo soul,uk r&b,lo-fi beats,lo-fi,jazz beats,nu jazz","edbl recordings/College Music Records",0.732,0.784,0,-6.652,1,0.0479,0.0763,0.224,0.0947,0.528,91.945,4
spotify:track:3HEJptfJ3taABLi2klHspp,"Dribble","Dribble","Anomalie",2021-12-10,210572,18,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:25:46Z,"nu jazz,jazz fusion","Nettwerk Music Group",0.526,0.67,8,-8.647,0,0.0643,0.609,0.544,0.112,0.448,81.915,4
spotify:track:7CurxbuwMd0zxu2DOtI94j,"Birds of Rocky Point","Birds of Rocky Point","Glimlip;Søren Søstrom;Soul Food Horns;Slug",2022-08-12,157975,11,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:26:40Z,"lo-fi,lo-fi beats,lo-fi hip hop,jazz beats,jazz rap","On the Lo",0.681,0.478,6,-8.704,0,0.342,0.202,0.538,0.127,0.757,85.457,4
spotify:track:5Dijn7Azi4mjmMR4aytxLx,"Public Life","Public Life","Joshua Lee Turner",2020-08-07,282771,13,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:27:24Z,"","Bring Luck Records",0.527,0.671,2,-7.568,1,0.0267,0.551,0.00184,0.494,0.774,98.045,4
spotify:track:1EN2226zD5377BMhCrIFsd,"Rockaway","As Good a Place as Any","Joshua Lee Turner",2019-04-05,227400,21,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:27:32Z,"","Bring Luck Records",0.548,0.255,2,-13.934,1,0.0297,0.923,0.00367,0.123,0.161,120.871,3
spotify:track:51Grh1RyUDcMBbpuyUIUHI,"rises the moon","recently","Liana Flores",2019-04-10,161929,82,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:27:38Z,"","liana flores",0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,3
spotify:track:1GTC0DN9LGOdP0NdvoHyX7,"ゆめうつつ","ランプ幻想","Lamp",2008-12-03,315640,67,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:27:46Z,"shibuya-kei,japanese indie,city pop","In The Garden Records",0.346,0.126,2,-16.89,1,0.0347,0.985,0.463,0.0771,0.0761,92.959,4
spotify:track:7yR5ZDif2glYMnFP73uRMm,"Out Like a Light","Out Like a Light","The Honeysticks;Ricky Montgomery",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:27:50Z,"","The Honeysticks",0.522,0.458,11,-7.785,1,0.0275,0.17,0.00244,0.072,0.359,125.973,3
spotify:track:17hBfRyeor6B2lmRAjRN6g,"Jupiter Rainstorm","The Water's Fine!","Liana Flores",2018-06-01,111727,38,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:27:55Z,"","880898 Records DK",0.743,0.257,8,-13.964,1,0.039,0.982,0.925,0.102,0.212,119.759,4
spotify:track:0dnVuqBjRCVTf2LC7ayViY,"Velvet Ring","Masterpiece","Big Thief",2016-05-27,155938,0,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:28:56Z,"","Saddle Creek",0.261,0.329,7,-13.821,1,0.0343,0.684,0.0559,0.123,0.323,76.752,4
spotify:track:0jsXpJsdXhnwnwnCLKjYLF,"Vanilla Baby","Feeding Seahorses by Hand","Billie Marten",2019-04-26,255426,54,false,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:29:38Z,"","Chess Club/RCA Victor",0.43,0.0778,4,-20.193,0,0.0473,0.928,0.00291,0.131,0.179,115.877,4
spotify:track:3jYr59dZBKzFa7Ji7be6fT,"Change the World","Phenomenon (Music From The Motion Picture)","Eric Clapton",1996-06-28,234866,41,false,60727spb0sfh9ijzix1ya4dxi,2022-11-15T00:04:17Z,"blues,blues rock,classic rock","Reprise",0.721,0.558,9,-8.8,1,0.0246,0.492,0.00563,0.113,0.542,96.887,4
spotify:track:4EWBhKf1fOFnyMtUzACXEc,"Pluto Projector","Pony","Rex Orange County",2019-10-25,267518,76,false,60727spb0sfh9ijzix1ya4dxi,2022-11-28T10:28:48Z,"bedroom pop","Rex Orange County",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
