Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7neOIVKDsLaUXV5y84jGuY,"I Don't Love You","STILL","Urban Zakapa",2016-05-27,254924,53,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:23:06Z,"k-ballad","MAKEUS ENTERTAINMENT",0.35,0.348,4,-6.156,1,0.0317,0.805,0.00000448,0.102,0.274,146.603,4
spotify:track:27hhIs2fp6w06N5zx4Eaa5,"Dream A Little Dream Of Me","The Papas & The Mamas","The Mamas & The Papas",1968-05-01,194426,73,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:24:08Z,"folk rock","Geffen",0.413,0.313,7,-13.138,1,0.0519,0.791,0.0000015,0.0727,0.349,92.515,4
spotify:track:6zeE5tKyr8Nu882DQhhSQI,"Dust in the Wind","Point Of Know Return (Expanded Edition)","Kansas",1977,206266,78,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:24:19Z,"classic rock,progressive rock,aor","Epic/Legacy",0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
spotify:track:7sZwWzSeCtGYo5ZQcWRLlJ,"안녕","Hotel del Luna (Original Television Soundtrack) Pt.10","Paul Kim",2019-08-12,225005,0,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:25:10Z,"k-ballad","Beyond Music",0.495,0.293,0,-7.086,1,0.0311,0.804,0,0.16,0.269,131.502,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,87,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:25:33Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:6NtXT3FfZQPXP5ISoUngRh,"Remember Me","Remember Me","Joseph Vincent",2018-03-28,84735,0,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:25:55Z,"","Joseph Vincent",0.698,0.0664,1,-15.747,1,0.0385,0.896,0.0000012,0.109,0.457,77.723,4
spotify:track:30vCslNhCz75VAiuavctZx,"Put Your Records On - Acoustic Version","Put Your Records On","Corinne Bailey Rae",2006-01-01,216304,30,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:27:25Z,"","EMI Records",0.693,0.195,9,-11.654,1,0.0333,0.81,0,0.11,0.407,95.905,4
spotify:track:5i6gHFXg4aLK5xvc2jJJC5,"If It Is You","Another Miss Oh, Pt. 5 (Original Television Soundtrack)","Jung Seung Hwan",2016-05-31,272847,63,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:30:20Z,"k-ballad,soundtrack","Genie Music Corporation",0.387,0.515,2,-5.529,1,0.0338,0.686,0,0.16,0.199,135.221,4
spotify:track:7dalzH7LZYdayf3rRg9QbU,"Autumn Leaves","Guitar Classics, Vol. 1","The Dreamers",2011-01-01,238759,5,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:38:30Z,"","Box Tree",0.418,0.174,4,-21.557,0,0.0466,0.992,0.953,0.107,0.41,132.385,4
spotify:track:67WSWDDuEEmBIXTchwACs1,"Tonto Perdedor","Tu Veneno Mortal, Vol. 2","Eslabon Armado",2021-06-25,202506,62,false,60727spb0sfh9ijzix1ya4dxi,2024-01-04T05:45:54Z,"corridos tumbados,sad sierreño,corrido,sierreño,música mexicana,corridos bélicos","DEL Records",0.567,0.302,9,-11.25,1,0.0355,0.627,0.00000475,0.0873,0.539,64.273,4
