Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1BaoS24mQlI6fC0TDR3Qsj,"All Of Me - Simons & Marks","The Look Of Love","Jean Frye Sidwell",1998-01-01,212373,25,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:29:34Z,"vocal jazz","Pacificcoastmusic.com",0.504,0.365,9,-10.07,0,0.0449,0.674,0.0000233,0.236,0.324,144.11,4
spotify:track:1eWE8xKUcmjnddemonXuzT,"Autumn Leaves","Gentle Rain on the Autumn Leaves (feat. Ola Fjellvikås & Asmund Bjørken)","Autumn Leaves",2009-02-03,218213,8,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:29:38Z,"","JAM01",0.498,0.202,0,-14.867,0,0.0373,0.844,0.000792,0.113,0.218,111.773,4
spotify:track:3slZPJNIslQBksal1hX1zk,"Tangerine","Contrasts","Jimmy Dorsey & His Orchestra;Bob Eberly;Helen O'Connell",1993-01-01,192533,45,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:29:41Z,"big band,swing music","GRP",0.484,0.196,11,-11.087,0,0.0963,0.882,0.00103,0.265,0.399,155.001,3
spotify:track:38R2EViAkYOFG8ZkG3GLtW,"On The Sunny Side Of The Street","Dizzy 100","Dizzy Gillespie;Sonny Stitt;Sonny Rollins",2017-09-29,342891,42,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:29:58Z,"bebop,jazz,afro-cuban jazz,hard bop,latin jazz,big band,cool jazz,jazz ballads,acid jazz","Verve Reissues",0.671,0.352,0,-11.511,1,0.0556,0.532,0.000141,0.11,0.396,120.235,4
spotify:track:36mfN0Su4gaIfaHZobL6Fh,"Desafinado","Feliz Dia Del nombre Maria","João Gilberto",2015,119466,5,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:31:35Z,"bossa nova,brazilian jazz,samba,latin jazz,cool jazz,jazz,mpb","Casta Records",0.501,0.316,8,-12.616,0,0.0441,0.829,0.00000259,0.116,0.795,79.811,4
spotify:track:57bIqEtD8sO3NsagJSaZsb,"Cry Me A River","HMV Easy: The Julie London Collection","Julie London",1999-01-01,169200,21,false,60727spb0sfh9ijzix1ya4dxi,2019-07-22T02:27:14Z,"vocal jazz,jazz,adult standards","EMI Gold Commercial Exclusive",0.395,0.0426,4,-18.823,0,0.0506,0.978,0.00294,0.114,0.125,70.074,4
spotify:track:3ziJFd6JeioC8Xfct0UXpJ,"Moonlight Serenade","Ultimate Big Band Collection: Glenn Miller","Glenn Miller",2010-08-03,202760,50,false,60727spb0sfh9ijzix1ya4dxi,2019-07-24T17:33:23Z,"big band,swing music,jazz","Masterworks Jazz",0.342,0.126,3,-11.857,1,0.0265,0.862,0.0998,0.146,0.147,77.873,3
spotify:track:0F845nujLVqCb0XMZCh5Pc,"I Fall In Love Too Easily","Chet Baker Sings","Chet Baker",1956,201440,69,false,60727spb0sfh9ijzix1ya4dxi,2019-07-26T03:37:53Z,"jazz,cool jazz,vocal jazz,jazz ballads","Blue Note Records",0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,4
spotify:track:1UH4viviUjZnS9aWgPGrk0,"La vie en rose - Single Version","The Best Of The Decca Years Volume One: The Singer","Louis Armstrong",1989-01-01,204400,57,false,60727spb0sfh9ijzix1ya4dxi,2019-07-26T03:42:08Z,"jazz,swing music,vocal jazz,big band","Geffen*",0.579,0.0766,0,-12.544,1,0.0582,0.866,0.00411,0.091,0.271,70.354,4
spotify:track:4UW4I0a056lfIaghMSvaf4,"These Days","These Days","Manwolves",2016-08-06,239425,0,true,60727spb0sfh9ijzix1ya4dxi,2019-08-03T18:20:56Z,"","Manwolves",0.544,0.281,5,-8.506,0,0.0541,0.791,0,0.11,0.236,134.553,4
