Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3TuXaKWkcRLnoZdMBfYjht,"Jump","Jazz and 80s Vol. 3 (Bonus Track Version)","Cassandra Beck",2009-10-27,209106,29,false,1151563898,2014-06-06T05:30:00Z,"bossa nova,jazz pop,lounge","Music Brokers",0.758,0.439,7,-6.269,1,0.0372,0.303,0.00000344,0.157,0.234,119.926,4
spotify:track:41j5KCVBYHf2AhHpkJUakk,"Don't Speak","Jazz and 90s","Sarah Menescal",2006-09-05,253400,38,false,1151563898,2014-06-06T05:30:00Z,"bossa nova,lounge,jazz pop","Music Brokers",0.71,0.283,9,-13.245,0,0.0315,0.89,0,0.126,0.575,130.072,4
spotify:track:39f53y1dfP5hT6LQMDDvpp,"Purple Rain","Vintage Café - Lounge & Jazz Blends","Urselle",2007-09-01,235053,37,false,1151563898,2014-06-06T05:30:00Z,"bossa nova,lounge,jazz pop","Music Brokers",0.402,0.309,1,-13.987,1,0.0361,0.8,0.00552,0.115,0.236,72.97,4
spotify:track:4hUwZ8GJdQJpTPStDf9D5h,"In the Air Tonight","Vintage Café - Lounge & Jazz Blends","James Farrelli",2007-09-01,281773,42,false,1151563898,2014-06-06T05:30:00Z,"bossa nova,lounge,jazz pop","Music Brokers",0.507,0.283,9,-11.578,0,0.0337,0.825,0.0000961,0.128,0.356,119.985,3
spotify:track:57oYcbIFYn6XIvbL5wHEWw,"Like a Virgin","Vintage Café - Lounge & Jazz Blends","The Cooltrane Quartet",2007-09-01,247266,40,false,1151563898,2014-06-06T05:30:00Z,"bossa nova,jazz pop,lounge,jazz","Music Brokers",0.826,0.395,2,-12.089,1,0.0324,0.408,0.00103,0.0958,0.614,116.965,4
spotify:track:1x4YVTOktcHSiWhtdlfb0T,"Wonderwall","Jazz Chill (Vol. 3)","Berk & The Virtual Band",2010-08-20,165047,0,false,1151563898,2014-06-06T05:30:36Z,"jazz pop,bossa nova,lounge,jazz","Blanco y Negro Music",0.488,0.468,6,-9.65,0,0.106,0.291,0,0.13,0.689,199.291,4
spotify:track:24JPebtxFANXtPS4ydPeSy,"Billie Jean","Jazz Chill","Berk & The Virtual Band",2010-08-20,305933,0,false,1151563898,2014-06-06T05:30:36Z,"jazz pop,bossa nova,lounge,jazz","Blanco y Negro Music",0.451,0.526,3,-6.936,0,0.0318,0.0716,0.00000144,0.198,0.793,95.991,4
spotify:track:2hknDsdNZZtLoN3dqaSpXk,"Sweet Dreams","Jazz Chill","Berk & The Virtual Band",2010-08-20,256506,0,false,1151563898,2014-06-06T05:30:36Z,"jazz pop,bossa nova,lounge,jazz","Blanco y Negro Music",0.511,0.559,9,-6.199,0,0.0332,0.542,0.00232,0.055,0.533,81.48,4
spotify:track:2ZJN384dpScnAKLGR6GLY5,"Firework","Jazz Chill Vol. 4","Berk & The Virtual Band",2012-10-24,265665,0,false,1151563898,2014-06-06T05:32:02Z,"jazz pop,bossa nova,lounge,jazz","Blanco y Negro Music",0.586,0.49,8,-6.497,1,0.0269,0.599,0,0.111,0.368,102.018,4
spotify:track:2Vm37Qw1Cd994duAHo52di,"Bad Romance","Jazz Chill Vol. 4","Berk & The Virtual Band",2012-10-24,298144,0,false,1151563898,2014-06-06T05:35:42Z,"jazz pop,bossa nova,lounge,jazz","Blanco y Negro Music",0.71,0.555,9,-6.505,0,0.0304,0.376,0,0.249,0.626,112.018,4
