Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,"No Diggity","Another Level","Blackstreet;Dr. Dre;Queen Pen",1996-09-09,304600,80,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:51:31Z,"new jack swing,old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Interscope",0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,4
spotify:track:45hOioMDJktr86iKDHC8gr,"Girlfriend","The Best Damn Thing (Expanded Edition)","Avril Lavigne",2007-04-17,216600,77,true,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:51:42Z,"","RCA Records Label",0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,4
spotify:track:5jzKL4BDMClWqRguW5qZvh,"Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,75,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:53:35Z,"pop","Capitol Records",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
spotify:track:3avYqdwHKEq8beXbeWCKqJ,"Last Friday Night (T.G.I.F.)","Teenage Dream","Katy Perry",2010-01-01,230733,77,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:53:59Z,"pop","Capitol Records",0.652,0.81,3,-3.789,0,0.0406,0.00129,0.0000291,0.667,0.732,126.022,4
spotify:track:4vp2J1l5RD4gMZwGFLfRAu,"I Gotta Feeling","THE E.N.D. (THE ENERGY NEVER DIES)","Black Eyed Peas",2009-01-01,289133,6,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:54:52Z,"","Interscope",0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,4
spotify:track:77TT8Xvx637TpzV8kKGkUw,"Titanium (feat. Sia)","Nothing but the Beat","David Guetta;Sia",2011-08-31,245040,58,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:55:22Z,"edm","Parlophone (France)",0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,4
spotify:track:1mKXFLRA179hdOWQBwUk9e,"Just Give Me a Reason (feat. Nate Ruess)","The Truth About Love","P!nk;Nate Ruess",2012-09-18,242721,85,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:55:48Z,"","RCA Records Label",0.778,0.547,2,-7.273,1,0.0489,0.344,0.000306,0.132,0.442,95,4
spotify:track:1gv4xPanImH17bKZ9rOveR,"Raise Your Glass","Raise Your Glass","P!nk",2010-10-05,202960,77,true,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:55:55Z,"","LaFace Records",0.7,0.709,7,-5.006,1,0.0838,0.0048,0,0.029,0.624,122.019,4
spotify:track:0JiY190vktuhSGN6aqJdrt,"So What","Funhouse (Expanded Edition)","P!nk",2008-10-24,215160,77,true,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:58:07Z,"","LaFace Records",0.534,0.87,11,-3.078,0,0.0425,0.000334,0,0.241,0.462,126.019,4
spotify:track:22PMfvdz35fFKYnJyMn077,"Marry You","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,230192,79,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:59:17Z,"","Atlantic Records",0.621,0.82,10,-4.865,1,0.0367,0.332,0,0.104,0.452,144.905,4
spotify:track:161DnLWsx1i3u1JT05lzqU,"Talking to the Moon","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,217866,84,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:00:02Z,"","Atlantic Records",0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,4
spotify:track:0KKkJNfGyhkQ5aFogxQAPU,"That's What I Like","24K Magic","Bruno Mars",2016-11-17,206693,91,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:02:38Z,"","Atlantic Records",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
spotify:track:1EzrEOXmMH3G43AXT1y7pA,"I'm Yours","We Sing. We Dance. We Steal Things.","Jason Mraz",2008-05-12,242946,77,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:02:43Z,"soft pop,acoustic pop","Atlantic Records/ATG",0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
spotify:track:0rFOs9paloAvEtzwDX1Kmc,"Bubbly","Coco","Colbie Caillat",2007-01-01,196280,67,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:03:47Z,"","Universal Records",0.697,0.474,9,-6.663,1,0.0351,0.603,0,0.11,0.249,127.904,4
spotify:track:4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,83,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:03:53Z,"soft pop","Columbia",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
spotify:track:4llK75pXNWZz6KAho2Gp16,"She Will Be Loved - Radio Mix","Songs About Jane: 10th Anniversary Edition","Maroon 5",2002,259453,85,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:04:04Z,"pop","Interscope Records*",0.651,0.663,0,-5.569,0,0.0281,0.228,0,0.0994,0.465,102,4
spotify:track:0laYHRpNTS6i8FXdupHkJ4,"Love You Like A Love Song","When The Sun Goes Down","Selena Gomez & The Scene",2011-01-01,188453,84,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:04:16Z,"","Hollywood Records",0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117.009,4
spotify:track:0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes;Adam Levine",2011-11-11,210960,84,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:04:34Z,"","Decaydance/Fueled By Ramen",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
spotify:track:3goSVuTt3fDYDP6kRnFwuL,"Take A Bow","Good Girl Gone Bad: Reloaded","Rihanna",2008-06-02,229413,78,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:06:11Z,"","Def Jam Recordings",0.518,0.467,9,-7.536,1,0.162,0.248,0,0.0941,0.559,79.965,4
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,"Payphone","Overexposed","Maroon 5;Wiz Khalifa",2021-06-20,231386,69,true,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:06:43Z,"pop,rap","Interscope Records*",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,"Royals","Pure Heroine","Lorde",2013-09-27,190185,80,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:08:10Z,"","Universal Music New Zealand Limited",0.674,0.426,7,-9.504,1,0.122,0.12,0,0.132,0.337,84.876,4
spotify:track:36er7CzZNukYggyTjnZ7uh,"Habits (Stay High)","Breakup Songs","Tove Lo",2019-06-21,208000,15,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:09:52Z,"","UME - Global Clearing House",0.688,0.719,5,-3.402,1,0.0354,0.0415,0.0000563,0.0921,0.406,110.014,4
spotify:track:6IjPEqCWiC2T4jSTluJNYb,"Big Girls Don't Cry (Personal)","Breakup Songs","Fergie",2019-06-21,268320,6,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:10:15Z,"","UME - Global Clearing House",0.711,0.629,7,-4.334,1,0.0352,0.238,0,0.0874,0.252,113.074,4
spotify:track:0wVluBsVAVzBKrqspuCcwR,"Check Yes, Juliet","We The Kings","We The Kings",2007-10-07,220146,3,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:15:19Z,"pop punk","S-Curve Records",0.352,0.912,7,-4.253,1,0.0725,0.00197,0,0.193,0.351,166.795,4
spotify:track:7a86XRg84qjasly9f6bPSD,"We Are Young (feat. Janelle Monáe)","Some Nights","fun.;Janelle Monáe",2012-02-21,250626,76,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:15:36Z,"alternative r&b","Fueled By Ramen",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
spotify:track:4wCmqSrbyCgxEXROQE6vtV,"Somebody That I Used To Know","Making Mirrors","Gotye;Kimbra",2011-01-01,244973,78,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:16:13Z,"","Samples & Seconds / Republic",0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,4
spotify:track:4rHZZAmHpZrA3iH5zx8frV,"Mirrors","The 20/20 Experience (Deluxe Version)","Justin Timberlake",2013-03-15,485598,84,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:17:24Z,"","RCA Records Label",0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,4
spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,"Cry Me a River","Justified","Justin Timberlake",2002-11-04,288333,77,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:17:47Z,"","Jive",0.624,0.654,8,-6.582,0,0.183,0.577,0,0.104,0.564,73.898,4
spotify:track:6jAsmDJI8iPhGWtS27kZ67,"Only Girl (In The World)","Loud","Rihanna",2010-11-15,235520,57,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:19:50Z,"","Def Jam Recordings",0.786,0.716,11,-4.253,0,0.0409,0.101,0.0000162,0.0557,0.596,125.924,4
spotify:track:1fBl642IhJOE5U319Gy2Go,"Animal","Habits","Neon Trees",2010-01-01,212293,73,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:20:26Z,"","Mercury Records",0.482,0.833,5,-5.611,1,0.0449,0.000346,0,0.365,0.74,148.039,4
spotify:track:4E6cwWJWZw2zWf7VFbH7wf,"Love Song","Little Voice","Sara Bareilles",2007-07-03,258483,72,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:25:21Z,"","Epic",0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,4
spotify:track:7AqISujIaWcY3h5zrOqt5v,"Forget You","The Lady Killer","CeeLo Green",2010-11-09,222733,60,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:26:39Z,"","Radiculture/Elektra",0.696,0.875,0,-3.682,1,0.0649,0.134,0,0.159,0.772,127.39,4
spotify:track:16Of7eeW44kt0a1M0nitHM,"You Make Me Feel... (feat. Sabi)","Night Shades","Cobra Starship;Sabi",2011-08-29,215693,73,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:29:13Z,"","Decaydance/Fueled By Ramen",0.668,0.857,7,-2.944,0,0.0535,0.0191,0.00000671,0.0385,0.748,131.959,4
spotify:track:1brljRl4Fzy7wUFlD1uYZg,"Domino","Domino","Jessie J",2011-01-01,231840,4,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:29:25Z,"","Lava Music",0.75,0.554,7,-4.537,1,0.0363,0.00801,0,0.0417,0.8,126.985,4
spotify:track:7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches","Foster The People",2011-05-23,239600,85,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:29:30Z,"","Columbia",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
spotify:track:3sP3c86WFjOzHHnbhhZcLA,"Give Your Heart a Break","Unbroken","Demi Lovato",2011-01-01,205346,73,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:30:19Z,"","Hollywood Records",0.651,0.695,6,-3.218,1,0.0487,0.23,0,0.144,0.569,123.008,4
spotify:track:5Z7ygHQo02SUrFmcgpwsKW,"Wild Ones (feat. Sia)","Wild Ones (feat. Sia)","Flo Rida;Sia",2011-12-19,233688,50,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:30:42Z,"","Poe Boy/Atlantic",0.624,0.889,5,-3.772,0,0.0504,0.101,0,0.227,0.45,127.019,4
spotify:track:6D60klaHqbCl9ySc8VcRss,"Stronger (What Doesn't Kill You)","Stronger (Deluxe Version)","Kelly Clarkson",2011-10-24,221946,66,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:30:53Z,"christmas","RCA Records Label",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4
spotify:track:5mvKuE9Lf9ARVXVXA32kK9,"Price Tag","Who You Are (Platinum Edition)","Jessie J;B.o.B",2011-01-01,223053,66,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:32:07Z,"","Lava Music/Republic Records",0.637,0.832,5,-3.945,1,0.183,0.0282,0.00000347,0.277,0.68,175.011,4
spotify:track:6nek1Nin9q48AVZcWs9e9D,"Paradise","Mylo Xyloto","Coldplay",2011-10-24,278719,85,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:32:43Z,"","Parlophone UK",0.449,0.585,5,-6.761,1,0.0268,0.0509,0.0000875,0.0833,0.212,139.631,4
spotify:track:44AXd3UVaaVYsSQqBpnYO2,"Best Day Of My Life","American Authors","American Authors",2013-01-01,194093,0,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:33:01Z,"","Def Jam Recordings",0.673,0.901,2,-2.379,1,0.0348,0.0525,0.000535,0.0736,0.503,100.002,4
spotify:track:2ihCaVdNZmnHZWt0fvAM7B,"Little Talks","My Head Is An Animal","Of Monsters and Men",2012-01-01,266600,82,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:33:13Z,"folk pop","Universal Records",0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,4
spotify:track:3VZQshi4COChhXaz7cLP02,"I Love It (feat. Charli XCX)","I Love It (feat. Charli XCX)","Icona Pop;Charli xcx",2012-06-19,155337,67,true,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:35:12Z,"hyperpop,art pop","Big Beat Records/Atlantic",0.714,0.905,8,-2.663,1,0.0289,0.00855,0.0000255,0.146,0.838,125.927,4
spotify:track:6FE2iI43OZnszFLuLtvvmg,"Classic","MKTO","MKTO",2012,175426,79,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:35:52Z,"","Columbia/M2V",0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,4
spotify:track:0AkQbXGN4KG34TS7xLrM68,"Kiss You","Take Me Home: Yearbook Edition","One Direction",2012-11-09,182960,6,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:37:48Z,"","Syco Music UK",0.63,0.934,4,-2.559,1,0.0589,0.0186,0,0.324,0.905,89.992,4
spotify:track:3LlAyCYU26dvFZBDUIMb7a,"Demons","Night Visions","Imagine Dragons",2012-09-04,175200,74,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:38:30Z,"","Kid Ina Korner / Interscope",0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.329,0.419,89.929,4
spotify:track:0nJW01T7XtvILxQgC5J7Wh,"When I Was Your Man","Unorthodox Jukebox","Bruno Mars",2012-12-07,213826,89,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:38:45Z,"","Atlantic Records",0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,4
spotify:track:3JvrhDOgAt6p7K8mDyZwRd,"Riptide","Dream Your Life Away (Special Edition)","Vance Joy",2014-09-08,204280,8,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:40:32Z,"folk pop","Atlantic Records",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
spotify:track:4wTChU0tU44TAMC0xcQizi,"Fine By Me","Andy Grammer","Andy Grammer",2011-06-14,172893,0,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:40:46Z,"","S-Curve Records",0.583,0.791,11,-4.087,1,0.0318,0.00877,0,0.0451,0.878,89.993,4
spotify:track:5zA8vzDGqPl2AzZkEYQGKh,"Uptown Girl","An Innocent Man","Billy Joel",1983-08-08,198294,83,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:43:20Z,"soft rock","Columbia",0.701,0.944,4,-2.986,1,0.0455,0.0755,0,0.601,0.792,128.993,4
spotify:track:0EMmVUYs9ZZRHtlADB88uz,"Come On Eileen","Too Rye Ay","Dexys Midnight Runners",1982-08,287306,2,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:43:31Z,"","Universal Special Markets",0.45,0.658,2,-7.064,1,0.0472,0.648,0.00000314,0.264,0.781,106.799,4
spotify:track:15iEXnizukvzpAFbLIRGKs,"Hey There Delilah","Hey There Delilah","Plain White T's",2006,233200,0,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:44:21Z,"","Angel",0.527,0.452,2,-7.844,1,0.0293,0.819,0,0.102,0.311,103.851,4
spotify:track:3YKptz29AsOlm7WAVnztBh,"Kiss from a Rose","Seal","Seal",1994-05-31,288426,77,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:44:33Z,"","Warner Records",0.584,0.533,10,-7.11,0,0.0305,0.684,0,0.306,0.224,131.745,3
spotify:track:6urCAbunOQI4bLhmGpX7iS,"Don't Speak","Tragic Kingdom","No Doubt",1995-10-10,263560,82,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:47:00Z,"","Trauma",0.52,0.709,5,-7.125,0,0.0352,0.247,0.0000178,0.18,0.536,76.039,4
spotify:track:2wqaekenSQZm7hxQOYt8oE,"Am I Wrong","Am I Wrong","Nico & Vinz",2014-01-21,247520,57,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:48:30Z,"","Warner Records",0.725,0.68,8,-5.465,1,0.0306,0.162,0.00000213,0.158,0.76,119.939,4
spotify:track:1huvTbEYtgltjQRXzrNKGi,"Don't","x (Deluxe Edition)","Ed Sheeran",2014-06-21,219840,71,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:49:03Z,"soft pop","Atlantic Records UK",0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,4
spotify:track:6E11E0lT5Zy7yb6iT3y8DN,"Want U Back","Sticks & Stones","Cher Lloyd",2012-10-02,214573,60,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:50:22Z,"","Syco Music UK",0.694,0.891,9,-2.94,1,0.0949,0.0562,0,0.561,0.563,97.939,4
