Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7pMSBupRMxTmMvoDbESqDy,"Kismet","Blame My Ex","The Beaches",2023-09-15,183873,44,false,60727spb0sfh9ijzix1ya4dxi,2024-01-26T06:18:43Z,"","The Beaches",0.573,0.747,11,-5.191,1,0.0456,0.0353,0.00000332,0.378,0.828,136.005,4
spotify:track:27sBcXtgTBSJRdUxei1a7J,"Sexy Villain","Juno","Remi Wolf",2021-10-15,188500,60,true,60727spb0sfh9ijzix1ya4dxi,2024-01-26T06:49:36Z,"","Island Records",0.766,0.539,7,-4.927,1,0.0479,0.402,0,0.104,0.888,120.175,4
spotify:track:3vjs2MDHoF9xhylNg6Y9un,"Chateau (Feel Alright)","Twenty Twenty","Djo",2019-09-13,272157,76,false,60727spb0sfh9ijzix1ya4dxi,2024-01-26T06:53:43Z,"","Djo",0.641,0.365,7,-11.765,1,0.027,0.434,0.00000849,0.297,0.343,134.874,4
spotify:track:08PdFBcXzpkn1cWNgmKqhn,"Promise","Bewitched","Laufey",2023-09-08,234266,79,false,60727spb0sfh9ijzix1ya4dxi,2024-01-29T01:11:28Z,"","Laufey",0.263,0.112,5,-16.55,1,0.0344,0.935,0.000085,0.0565,0.0903,76.244,4
spotify:track:5jLMFDMUkGpzIgPF2sxWkB,"I Love You, Honeybear","I Love You, Honeybear","Father John Misty",2015-02-10,278720,48,true,60727spb0sfh9ijzix1ya4dxi,2024-01-29T04:42:13Z,"","Sub Pop Records",0.189,0.726,7,-6.191,0,0.0511,0.303,0.00352,0.0807,0.322,210.495,3
spotify:track:6WVSnyKQGzs1fosa2I3FMQ,"Shibuya (feat. Syd)","Free Nationals","Free Nationals;Syd",2019-12-13,136831,58,false,60727spb0sfh9ijzix1ya4dxi,2024-01-30T01:10:09Z,"alternative r&b","OBE, LLC / EMPIRE",0.76,0.665,4,-7.021,0,0.0612,0.105,0.399,0.0945,0.808,92.992,4
spotify:track:582ndoUAn4YIN30NUnK6S2,"Westcoast Collective","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,107280,51,false,60727spb0sfh9ijzix1ya4dxi,2024-01-30T01:10:12Z,"","Columbia",0.682,0.571,1,-7.169,0,0.0271,0.542,0.00757,0.339,0.539,91.97,4
spotify:track:2vMc8rqFmqs7RFi8NDx0CJ,"Garden","LOVE ALL SERVE ALL","Fujii Kaze",2022-03-23,229333,61,false,60727spb0sfh9ijzix1ya4dxi,2024-01-30T01:10:17Z,"j-pop","Universal Music LLC",0.589,0.527,4,-8.332,1,0.0572,0.0932,0.000337,0.104,0.576,138.023,4
spotify:track:0FTpFi1BlqoBVELlh7jK50,"Le Départ","Lotus Glow","Adi Oasis",2023-03-03,59836,56,false,60727spb0sfh9ijzix1ya4dxi,2024-01-30T02:51:14Z,"indie soul,retro soul,neo soul","Unity Records",0.678,0.339,10,-11.187,0,0.0934,0.823,0.921,0.167,0.478,74.009,3
spotify:track:3pANfZVFdtuVnJsE6xa5Ox,"Me and My Husband","Be the Cowboy","Mitski",2018-08-17,137141,72,false,60727spb0sfh9ijzix1ya4dxi,2024-02-02T16:15:39Z,"","Dead Oceans",0.497,0.638,1,-5.31,1,0.0274,0.0467,0,0.385,0.77,172.01,4
spotify:track:2Co0IjcLTSHMtodwD4gzfg,"I Bet on Losing Dogs","Puberty 2","Mitski",2016-06-17,170240,81,false,60727spb0sfh9ijzix1ya4dxi,2024-02-02T16:17:05Z,"","Dead Oceans",0.398,0.493,9,-9.561,1,0.0303,0.00347,0.000157,0.106,0.412,82.048,4
spotify:track:5gUiI6bJSPcKM2lwRaLAgE,"Slow Burn","Metamorphosis","Infinity Song",2023-10-20,201808,45,false,60727spb0sfh9ijzix1ya4dxi,2024-02-02T21:30:48Z,"","Roc Nation Records, LLC",0.512,0.404,11,-12.651,0,0.0328,0.443,0.0019,0.194,0.136,149.922,4
spotify:track:205Dyp6IqtOcYRX72QvbB7,"Metamorphosis","Metamorphosis","Infinity Song",2023-10-20,270314,47,false,60727spb0sfh9ijzix1ya4dxi,2024-02-03T11:46:50Z,"","Roc Nation Records, LLC",0.378,0.408,4,-12.054,1,0.0387,0.692,0.0408,0.1,0.224,122.964,4
