Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5fWKr5p15BTazjflJ6HX5j,"Catallena","THE THIRD SINGLE CATALLENA","Orange Caramel",2014-03-12,193153,58,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:20:24Z,"k-pop","Pledis",0.69,0.931,4,-2.061,0,0.0298,0.0325,0.0000437,0.199,0.957,126.983,4
spotify:track:4YRTsmrGk2Y8uVkTuGbdJj,"Shanghai Romance","LIPSTICK","Orange Caramel",2012-09-12,226168,50,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:28:22Z,"k-pop","Pledis",0.585,0.911,9,-3.72,0,0.0491,0.0389,0.00000374,0.165,0.507,148.955,4
spotify:track:4JUtRVkFjhBZ6dL02IJLUK,"Aing♡","LIPSTICK","Orange Caramel",2012-09-12,208169,45,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:28:28Z,"k-pop","Pledis",0.574,0.902,11,-4.107,0,0.0648,0.175,0,0.0686,0.221,148.159,4
spotify:track:0qD5kstOSUeLUQgW3cuhcD,"To My Boyfriend","Fine Killing Liberty : Blue Rain","Fin.K.L",1998-05-25,238466,37,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:28:36Z,"k-pop","DSP media",0.773,0.857,11,-5.884,1,0.032,0.0112,0.00798,0.364,0.909,135.007,4
spotify:track:779p5NFkwVL3THiMDHckUi,"Remember Me","Stylish…","Lee Hyori",2003-08-13,240448,22,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:28:46Z,"k-pop","DSP media",0.723,0.644,7,-4.641,0,0.0289,0.319,0,0.196,0.594,105.381,4
spotify:track:2Tfv41qZ0U3ahZiKiDBa4a,"10 Minutes","Stylish…","Lee Hyori",2003-08-13,236147,67,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:28:56Z,"k-pop","DSP media",0.934,0.671,0,-7.253,1,0.0754,0.0464,0,0.085,0.869,96.371,4
spotify:track:0U9jNoTJeTxXToakhsb7pV,"Run Devil Run","Run Devil Run - The 2nd Album Repackage","Girls' Generation",2010-03-22,201920,60,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:29:31Z,"k-pop","SM Entertainment",0.687,0.888,11,-2.725,0,0.146,0.0596,0.0000214,0.181,0.791,64.927,4
spotify:track:1OIb1AalkGikhzCRbWgchd,"Secret","THE SECRET","WJSN",2016-08-17,222581,51,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:30:50Z,"k-pop","Starship Entertainment",0.692,0.969,7,-3.213,0,0.0678,0.167,0,0.301,0.762,111.495,4
spotify:track:56NuE6Qyce0OViAIkRaN6l,"One Two Three N`Four","Stylish…","Lee Hyori",2003-08-13,238088,23,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:31:20Z,"k-pop","DSP media",0.858,0.729,1,-4.827,1,0.149,0.0249,0,0.0433,0.828,108.927,4
spotify:track:6kku05mDWyykFNvJxWu9g4,"A-Ha","My Sweet And Free Day","IVY",2005-07-19,225933,38,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:31:37Z,"k-ballad","Beyond Music",0.735,0.523,8,-7.463,1,0.036,0.0309,0,0.246,0.529,101.991,4
spotify:track:1CkTEh21SLHbiAj2qy8wc1,"Ma Boy","Ma Boy","SISTAR19",2011-05-03,196702,60,false,60727spb0sfh9ijzix1ya4dxi,2025-12-03T07:31:49Z,"k-pop","Starship Entertainment",0.751,0.767,7,-4.752,0,0.0577,0.353,0.00000271,0.289,0.768,89.93,4
