Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2igwAFHhPiH4ey6Q5v0Hkz,"Cheer Up","LIFE NOTE","HONG JIN YOUNG",2014-11-06,204920,31,false,rapizuam,2018-01-02T18:29:52Z,"","Music K",0.534,0.762,11,-3.202,1,0.0545,0.437,0,0.21,0.518,106.953,4
spotify:track:7pRpc0D5s7qVo9qkGS0U2e,"불장난","언니는 살아있다 Pt.3 Original Television Soundtrack","Jang Yoon-Jeong",2017-05-20,196905,0,false,rapizuam,2018-01-02T19:02:26Z,"enka,k-ballad","SBS콘텐츠허브",0.623,0.716,3,-3.549,0,0.0275,0.81,0,0.145,0.803,112.938,4
spotify:track:5oosPlFWnNQdLXIRE4vxO8,"Samcheonpo Lady","TV Kpop Stage Of 40 Singers Vol. 2","Na Hoon-A",2012-05-11,156560,4,false,rapizuam,2018-01-02T18:59:22Z,"enka","GAP",0.547,0.496,4,-12.237,1,0.0415,0.494,0.00000168,0.103,0.645,134.256,4
spotify:track:1qvq8TayaqtkLVZp8vbXKe,"초혼","판타스틱 듀오 초혼","서병순",2016-02-26,228533,0,false,rapizuam,2018-01-02T19:02:57Z,"","SBS콘텐츠허브",0.333,0.53,1,-5.798,1,0.0346,0.679,0.000134,0.165,0.247,143.844,4
spotify:track:6eJBDAZcQDVvxkxqulNY4V,"초혼 (2015 Ver.)","女子","Jang Yoon-Jeong",2015-04-22,227683,31,false,rapizuam,2023-12-21T02:19:47Z,"enka,k-ballad","2%엔터테인먼트",0.444,0.451,1,-5.687,1,0.0277,0.723,0.00126,0.149,0.23,71.984,4
spotify:track:3gM3r6GuaF96N2jhGvKwTm,"Thumb up","The Most Beautiful Moment in Life","HONG JIN YOUNG",2016-03-24,210240,0,false,rapizuam,2018-01-02T18:35:39Z,"","Music K",0.702,0.885,1,-4.129,1,0.0364,0.465,0,0.0668,0.963,137.03,4
spotify:track:65BRHnxGZiy3ykU1ER15vs,"세월아","préparation","Jang Yoon-Jeong",2019-03-12,209480,0,false,rapizuam,2020-03-11T02:01:54Z,"enka,k-ballad","㈜ 이프로엔터테인먼트",0.526,0.848,9,-2.456,0,0.0506,0.692,0.0000591,0.114,0.684,130.054,4
spotify:track:2aRvyf2tWNkoaaI8AievOt,"time","préparation(쁘레빠라씨용)","Jang Yoon-Jeong",2019-03-12,209480,0,false,rapizuam,2021-02-09T16:12:03Z,"enka,k-ballad","아이오케이 컴퍼니, 티엔엔터",0.526,0.848,9,-2.456,0,0.0506,0.69,0.0000591,0.114,0.684,130.058,4
spotify:track:2Sjoe7bBg9FH3Esh4oldIv,"Oh happy","Blown with the beautiful wind OST Part.4","Jang Yoon-Jeong",2016-10-01,192471,0,false,rapizuam,2018-01-29T14:17:06Z,"enka,k-ballad","Plus Entertainment",0.75,0.825,8,-1.969,0,0.0292,0.267,0,0.267,0.926,114.002,4
spotify:track:5B6EsUSqtNVnBwMPwfcZhS,"Boogie Man","Boogie Man","HONG JIN YOUNG",2013-03-22,190924,21,false,rapizuam,2018-01-02T18:40:00Z,"","KEYEAST",0.567,0.902,11,-0.897,0,0.0388,0.188,0,0.441,0.606,145.977,4
