Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1uKjQoh8JZj9ryuYRhpd7E,"Ahora Te Puedes Marchar","Soy Como Quiero Ser","Luis Miguel",1987-07-15,191973,81,false,,2025-09-11T21:46:02Z,"mariachi,bolero,latin pop,ranchera,villancicos","WM Mexico",0.78,0.877,6,-3.683,0,0.0427,0.148,0.00000236,0.0627,0.909,133.263,4
spotify:track:7dITAq1YP5e0kTcaDq4YWI,"Limón y Sal","Limon Y Sal","Julieta Venegas",2006-05-25,205413,76,false,,2025-09-11T21:46:02Z,"latin pop,latin rock","Ariola",0.634,0.649,11,-6.056,1,0.0255,0.138,0,0.288,0.491,111.03,4
spotify:track:3b1IQflSLrgzYQPGFzI9cl,"Es Por Ti","Un Día Normal","Juanes",2002-01-01,250693,79,false,,2025-09-11T21:46:02Z,"latin pop,colombian pop,rock en español","Int'l Latin America",0.696,0.758,4,-6.077,1,0.0263,0.172,0.0000309,0.189,0.858,129.944,4
spotify:track:4p7XH4NhQ25iGYrrbg93gt,"Suave","Aries","Luis Miguel",1993,289600,70,false,,2025-09-11T21:46:02Z,"mariachi,bolero,latin pop,ranchera,villancicos","WEA Latina",0.61,0.677,4,-9.813,0,0.0325,0.0614,0,0.232,0.444,103.946,4
spotify:track:0WajUW5XINeraP2w0F3F8E,"Don","El Templo del Pop","Miranda!",2008-04-01,183973,75,true,,2025-09-11T21:46:02Z,"latin pop","Pelo Music S.A.",0.824,0.738,6,-5.431,1,0.0867,0.0215,0,0.0495,0.961,119.973,4
spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,"Flaca","Alta Suciedad","Andrés Calamaro",1997,277653,77,false,,2025-09-11T21:46:02Z,"argentine rock,rock en español,latin rock","DRO/EastWest Spain",0.739,0.745,7,-6.658,1,0.0267,0.21,0.0135,0.127,0.949,109.326,4
spotify:track:100Tm6z29RfHTdUQ6NIs0s,"Me Voy","Limon Y Sal","Julieta Venegas",2006-05-25,187520,78,false,,2025-09-11T21:46:02Z,"latin pop,latin rock","Ariola",0.575,0.679,2,-3.845,1,0.0278,0.0664,0,0.0956,0.601,107.878,3
spotify:track:5laT2a6iEq4IxgEDV9dSCr,"Cruz de Navajas","Entre el Cielo y el Suelo (Bonus Tracks Edition)","Mecano",1986-06-16,302493,72,false,,2025-09-11T21:46:02Z,"rock en español,latin pop","BMG Rights Management and Administration (Spain) S.L.U",0.735,0.497,1,-8.467,1,0.0265,0.655,0.000354,0.104,0.571,116.12,4
spotify:track:3UHfhZ4MZfwfSJDw9DhspX,"Querida","Juan Gabriel - 40 Aniversario","Juan Gabriel",2011,323933,56,false,,2025-09-11T21:46:02Z,"mariachi,ranchera,bolero,música mexicana","RCA Records Label",0.355,0.387,2,-10.774,1,0.0317,0.385,0,0.124,0.468,179.162,4
spotify:track:2USyvcBpPjhW0rgiD2R8Bp,"Mariposa Traicionera","Six Pack: Maná - EP","Maná",2010-03-16,264599,58,false,,2025-09-11T21:46:02Z,"rock en español,latin rock,mexican rock,latin pop","WM Mexico",0.773,0.794,5,-4.954,0,0.0326,0.527,0.000354,0.113,0.907,101.143,4
