Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:171WZ8005jWCCvrefjPNxM,"Texas Reznikoff","Bury Me At Makeout Creek","Mitski",2014-11-11,132000,54,false,60727spb0sfh9ijzix1ya4dxi,2025-05-30T04:26:41Z,"","Dead Oceans",0.389,0.263,2,-9.752,1,0.0324,0.0613,0.00000119,0.0936,0.367,73.017,3
spotify:track:3sslYZcFKtUvIEWN9lADgr,"First Love/Late Spring","Bury Me At Makeout Creek","Mitski",2014-11-11,278640,77,false,60727spb0sfh9ijzix1ya4dxi,2025-05-30T04:26:41Z,"","Dead Oceans",0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,4
spotify:track:5411TEB6tlzvuF5A4oyldr,"Francis Forever","Bury Me At Makeout Creek","Mitski",2014-11-11,149680,74,false,60727spb0sfh9ijzix1ya4dxi,2025-05-30T04:26:41Z,"","Dead Oceans",0.535,0.448,2,-9.167,1,0.0279,0.00262,0.0000194,0.115,0.32,101.986,4
spotify:track:5Qk72xAbHXMzOWL6gS5Gcp,"I Don't Smoke","Bury Me At Makeout Creek","Mitski",2014-11-11,198533,67,false,60727spb0sfh9ijzix1ya4dxi,2025-05-30T04:26:41Z,"","Dead Oceans",0.133,0.54,1,-7.108,1,0.0339,0.0000256,0.00805,0.114,0.233,143.951,4
spotify:track:3ngZf8e29zHlW4gNMQb6IR,"Jobless Monday","Bury Me At Makeout Creek","Mitski",2014-11-11,126746,62,false,60727spb0sfh9ijzix1ya4dxi,2025-05-30T04:26:41Z,"","Dead Oceans",0.434,0.442,5,-11.217,1,0.03,0.00106,0.0136,0.123,0.203,100.019,4
spotify:track:7gn3NdQez9Pwbqak4gspz5,"Last Words of a Shooting Star","Bury Me At Makeout Creek","Mitski",2014-11-11,164226,65,false,60727spb0sfh9ijzix1ya4dxi,2025-05-30T04:26:41Z,"","Dead Oceans",0.391,0.167,2,-19.024,1,0.0362,0.47,0.00097,0.11,0.0965,130.498,3
spotify:track:7L2lu4y3E6WlcDBJqWkX10,"River of Doubt","Cookbook","John Andrews & The Yawns",2021-05-14,256444,24,false,60727spb0sfh9ijzix1ya4dxi,2025-07-12T22:00:05Z,"space rock","Woodsist",0.459,0.527,7,-10.1,1,0.0388,0.398,0,0.387,0.617,120.798,4
spotify:track:6Mx73ILJjU7tZ8WIhvaVos,"Will Ye Go, Lassie Go?","Sinners (Original Motion Picture Soundtrack)","Lola Kirke;Peter Dreams;Brian Dunphy;Darren Holden;Jack O’Connell;Sinners Movie",2025-04-18,259200,58,false,60727spb0sfh9ijzix1ya4dxi,2025-07-12T22:02:33Z,"southern gothic","Masterworks",0.618,0.253,0,-9.573,1,0.0264,0.91,0.000124,0.117,0.381,90.054,4
spotify:track:6MpF8w7nEqtmAqsIddOAgC,"New Flowers","Goodbye Long Winter Shadow","Maia Friedman",2025-05-09,172543,20,false,60727spb0sfh9ijzix1ya4dxi,2025-07-12T22:10:06Z,"","Last Gang",0.476,0.395,4,-8.874,0,0.0279,0.495,0.0245,0.152,0.224,71.061,4
spotify:track:30jui3PqevssdIVpjEWM38,"Is there free breakfast here?","Ugly Duck","Hotel Ugly",2023-03-24,129199,66,false,60727spb0sfh9ijzix1ya4dxi,2025-07-12T22:13:00Z,"","Hotel Ugly under exclusive license to Amuseio AB",0.615,0.373,2,-10.173,1,0.0278,0.597,0.00312,0.224,0.337,74.986,4
spotify:track:1BI3TOb107VToPovrraoU2,"Ashes of American Flags","Yankee Hotel Foxtrot","Wilco",2003-10-07,284026,38,true,60727spb0sfh9ijzix1ya4dxi,2025-07-12T22:21:02Z,"alt country,americana,indie rock","Nonesuch",0.344,0.351,2,-12.206,1,0.0342,0.879,0.221,0.0791,0.206,67.017,4
spotify:track:1a19jsjG2DvbN1fVJonKUU,"Beaches","This Is How Tomorrow Moves","beabadoobee",2024-08-09,230053,79,false,60727spb0sfh9ijzix1ya4dxi,2025-07-13T04:03:07Z,"bedroom pop","Dirty Hit",0.417,0.812,10,-3.979,1,0.0332,0.0154,0.0000211,0.189,0.419,82.002,4
spotify:track:4S5c5as5UkWyCCiV0dGIWt,"I Would Let You","When a Thought Grows Wings","Luna Li",2024-08-23,261721,32,false,60727spb0sfh9ijzix1ya4dxi,2025-07-13T04:03:17Z,"","In Real Life Music",0.53,0.467,0,-7.2,1,0.0256,0.0553,0.00364,0.125,0.4,130.054,4
spotify:track:6OiRh4kttAs1YWglvTcYkB,"Alrighty Aphrodite","Being So Normal","Peach Pit",2018-06-28,207813,68,false,60727spb0sfh9ijzix1ya4dxi,2025-07-13T05:24:12Z,"","Columbia",0.534,0.724,6,-4.675,0,0.0495,0.00605,0.0929,0.108,0.503,81.846,4
spotify:track:1C9go7TazDEYzGkNiOERe6,"Witness","Goodbye Long Winter Shadow","Maia Friedman",2025-05-09,207960,5,false,60727spb0sfh9ijzix1ya4dxi,2025-07-15T13:52:50Z,"","Last Gang",0.336,0.195,4,-12.916,1,0.0308,0.614,0.000364,0.08,0.156,109.254,4
spotify:track:3vxvz0JoRDvnx2jG9oPljA,"Love You Anyway","Submarine","The Marías",2024-05-31,237133,74,false,60727spb0sfh9ijzix1ya4dxi,2025-07-15T21:36:06Z,"bedroom pop","Nice Life/Atlantic",0.737,0.457,6,-9.132,1,0.0511,0.531,0.332,0.0881,0.915,144.031,4
spotify:track:1gpBDeONibvJyQYEv5HJh9,"Drop the Guillotine","Being So Normal","Peach Pit",2018-06-28,219960,58,false,60727spb0sfh9ijzix1ya4dxi,2025-07-15T22:01:16Z,"","Columbia",0.514,0.881,0,-6.52,1,0.0629,0.0381,0.00000955,0.103,0.577,87.541,4
