Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0QLMAhZQACGtzi11XZVa6A,"Lonely Town","Hill Climber","Vulfpeck;Theo Katzman",2018-12-07,174614,40,false,60727spb0sfh9ijzix1ya4dxi,2025-06-18T04:10:00Z,"funk,funk rock,retro soul","Vulf Records",0.908,0.644,7,-7.964,1,0.0429,0.065,0.00000303,0.123,0.96,100.401,4
spotify:track:18mmN3VrFWRi6SsSBJf6WJ,"Pasos de cero","Terral","Pablo Alborán",2014-11-10,234373,69,false,60727spb0sfh9ijzix1ya4dxi,2025-06-18T13:30:54Z,"latin pop","Parlophone Spain",0.749,0.637,7,-6.924,1,0.0764,0.308,0,0.0878,0.798,99.951,4
spotify:track:2gmWJA9oF4GD2Vw5QoRqu1,"I Want You","I Want You (Deluxe Edition)","Marvin Gaye",1976-03-16,274400,68,false,60727spb0sfh9ijzix1ya4dxi,2025-06-23T20:29:38Z,"motown,classic soul,soul,northern soul,quiet storm","Motown",0.515,0.793,1,-9.557,0,0.034,0.849,0.317,0.236,0.737,100.551,4
spotify:track:7gyEo8okigsNt9Nn2ArUWR,"It Might Have To Be You","It Might Have To Be You","Vulfmon;Evangeline",2024-11-14,167855,24,false,60727spb0sfh9ijzix1ya4dxi,2025-06-29T23:34:24Z,"","Vulf Records",0.914,0.396,10,-8.532,1,0.0635,0.618,0.00191,0.125,0.747,105.009,4
spotify:track:1tVns3cKYyfKbcR55f9B2G,"Jello and Juggernauts","Unknown Mortal Orchestra","Unknown Mortal Orchestra",2011-06-21,203653,29,false,60727spb0sfh9ijzix1ya4dxi,2025-07-01T05:30:52Z,"neo-psychedelic","Fat Possum",0.727,0.582,0,-3.932,0,0.0354,0.546,0.834,0.0965,0.333,96.231,4
spotify:track:31CsSZ9KlQmEu0JvWSkM3j,"Deslocado","Deslocado","NAPA",2025-03-10,179996,77,false,60727spb0sfh9ijzix1ya4dxi,2025-07-01T06:25:33Z,"","NAPA",0.568,0.455,6,-7.931,1,0.0275,0.15,0.00027,0.152,0.412,75.504,4
spotify:track:5cqBLGTic49hsZSPflkQV1,"Kill Me","Kill Me","Bosudongcooler",2018-04-20,242438,35,false,60727spb0sfh9ijzix1ya4dxi,2025-07-06T01:10:26Z,"k-rock","Boiler Record",0.593,0.576,0,-7.39,1,0.0262,0.128,0.00495,0.0862,0.398,75.033,4
spotify:track:1iXtpeHC0i6c7JBrKi3yaq,"Use Your Heart","New Beginning","SWV",1996-04-23,289000,60,false,60727spb0sfh9ijzix1ya4dxi,2025-07-06T01:15:39Z,"new jack swing,r&b","RCA Records Label",0.623,0.479,9,-8.457,1,0.0389,0.17,0.00561,0.341,0.602,73.968,4
spotify:track:67ZorjDM25q7bETfLbHdfS,"You're the One","New Beginning","SWV",1996-04-23,282600,55,false,60727spb0sfh9ijzix1ya4dxi,2025-07-06T01:16:02Z,"new jack swing,r&b","RCA Records Label",0.79,0.608,6,-7.151,1,0.0363,0.522,0.00491,0.193,0.958,94.166,4
spotify:track:1mc2lpdp1a6gjo1YjcZnsc,"You Are My Love","New Beginning","SWV",1996-04-23,295293,30,false,60727spb0sfh9ijzix1ya4dxi,2025-07-06T01:17:17Z,"new jack swing,r&b","RCA Records Label",0.651,0.508,2,-8.412,1,0.0267,0.19,0.0000141,0.081,0.322,119.891,4
