Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7MBSbBrx0TvBYyKEcpGcJb,"Sweet Marie","Young Men","The Walters",2015-12-23,137092,0,false,60727spb0sfh9ijzix1ya4dxi,2024-09-06T07:44:47Z,"","The Walters",0.245,0.425,9,-8.379,1,0.0324,0.914,0.646,0.116,0.254,203.816,4
spotify:track:2TktkzfozZifbQhXjT6I33,"Evergreen (You Didn’t Deserve Me At All)","Ivory","Omar Apollo",2022-04-08,216680,79,false,60727spb0sfh9ijzix1ya4dxi,2024-09-06T07:46:50Z,"bedroom pop","Warner Records",0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,3
spotify:track:6xB36Rdbu32JzbQGrPcRb7,"So Long, Frank Lloyd Wright","For The Sake Of The Rhyme","Madison Cunningham",2019-03-15,183973,12,false,60727spb0sfh9ijzix1ya4dxi,2024-09-06T07:47:29Z,"","Verve Forecast",0.616,0.058,7,-15.695,1,0.0496,0.942,0.000508,0.109,0.173,116.912,4
spotify:track:4qG7hWhljsqqENL5PaLA2z,"Let The Light In (feat. Father John Misty)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey;Father John Misty",2023-03-24,278126,78,false,60727spb0sfh9ijzix1ya4dxi,2024-09-06T07:48:48Z,"","Polydor Records",0.335,0.44,9,-9.748,1,0.0275,0.385,0.00251,0.115,0.198,132.449,4
spotify:track:6TBJkXHPhu3EsMk1bshwuI,"ONLY","4 ONLY","LeeHi",2021-09-09,240906,78,false,60727spb0sfh9ijzix1ya4dxi,2024-09-06T07:51:51Z,"k-ballad,k-pop","Genie Music Corporation, Stone Music Entertainment",0.536,0.296,5,-7.451,1,0.0346,0.892,0,0.0873,0.151,122.907,3
spotify:track:7yR5ZDif2glYMnFP73uRMm,"Out Like a Light","Out Like a Light","The Honeysticks;Ricky Montgomery",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2024-09-06T07:52:10Z,"","The Honeysticks",0.522,0.458,11,-7.785,1,0.0275,0.17,0.00244,0.072,0.359,125.973,3
spotify:track:1yYlpGuBiRRf33e1gY61bN,"Night Shift","Historian","Lucy Dacus",2018-03-02,391829,66,true,60727spb0sfh9ijzix1ya4dxi,2024-09-06T07:57:26Z,"","Matador",0.48,0.311,9,-7.887,1,0.0258,0.313,0.0000152,0.113,0.162,86.15,4
spotify:track:4CrSb6QANO8NX2rdLa9Hg7,"God Is Just the Universe","God Is Just the Universe","Corey Kilgannon",2020-04-12,282709,22,false,60727spb0sfh9ijzix1ya4dxi,2024-09-06T22:31:46Z,"","Corey Kilgannon, under exclusive license to Amuseio AB",0.377,0.153,10,-15.459,1,0.0355,0.648,0,0.108,0.285,84.079,4
spotify:track:5pCHHyPPDToSIDrU7k0JCs,"I Close My Eyes","I Close My Eyes","Nathan Alef;Madison Cunningham",2000,243715,6,false,60727spb0sfh9ijzix1ya4dxi,2024-09-07T03:21:23Z,"","Nathan Alef",0.558,0.128,3,-16.027,1,0.0339,0.97,0.0251,0.103,0.35,123.236,3
spotify:track:0yc6Gst2xkRu0eMLeRMGCX,"Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290616,13,false,60727spb0sfh9ijzix1ya4dxi,2024-09-07T04:04:53Z,"dream pop","Partisan Records",0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,4
spotify:track:5cpOWNmI84MuUCeciETO64,"Kazeyo","HELP EVER HURT NEVER","Fujii Kaze",2020-05-20,284520,48,false,60727spb0sfh9ijzix1ya4dxi,2024-09-07T15:42:36Z,"j-pop","Universal Music LLC",0.512,0.462,9,-8.285,0,0.0304,0.679,0.000216,0.101,0.228,114.966,3
spotify:track:13sriBx6reARmsPLjpuglX,"Piano Concerto in G Major, M. 83: II. Adagio assai","Ravel: Piano Concerto in G; Gaspard de la Nuit; Sonatine","Maurice Ravel;Martha Argerich;Berliner Philharmoniker;Claudio Abbado",1987-01-01,543840,37,false,60727spb0sfh9ijzix1ya4dxi,2024-09-15T05:02:08Z,"impressionism,classical,classical piano,neoclassical,chamber music,concerto,orchestral,ballet,opera,expressionism","Deutsche Grammophon (DG)",0.221,0.033,4,-30.911,1,0.0337,0.983,0.936,0.0775,0.0613,74.964,4
spotify:track:4Eegpewr60UiKR7w8wfGMH,"Location","For The Sake Of The Rhyme","Madison Cunningham",2019-03-15,203546,10,false,60727spb0sfh9ijzix1ya4dxi,2024-09-18T03:13:15Z,"","Verve Forecast",0.595,0.435,7,-6.392,1,0.0455,0.386,0.0000136,0.112,0.388,115.672,3
spotify:track:4X0YxjnkSXCeVcYOkkAsyH,"I Can't Be With You","No Need To Argue (The Complete Sessions 1994-1995)","The Cranberries",1994-10-03,187840,8,false,60727spb0sfh9ijzix1ya4dxi,2024-09-18T04:43:58Z,"","Island Records",0.469,0.752,10,-10.429,1,0.0314,0.0778,0.0000166,0.122,0.708,130.715,4
spotify:track:3mayeyaPg5DQGBa78LJM59,"Pretty","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,136200,55,false,60727spb0sfh9ijzix1ya4dxi,2024-09-18T05:00:57Z,"","Island Records",0.654,0.243,0,-15.379,1,0.0253,0.343,0.000148,0.142,0.675,97.062,4
spotify:track:5CBqLg9XdeEHcknJX0fZIJ,"Paul - 2023 Remaster","Masterpiece (2023 Remaster)","Big Thief",2016,183894,69,true,60727spb0sfh9ijzix1ya4dxi,2024-09-18T06:31:02Z,"","4AD",0.473,0.342,11,-8.568,1,0.0343,0.134,0.0000347,0.115,0.225,123.472,4
