Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2pYCyEwJ0xKnWbuQkqNHgp,"Love and Happiness","Greatest Hits","Al Green",1975-05-29,303533,53,false,60727spb0sfh9ijzix1ya4dxi,2025-03-04T13:30:44Z,"soul,classic soul,motown,soul blues","Fat Possum",0.825,0.43,8,-10.879,0,0.146,0.296,0.00513,0.0812,0.738,99.753,4
spotify:track:724fLljqWKquCXvT6Ite6e,"Wall St","Meet Me After Practice","Boys Go To Jupiter",2025-02-28,233025,43,false,60727spb0sfh9ijzix1ya4dxi,2025-03-04T13:31:17Z,"","Many Hats Distribution",0.513,0.763,5,-5.883,1,0.184,0.158,0.00000319,0.824,0.689,125.382,4
spotify:track:6TlkRvPjRQo5VZqIfM0MjA,"Doctor's Orders","The Carol Douglas Album","Carol Douglas",1975-01-01,270533,46,false,60727spb0sfh9ijzix1ya4dxi,2025-03-04T15:18:49Z,"disco","UNIDISC MUSIC INC.",0.662,0.636,0,-14.2,1,0.0336,0.0679,0.737,0.0891,0.963,125.845,4
spotify:track:6TW4bM3L1tyiUlCnQUkS1U,"Kids","Canyons","Young Gun Silver Fox",2020-02-21,185506,48,false,60727spb0sfh9ijzix1ya4dxi,2025-03-04T15:19:16Z,"yacht rock,aor","Monty Music Ltd T/A Candelion",0.838,0.635,2,-6.822,1,0.0304,0.254,0.0000436,0.199,0.946,106.918,4
spotify:track:4pNiE4LCVV74vfIBaUHm1b,"Sir Duke","Songs In The Key Of Life","Stevie Wonder",1976-09-28,232760,74,false,60727spb0sfh9ijzix1ya4dxi,2025-03-04T15:19:35Z,"motown,classic soul,soul","UNI/MOTOWN",0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,4
spotify:track:4LNc4Rf4TG3YeHzt3sulGI,"Dawn","Dawn","Vulfmon;Jacob Jeffries;Harrison Whitford",2025-01-22,194335,12,false,60727spb0sfh9ijzix1ya4dxi,2025-03-04T15:27:46Z,"","Vulf Records",0.728,0.531,8,-5.457,1,0.0563,0.443,0,0.414,0.801,124.99,4
spotify:track:3IDc87lrpEHWFBASmgTgFV,"Mercy Mercy Me (The Ecology)","What's Going On","Marvin Gaye",1971-05-21,193573,72,false,60727spb0sfh9ijzix1ya4dxi,2025-03-04T18:25:21Z,"motown,classic soul,soul,northern soul,quiet storm","UNI/MOTOWN",0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,4
spotify:track:5ZoDwIP1ntHwciLjydJ8X2,"My Cherie Amour","My Cherie Amour","Stevie Wonder",1969-08-01,173306,68,false,60727spb0sfh9ijzix1ya4dxi,2025-03-04T19:17:21Z,"motown,classic soul,soul","Motown",0.574,0.507,6,-11.343,1,0.0258,0.228,0.00000457,0.279,0.514,101.085,4
spotify:track:4kMXhrHANSDUpgqtjX132p,"Lint of Love","Stereotype A","Cibo Matto",1999,370173,34,false,60727spb0sfh9ijzix1ya4dxi,2025-03-31T13:10:39Z,"shibuya-kei,trip hop,art pop","Rhino/Warner Records",0.811,0.763,11,-7.248,0,0.0781,0.0614,0.0162,0.146,0.681,115.314,4
spotify:track:3xsOtNxtBW0oTI1OWKAzTm,"Walk on By","Make Way for Dionne Warwick","Dionne Warwick",1964,178333,67,false,60727spb0sfh9ijzix1ya4dxi,2025-03-07T05:29:45Z,"","Rhino",0.7,0.33,5,-9.027,1,0.0303,0.719,0.000086,0.136,0.524,98.605,4
