Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3s9eWdn8IymCPvVLcKpjww,"The Moon Song","The Moon Song","beabadoobee;Oscar Lang",2017-11-06,141040,62,false,60727spb0sfh9ijzix1ya4dxi,2020-02-05T23:33:20Z,"bedroom pop","Dirty Hit",0.405,0.0854,0,-15.488,1,0.0336,0.968,0.0121,0.139,0.148,93.768,4
spotify:track:1teZCnh8MDg8aF691vPsfr,"String Quartet in F Major, M. 35: I. Allegro moderato, tres doux","Ravel: String Quartet in F major - Bartok: String Quartet No. 4","Maurice Ravel;Cavani Quartet",2010-04-14,530866,0,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:25:06Z,"impressionism,classical,classical piano,neoclassical,chamber music,expressionism","Azica Records",0.244,0.0929,5,-25.626,1,0.0551,0.951,0.695,0.145,0.0686,130.32,4
spotify:track:0QLMAhZQACGtzi11XZVa6A,"Lonely Town","Hill Climber","Vulfpeck;Theo Katzman",2018-12-07,174614,40,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T01:58:49Z,"funk,funk rock,retro soul","Vulf Records",0.908,0.644,7,-7.964,1,0.0429,0.065,0.00000303,0.123,0.96,100.401,4
spotify:track:2nGFzvICaeEWjIrBrL2RAx,"Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae",2006-01-01,215360,81,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:23:12Z,"","EMI Records",0.739,0.511,9,-7.844,1,0.0362,0.167,0.00000134,0.133,0.542,96.038,4
spotify:track:2Oq7phiwlXV5VfMEreF6CH,"Debussy: String Quartet in G Minor, Op. 10, CD 91, L. 85: III. Andantino. Doucement expressif","Debussy, Fauré & Ravel: String Quartets","Claude Debussy;Quatuor Ébène",2008-10-06,498746,22,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:23:24Z,"impressionism,classical,classical piano,chamber music","Warner Classics",0.0646,0.0177,6,-27.249,1,0.0586,0.96,0.532,0.0533,0.0345,65.458,4
spotify:track:18mmN3VrFWRi6SsSBJf6WJ,"Pasos de cero","Terral","Pablo Alborán",2014-11-10,234373,69,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:23:59Z,"latin pop","Parlophone Spain",0.749,0.637,7,-6.924,1,0.0764,0.308,0,0.0878,0.798,99.951,4
spotify:track:5eHL6qb571tjlNrcYeVhRg,"Alborado Del Gracioso","Spanish Rhapsody","Maurice Ravel;John Novacek",1995-01-01,441106,0,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:24:05Z,"impressionism,classical,classical piano,neoclassical,ragtime,minimalism","Ambassador",0.408,0.0698,2,-26.153,1,0.0438,0.992,0.874,0.106,0.0417,126.044,4
spotify:track:77O56OCO4RJc0y2GrPzO0x,"Suite for 2 Violins & Piano, Op. 71: No. 1, Allegro energico","Moszkowski: Works for Violin & Piano","Moritz Moszkowski;Nazrin Rashidova;Daniel Grimwood",2015-12-04,287213,0,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:24:29Z,"classical piano,chamber music","Naxos",0.263,0.179,3,-17.606,1,0.0438,0.971,0.727,0.21,0.272,94.127,4
spotify:track:0k664IuFwVP557Gnx7RhIl,"Juice","Cuz I Love You","Lizzo",2019-04-19,195144,67,true,60727spb0sfh9ijzix1ya4dxi,2020-02-06T02:08:03Z,"","Nice Life/Atlantic",0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93,4
spotify:track:1KbhFmBQNnSsb5CnO0I36O,"Rachmaninoff: Rachmaninov: Symphony No.2 in E minor, Op.27: 3. Adagio","Relaxing Rachmaninov","Valery Gergiev;Mariinsky Orchestra",2019-12-20,220370,6,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:24:36Z,"classical,ballet,opera,orchestral","UME - Global Clearing House",0.159,0.0221,9,-26.145,1,0.0437,0.975,0.456,0.114,0.0369,131.708,3
spotify:track:71WAtDcWVYMoCsblD2uQXx,"Chasing Pavements","19","Adele",2008-01-28,210506,0,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:24:47Z,"soft pop","XL Recordings",0.621,0.473,5,-6.07,0,0.0251,0.312,0,0.11,0.325,80.027,4
spotify:track:0mwn1hTGqC0luXpwI9EG3G,"Hungarian Rhapsody No. 6 in D-Flat Major, S. 244/6","Liszt: Piano Concerto No.1; Piano Sonata in B","Franz Liszt;Martha Argerich",2000-01-01,382266,32,false,60727spb0sfh9ijzix1ya4dxi,2020-02-06T00:23:30Z,"classical piano,classical,chamber music,impressionism,concerto","Deutsche Grammophon (DG)",0.413,0.281,1,-14.297,1,0.0527,0.99,0.89,0.159,0.19,126.707,4
spotify:track:2jdAk8ATWIL3dwT47XpRfu,"Slow Dancing in a Burning Room","Continuum","John Mayer",2006-09-11,241946,74,false,60727spb0sfh9ijzix1ya4dxi,2020-02-09T19:49:14Z,"singer-songwriter","Aware/Columbia",0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,5
spotify:track:3afeZ81GDy59tATovKyH6Z,"I Know You Know","Esperanza","Esperanza Spalding",2008-01-01,225200,55,false,60727spb0sfh9ijzix1ya4dxi,2020-02-09T20:00:06Z,"vocal jazz,jazz,jazz pop","Heads Up",0.578,0.438,2,-11.483,0,0.0696,0.737,0.00877,0.097,0.79,89.083,4
spotify:track:4EWBhKf1fOFnyMtUzACXEc,"Pluto Projector","Pony","Rex Orange County",2019-10-25,267518,76,false,60727spb0sfh9ijzix1ya4dxi,2020-02-09T20:03:08Z,"bedroom pop","Rex Orange County",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
spotify:track:2bOqEAbpUbCNeZmkUDJQo2,"Lullaby for String Quartet","Gershwin & Kern","George Gershwin;Alexander String Quartet",2012-08-14,431293,27,false,60727spb0sfh9ijzix1ya4dxi,2020-02-09T20:07:22Z,"ragtime,chamber music","FoghornClassics.com",0.152,0.0667,7,-23.263,1,0.039,0.964,0.471,0.0886,0.0686,96.057,3
spotify:track:1tGRfoeKD06YvZr6l3uwEk,"Pulaski","Are You Serious (Deluxe Edition)","Andrew Bird",2016-01-01,242146,39,false,60727spb0sfh9ijzix1ya4dxi,2020-02-09T20:14:54Z,"baroque pop,indie folk","Loma Vista",0.453,0.717,7,-7.724,1,0.0753,0.174,0.00243,0.12,0.393,111.023,4
spotify:track:43ddJFnP8m3PzNJXiHuiyJ,"The Way I Am","Girls and Boys","Ingrid Michaelson",2007-01-01,135386,52,false,60727spb0sfh9ijzix1ya4dxi,2020-02-09T20:32:09Z,"","Ingrid Michaelson",0.877,0.259,5,-9.302,1,0.0427,0.771,0.00000898,0.108,0.32,119.989,4
spotify:track:5QJuMhGWTUB4t9BqR7ndL3,"Make Me Your Queen","What Do You Think About the Car?","Declan McKenna",2017-04-21,221352,52,false,60727spb0sfh9ijzix1ya4dxi,2020-02-11T22:29:58Z,"","Columbia",0.491,0.666,2,-6.42,1,0.0317,0.00146,0.00000129,0.104,0.26,125.041,4
spotify:track:3iJya7m7trpGv570Ske30n,"I Hear a Symphony","Flying","Cody Fry",2017-10-06,185176,0,false,60727spb0sfh9ijzix1ya4dxi,2020-02-11T22:38:20Z,"","Cody Fry",0.207,0.243,10,-8.181,1,0.0306,0.925,0.0342,0.118,0.394,171.648,4
