Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3IJzE46O8hpo05HM9D7k44,"Dry As Sand","Who Are You Now","Madison Cunningham",2019-08-16,259720,24,false,60727spb0sfh9ijzix1ya4dxi,2022-10-05T07:11:56Z,"","Verve Forecast",0.42,0.19,11,-13.459,0,0.0391,0.598,0.00411,0.0854,0.0666,120.541,4
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,82,false,60727spb0sfh9ijzix1ya4dxi,2022-10-05T07:12:32Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:6TBJkXHPhu3EsMk1bshwuI,"ONLY","4 ONLY","LeeHi",2021-09-09,240906,78,false,60727spb0sfh9ijzix1ya4dxi,2022-10-05T07:12:39Z,"k-ballad,k-pop","Genie Music Corporation, Stone Music Entertainment",0.536,0.296,5,-7.451,1,0.0346,0.892,0,0.0873,0.151,122.907,3
spotify:track:1UcgqK04vVmW8aXV2OxGiZ,"Swim and Sleep (Like a Shark)","II","Unknown Mortal Orchestra",2013-02-05,165226,0,false,60727spb0sfh9ijzix1ya4dxi,2022-10-05T07:12:45Z,"neo-psychedelic","Jagjaguwar",0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.51,4
spotify:track:6dBUzqjtbnIa1TwYbyw5CM,"Lovers Rock","French Exit","TV Girl",2014-06-05,213920,88,false,60727spb0sfh9ijzix1ya4dxi,2022-10-06T17:09:45Z,"","TV Girl",0.559,0.871,5,-5.338,0,0.0397,0.00000753,0.00545,0.096,0.572,104.97,4
spotify:track:0HAqq2GcQKyi3s87GuN7jU,"Amoeba","Sling","Clairo",2021-07-16,228922,75,false,60727spb0sfh9ijzix1ya4dxi,2022-10-06T17:09:53Z,"bedroom pop","Republic Records",0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,4
spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma","Comedown Machine","The Strokes",2013-03-25,204773,73,false,60727spb0sfh9ijzix1ya4dxi,2022-10-06T17:10:34Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4
spotify:track:2t0wwvR15fc3K1ey8OiOaN,"Selfless","The New Abnormal","The Strokes",2020-04-10,222093,78,false,60727spb0sfh9ijzix1ya4dxi,2022-10-06T17:10:55Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,4
spotify:track:4Eegpewr60UiKR7w8wfGMH,"Location","For The Sake Of The Rhyme","Madison Cunningham",2019-03-15,203546,10,false,60727spb0sfh9ijzix1ya4dxi,2022-10-09T23:44:17Z,"","Verve Forecast",0.595,0.435,7,-6.392,1,0.0455,0.386,0.0000136,0.112,0.388,115.672,3
spotify:track:5RgFlk1fcClZd0Y4SGYhqH,"She's Always a Woman","The Stranger (Legacy Edition)","Billy Joel",1977,201373,80,false,60727spb0sfh9ijzix1ya4dxi,2022-10-18T23:21:27Z,"soft rock","Columbia/Legacy",0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,3
spotify:track:5Dijn7Azi4mjmMR4aytxLx,"Public Life","Public Life","Joshua Lee Turner",2020-08-07,282771,13,false,60727spb0sfh9ijzix1ya4dxi,2022-10-18T23:21:44Z,"","Bring Luck Records",0.527,0.671,2,-7.568,1,0.0267,0.551,0.00184,0.494,0.774,98.045,4
spotify:track:5rwDHRNX2ntvlJbcb8xONo,"miss me if u want to","miss me if u want to","Tipling Rock",2020-08-14,157500,42,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:05:02Z,"","Tipling Rock",0.666,0.517,4,-8.379,0,0.0399,0.875,0.000455,0.208,0.571,147.979,4
spotify:track:3koAwrM1RO0TGMeQJ3qt9J,"$10","Prize//Reward","Good Morning",2018-05-11,89508,49,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:05:06Z,"lo-fi indie,bedroom pop","Bedroom Suck Records",0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,4
spotify:track:6rcEGONV6XPUTvwqUEXdIH,"Midnight Snack","Midnight Snack","HOMESHAKE",2015-09-18,174342,42,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:05:11Z,"bedroom pop","Sinderlyn",0.745,0.363,4,-9.289,0,0.0325,0.511,0.931,0.214,0.71,140.064,4
spotify:track:5SG2BVsZr0W7cFAkjh60TT,"THE BOTTOM","HEATWAVE","MICHELLE",2018-09-04,219833,48,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:05:16Z,"bedroom pop","Canvasback/ATL",0.747,0.614,9,-6.759,0,0.0256,0.00326,0.561,0.185,0.843,110.001,4
spotify:track:6iwXzkhrOgokSyTmKZQvym,"STUCK ON U","HEATWAVE","MICHELLE",2018-09-04,144000,35,false,60727spb0sfh9ijzix1ya4dxi,2022-10-24T01:25:03Z,"bedroom pop","Canvasback/ATL",0.636,0.581,7,-7.361,1,0.0458,0.232,0.00596,0.15,0.727,169.928,4
spotify:track:1EN2226zD5377BMhCrIFsd,"Rockaway","As Good a Place as Any","Joshua Lee Turner",2019-04-05,227400,21,false,60727spb0sfh9ijzix1ya4dxi,2022-11-01T23:08:26Z,"","Bring Luck Records",0.548,0.255,2,-13.934,1,0.0297,0.923,0.00367,0.123,0.161,120.871,3
spotify:track:51Grh1RyUDcMBbpuyUIUHI,"rises the moon","recently","Liana Flores",2019-04-10,161929,82,false,60727spb0sfh9ijzix1ya4dxi,2022-11-07T08:34:46Z,"","liana flores",0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,3
spotify:track:1GTC0DN9LGOdP0NdvoHyX7,"ゆめうつつ","ランプ幻想","Lamp",2008-12-03,315640,67,false,60727spb0sfh9ijzix1ya4dxi,2022-11-07T08:35:10Z,"shibuya-kei,japanese indie,city pop","In The Garden Records",0.346,0.126,2,-16.89,1,0.0347,0.985,0.463,0.0771,0.0761,92.959,4
spotify:track:7yR5ZDif2glYMnFP73uRMm,"Out Like a Light","Out Like a Light","The Honeysticks;Ricky Montgomery",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2022-11-07T08:37:56Z,"","The Honeysticks",0.522,0.458,11,-7.785,1,0.0275,0.17,0.00244,0.072,0.359,125.973,3
spotify:track:17hBfRyeor6B2lmRAjRN6g,"Jupiter Rainstorm","The Water's Fine!","Liana Flores",2018-06-01,111727,38,false,60727spb0sfh9ijzix1ya4dxi,2022-11-07T08:41:12Z,"","880898 Records DK",0.743,0.257,8,-13.964,1,0.039,0.982,0.925,0.102,0.212,119.759,4
spotify:track:5nVE45ithgyVocZp5XLAk6,"The Bug Collector","I Need to Start a Garden","Haley Heynderickx",2018-03-02,228459,67,true,60727spb0sfh9ijzix1ya4dxi,2022-11-09T06:29:12Z,"","Mama Bird Recording Co.",0.538,0.419,10,-9.705,1,0.0353,0.777,0.329,0.0967,0.529,99.622,4
spotify:track:3OHfY25tqY28d16oZczHc8,"Kill Bill","SOS","SZA",2022-12-09,153946,79,false,60727spb0sfh9ijzix1ya4dxi,2022-12-24T00:41:20Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,4
spotify:track:5dkhXb9kA9TRhhC929wbkm,"Alemania","Alemania","Twin Shadow",2021-04-16,235920,31,false,60727spb0sfh9ijzix1ya4dxi,2024-05-24T18:09:05Z,"","Cheree Cheree",0.533,0.686,1,-5.686,0,0.069,0.0885,0.000052,0.105,0.804,173.938,4
spotify:track:0IN0ST4OUeSCWASMGa8DyP,"Gold Past Life","Gold Past Life","Fruit Bats",2019-06-21,209533,15,false,60727spb0sfh9ijzix1ya4dxi,2024-05-24T18:12:56Z,"","Merge Records",0.803,0.632,0,-8.495,1,0.0313,0.736,0.0374,0.085,0.719,94.002,4
spotify:track:0TRaW2iZYe4lEkm6liCcEG,"The Opposite of Afternoon","II (10 Year Anniversary Edition)","Unknown Mortal Orchestra",2023-03-16,325493,33,false,60727spb0sfh9ijzix1ya4dxi,2024-05-24T19:28:56Z,"neo-psychedelic","Jagjaguwar",0.562,0.574,3,-9.175,1,0.329,0.78,0.18,0.205,0.579,118.601,4
spotify:track:0P9XwjnnIPQFTwdqvu01Mf,"lovememore.","dosii","dosii",2019-02-28,231709,54,false,60727spb0sfh9ijzix1ya4dxi,2024-05-25T22:50:53Z,"","Genie Music Corporation, Stone Music Entertainment",0.641,0.683,0,-7.521,0,0.0273,0.768,0.0176,0.0824,0.924,155.887,4
