Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6LYZANsYWq2GBMFFYCkSPD,"The Precious Hours","Bubbles","Proleter",2018-07-02,168746,0,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:27:35Z,"electro swing,swing music,nu jazz","Autoproduction",0.637,0.58,8,-7.044,0,0.0675,0.155,0.762,0.111,0.705,88.787,4
spotify:track:2qxmye6gAegTMjLKEBoR3d,"Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,83,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:29:47Z,"","2018",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
spotify:track:4JaLkM90MJutDAl5jD9BZX,"No Control","FOUR (Deluxe)","One Direction",2014-11-17,199724,70,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:29:51Z,"","Syco Music",0.558,0.916,1,-3.145,0,0.0839,0.0278,0,0.0296,0.85,142.984,4
spotify:track:3P3UA61WRQqwCXaoFOTENd,"Through the Night","Palette","IU",2017-04-21,253293,61,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:30:37Z,"k-pop,k-ballad","Fave Entertainment",0.428,0.313,8,-7.327,1,0.0391,0.757,0,0.309,0.284,78.723,4
spotify:track:4alHo6RGd0D3OUbTPExTHN,"Just What I Needed","The Cars","The Cars",1978-06-06,225626,71,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:31:02Z,"power pop,new wave,classic rock","Elektra Records",0.62,0.579,4,-9.307,1,0.0473,0.0152,0.000064,0.0858,0.691,127.215,4
spotify:track:3Pzh926pXggbMe2ZpXyMV7,"Ain't No Rest for the Wicked","Cage The Elephant (Expanded Edition)","Cage The Elephant",2009-03-24,175493,74,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:31:12Z,"","Jive/Legacy",0.636,0.849,0,-7.075,1,0.106,0.0438,0,0.372,0.917,156.036,4
spotify:track:0TK2YIli7K1leLovkQiNik,"Señorita","Señorita","Shawn Mendes;Camila Cabello",2019-06-21,190960,81,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:31:23Z,"","Island Records",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
spotify:track:6ukMqDxnOPOgoHdak7Kyp3,"Marvin Gaye (feat. Meghan Trainor)","Some Type of Love","Charlie Puth;Meghan Trainor",2015-05-01,190453,61,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:31:27Z,"soft pop,pop","Artist Partner",0.795,0.616,1,-5.281,0,0.06,0.417,0,0.349,0.815,110.015,4
spotify:track:6wmAHw1szh5RCKSRjiXhPe,"How Long","Voicenotes","Charlie Puth",2018-05-11,200853,79,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:31:30Z,"soft pop,pop","Artist Partner",0.845,0.561,1,-5.253,0,0.0778,0.211,0.00000349,0.0383,0.811,109.974,4
spotify:track:6ooluO7DiEhI1zmK94nRCM,"Take Me Out","Franz Ferdinand","Franz Ferdinand",2004,237026,5,false,60727spb0sfh9ijzix1ya4dxi,2019-07-21T17:34:41Z,"indie rock","Epic",0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,4
