Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1I9GllIh1R3EMvTFT5Tfn7,"Fair-Weather Friend","A Song For Every Moon","Bruno Major",2017-08-31,186712,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T20:33:24Z,"","Bruno Major",0.68,0.34,6,-6.985,1,0.115,0.56,0.0021,0.0705,0.391,131.353,3
spotify:track:3ml3WB66sqG4kXoPBX2POA,"Janet","Berhana","Berhana",2016-07-21,204000,45,true,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:49:54Z,"alternative r&b","Berhana",0.81,0.308,0,-8.194,1,0.0818,0.354,0,0.0899,0.56,120.012,4
spotify:track:7aohwSiTDju51QmC54AUba,"You And I","Be OK","Ingrid Michaelson",2008-10-14,148400,59,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:50:52Z,"","Ingrid Michaelson (Spirit Music)",0.698,0.285,0,-7.632,1,0.0553,0.927,0,0.0883,0.53,135.027,4
spotify:track:4w9Uex2WJC3QCawt8vLM05,"Junk - Remastered 2011","McCartney (Archive Collection)","Paul McCartney",1970-04-17,115293,40,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:51:34Z,"","Paul McCartney Catalog",0.712,0.0862,9,-17.696,1,0.0325,0.814,0.000259,0.191,0.315,90.666,3
spotify:track:71WAtDcWVYMoCsblD2uQXx,"Chasing Pavements","19","Adele",2008-01-28,210506,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:52:17Z,"soft pop","XL Recordings",0.621,0.473,5,-6.07,0,0.0251,0.312,0,0.11,0.325,80.027,4
spotify:track:4EWBhKf1fOFnyMtUzACXEc,"Pluto Projector","Pony","Rex Orange County",2019-10-25,267518,76,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:52:26Z,"bedroom pop","Rex Orange County",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
spotify:track:2gx8bumNIp9AS3JSSYekgc,"Fog in the Mirror","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,241376,25,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:52:44Z,"retro soul","Ten Good Songs",0.736,0.278,3,-14.971,1,0.0517,0.884,0.184,0.111,0.259,101.927,4
spotify:track:12q3V8ShACq2PSWINMc2rC,"It's Too Late","Tapestry","Carole King",1971,233552,75,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:53:08Z,"singer-songwriter,folk rock","Ode/Epic/Legacy",0.45,0.442,9,-12.718,0,0.0353,0.493,0.00564,0.134,0.812,208.282,4
spotify:track:2k9N4caeCIJLOWwWwssrEM,"Easily","A Song For Every Moon","Bruno Major",2017-08-31,210240,2,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:53:16Z,"","Bruno Major",0.772,0.256,7,-8.545,0,0.0481,0.491,0.00612,0.144,0.357,118.902,3
spotify:track:2IAR0DziHCjSu16gR4ihvy,"Nothing","To Let A Good Thing Die","Bruno Major",2020-06-05,162797,1,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:54:41Z,"","Bruno Major",0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,3
spotify:track:0QLMAhZQACGtzi11XZVa6A,"Lonely Town","Hill Climber","Vulfpeck;Theo Katzman",2018-12-07,174614,40,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:55:09Z,"funk,funk rock,retro soul","Vulf Records",0.908,0.644,7,-7.964,1,0.0429,0.065,0.00000303,0.123,0.96,100.401,4
spotify:track:6P7tTFzn6oNa0GL8w8oazE,"Make You Feel My Love","19","Adele",2008-01-28,212040,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:55:45Z,"soft pop","XL Recordings",0.552,0.18,10,-10.583,1,0.0293,0.894,0.000393,0.105,0.0896,76.995,4
spotify:track:0L7QCEXQBDAtEyK1x72Sw0,"Where Does the Good Go","So Jealous","Tegan and Sara",2004-09-14,217253,57,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:56:07Z,"","Vapor/Sire",0.741,0.508,3,-6.856,1,0.0302,0.212,0.000114,0.0757,0.841,105.022,4
spotify:track:2UxjLCoAEfrcGkOpv6SJhQ,"This December","Montgomery Ricky","Ricky Montgomery",2016-04-08,181920,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T13:58:49Z,"","Ricky Montgomery Records",0.658,0.873,9,-4.873,1,0.0504,0.0253,0,0.132,0.891,139.934,4
spotify:track:392wPVSI4mt5xTvV6bF5Hy,"Get to You","The Honeysticks","The Honeysticks",2018-03-23,255746,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T14:00:01Z,"","The Honeysticks",0.705,0.639,7,-6.928,0,0.0306,0.541,0.027,0.122,0.495,99.986,4
spotify:track:6K5w15Q6yccYgd2ZK4Iumn,"Twenty Two and Some Change","Guess I’m Grown Now","Stephen Day",2019-10-11,174240,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T14:00:16Z,"pop soul","Stephen Day",0.655,0.462,8,-9.438,1,0.0673,0.438,0.000462,0.167,0.749,140.382,4
spotify:track:6ikeNpeQ5zBO98brvwSzN0,"Out Like a Light","Out Like a Light","The Honeysticks",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T14:00:38Z,"","The Honeysticks",0.523,0.458,11,-7.785,1,0.0275,0.171,0.00244,0.072,0.359,125.954,3
spotify:track:1boXOL0ua7N2iCOUVI1p9F,"Japanese Denim","Get You - Single","Daniel Caesar",2016-10-21,270846,8,true,60727spb0sfh9ijzix1ya4dxi,2020-10-15T14:05:28Z,"","Daniel Caesar",0.707,0.238,3,-8.818,1,0.0379,0.0905,0.00000242,0.0842,0.345,124.156,3
spotify:track:2rXVtoLBHuXcNB5DVfIc9p,"Happiness","Apricot Princess","Rex Orange County",2017-04-26,279693,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T20:34:12Z,"bedroom pop","Rex Orange County",0.399,0.235,5,-9.774,1,0.0334,0.734,0.00000156,0.161,0.197,105.645,3
spotify:track:1175r6ZmkUjX8dRJLz9Ohk,"I Love You So","Songs for Dads","The Walters",2014-11-28,160253,1,false,60727spb0sfh9ijzix1ya4dxi,2020-10-15T20:53:27Z,"","The Walters",0.578,0.669,10,-4.898,1,0.0377,0.65,0,0.13,0.503,75.995,4
spotify:track:7blxvaikpzP0UjfNJXaFtH,"Howl's Moving Castle","Prima o poi","Giovanni Mirabassi;Flavio Boltro;Louis Moutin;Gildas Boclé",2005-11-14,277153,33,false,60727spb0sfh9ijzix1ya4dxi,2020-10-17T16:10:38Z,"gnawa,french jazz,jazz,celtic","Starprod",0.393,0.305,7,-16.349,0,0.0392,0.824,0.873,0.103,0.369,175.628,3
spotify:track:2029ByPmrVQrMjVsIcy5fz,"I Don't Love You Anymore","I Don't Love You Anymore","The Honeysticks;Ricky Montgomery",2018-02-09,225415,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-17T19:18:27Z,"","The Honeysticks",0.686,0.553,2,-8.826,1,0.0391,0.155,0.482,0.164,0.648,120.045,4
spotify:track:6IGejZNdxjCsWQumaHD6LE,"Bookstore Girl","Two, Moonlight","Charlie Burg",2018-07-20,203076,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-18T21:19:48Z,"","Charlie Burg",0.615,0.159,2,-18.066,1,0.0339,0.852,0.00000674,0.0991,0.241,129.971,4
spotify:track:5HKv1sFHbXgmXBih203HxT,"I Don't Wanna Be Okay Without You","Live in Peter's Attic","Charlie Burg",2016-12-20,243796,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-18T22:39:21Z,"","Charlie Burg",0.532,0.319,5,-7.461,1,0.0288,0.399,0.0000252,0.138,0.166,62.984,4
spotify:track:1U1OeyPu6frcUUrSZ14PjH,"What Did You Mean (When You Said Love)","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,275986,40,false,60727spb0sfh9ijzix1ya4dxi,2020-10-23T13:44:08Z,"retro soul","Ten Good Songs",0.819,0.44,6,-10.801,1,0.178,0.213,0.0364,0.102,0.814,116.717,4
spotify:track:7kQkmyoHCEqwe7QwDbkSXM,"Let's Fall in Love for the Night","Let’s Fall In Love For The Night","FINNEAS",2018-10-19,190348,3,true,60727spb0sfh9ijzix1ya4dxi,2020-10-23T13:44:28Z,"","OYOY",0.737,0.408,5,-7.941,1,0.104,0.802,0,0.171,0.374,127.921,4
spotify:track:2J3SR4n0YiQYCsghgeqZcB,"I Don't Miss You at All","Blood Harmony","FINNEAS",2019-10-04,128916,0,false,60727spb0sfh9ijzix1ya4dxi,2020-10-23T13:44:34Z,"","OYOY",0.838,0.316,1,-7.57,0,0.224,0.61,0.000446,0.103,0.531,148.147,4
spotify:track:41j5KCVBYHf2AhHpkJUakk,"Don't Speak","Jazz and 90s","Sarah Menescal",2006-09-05,253400,38,false,60727spb0sfh9ijzix1ya4dxi,2020-11-01T23:11:37Z,"bossa nova,lounge,jazz pop","Music Brokers",0.71,0.283,9,-13.245,0,0.0315,0.89,0,0.126,0.575,130.072,4
spotify:track:41BTttTJPOT6SdG9MJDnlP,"Royals","Twist is the New Twerk","Scott Bradlee's Postmodern Jukebox",2014-01-31,217125,0,false,60727spb0sfh9ijzix1ya4dxi,2020-11-01T23:11:43Z,"swing music,jazz pop,electro swing","mudhutdigital.com",0.678,0.574,3,-7.943,1,0.0845,0.363,0.0000389,0.0815,0.448,148.916,4
spotify:track:6cT7NBBzSxh8n4y0WiVRt1,"Cant Get You Out Of My Head","The Biggest Pop Anthems 70s 80s 90s & 2000","WME",2013-03-26,234693,0,false,60727spb0sfh9ijzix1ya4dxi,2020-11-01T23:11:50Z,"","Blanco y Negro Music",0.681,0.434,2,-7.158,0,0.028,0.904,0.00877,0.0874,0.433,124.133,4
spotify:track:6PtZaHjsx2Pnk3x9O92bB2,"Blackbird","The Art of the Trio, Vol. 1","Brad Mehldau",1997-01-28,299040,50,false,60727spb0sfh9ijzix1ya4dxi,2020-11-01T23:12:03Z,"jazz,jazz ballads,cool jazz","Warner Jazz",0.45,0.21,7,-18.862,1,0.0361,0.897,0.854,0.0734,0.189,100.909,4
spotify:track:1JqcZQCnxjDOfZZwQidb1H,"Broke","Broke","Samm Henshaw",2018-08-08,207722,53,false,60727spb0sfh9ijzix1ya4dxi,2020-11-01T23:12:08Z,"","Columbia",0.751,0.684,1,-4.325,1,0.303,0.433,0.00000592,0.18,0.864,89.984,4
