Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ml3WB66sqG4kXoPBX2POA,"Janet","Berhana","Berhana",2016-07-21,204000,45,true,60727spb0sfh9ijzix1ya4dxi,2019-12-26T05:16:15Z,"alternative r&b","Berhana",0.81,0.308,0,-8.194,1,0.0818,0.354,0,0.0899,0.56,120.012,4
spotify:track:129lYDVKnWtlJc2PZJviuA,"A Dios Le Pido","Un Día Normal","Juanes",2002-01-01,205373,74,false,60727spb0sfh9ijzix1ya4dxi,2019-12-26T05:55:44Z,"latin pop,colombian pop,rock en español","Int'l Latin America",0.673,0.84,7,-3.564,1,0.0559,0.0683,0,0.0965,0.94,97.027,4
spotify:track:6NyhBA9M6KK0fuVsojxL00,"January 28th","2014 Forest Hills Drive","J. Cole",2014-12-09,242813,0,true,60727spb0sfh9ijzix1ya4dxi,2019-12-17T15:14:36Z,"rap","Roc Nation/Columbia",0.478,0.546,5,-8.59,1,0.354,0.26,0,0.0951,0.373,79.237,4
spotify:track:5NSmVuhSf3JxrCewijurpf,"The Giving Tree","Should've Gone to Bed - EP","Plain White T's",2013-04-09,186433,46,false,60727spb0sfh9ijzix1ya4dxi,2019-12-17T14:53:25Z,"","Humans Were Here",0.566,0.597,8,-10.814,1,0.037,0.832,0,0.252,0.873,151.361,4
spotify:track:4KykoaJQ5UxjCpp3lYkvTE,"Liquor Store Blues (feat. Damian Marley)","Doo-Wops & Hooligans","Bruno Mars;Damian Marley",2010-05-11,229383,64,false,60727spb0sfh9ijzix1ya4dxi,2019-12-26T04:59:00Z,"reggae,ragga,roots reggae","Atlantic Records",0.691,0.828,1,-3.909,0,0.0749,0.113,0,0.358,0.678,75.519,4
spotify:track:1q92VK8LAZqAW6EtficqFq,"I Luv U Luv","Clean With Passion For Now, Pt. 3 (Original Television Soundtrack)","Yu Seung Woo",2018-12-10,191533,4,false,60727spb0sfh9ijzix1ya4dxi,2019-12-26T06:17:57Z,"k-ballad","WM Korea",0.671,0.769,9,-3.262,1,0.0686,0.43,0,0.227,0.604,104.011,4
spotify:track:67V2lL3sY4nw0bqeEEp72i,"Never Want to Say It's Love","Safe Trip Home","Dido",2008-11-14,215453,35,false,60727spb0sfh9ijzix1ya4dxi,2019-11-28T03:56:02Z,"","Cheeky Records",0.728,0.402,6,-13.715,0,0.0412,0.224,0.000687,0.174,0.66,132.999,4
spotify:track:18mmN3VrFWRi6SsSBJf6WJ,"Pasos de cero","Terral","Pablo Alborán",2014-11-10,234373,69,false,60727spb0sfh9ijzix1ya4dxi,2019-12-26T05:49:54Z,"latin pop","Parlophone Spain",0.749,0.637,7,-6.924,1,0.0764,0.308,0,0.0878,0.798,99.951,4
spotify:track:1ExfPZEiahqhLyajhybFeS,"The Lazy Song","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,189109,76,false,60727spb0sfh9ijzix1ya4dxi,2019-11-28T03:55:47Z,"","Atlantic Records",0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,4
spotify:track:0morPAvjoJrjSDFkdgI6tC,"Dream","Dream","Yu Seung Woo",2018-12-19,249948,3,false,60727spb0sfh9ijzix1ya4dxi,2019-12-26T06:07:03Z,"k-ballad","Starship Entertainment",0.481,0.352,7,-9.114,1,0.0281,0.756,0,0.109,0.336,92.38,3
spotify:track:0ZTjo2BjVAicpu6LRusfeg,"Lemon Boy","Lemon Boy","Cavetown",2018-01-01,272902,0,false,60727spb0sfh9ijzix1ya4dxi,2019-11-28T03:55:56Z,"bedroom pop","Cavetown",0.507,0.478,4,-10.054,1,0.0396,0.184,0.00000162,0.0891,0.318,139.927,4
spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ,"Sunflower","Sunflower","Rex Orange County",2017-03-22,252230,1,true,60727spb0sfh9ijzix1ya4dxi,2019-12-26T05:12:33Z,"bedroom pop","Rex Orange County",0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,4
spotify:track:5BmKRyAjCnvkko7Ms00YtA,"Our First Time","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,243004,60,false,60727spb0sfh9ijzix1ya4dxi,2019-11-28T03:55:50Z,"","Atlantic Records",0.709,0.45,9,-8.267,0,0.0428,0.419,0,0.241,0.873,77.986,4
spotify:track:5eHL6qb571tjlNrcYeVhRg,"Alborado Del Gracioso","Spanish Rhapsody","Maurice Ravel;John Novacek",1995-01-01,441106,0,false,60727spb0sfh9ijzix1ya4dxi,2020-02-04T21:05:12Z,"impressionism,classical,classical piano,neoclassical,ragtime,minimalism","Ambassador",0.408,0.0698,2,-26.153,1,0.0438,0.992,0.874,0.106,0.0417,126.044,4
spotify:track:3lGMtkONrZdJ8kTCg6KIFf,"Hasta la Raíz","Hasta la Raíz (Edición Especial)","Natalia Lafourcade",2015-11-13,221800,79,false,60727spb0sfh9ijzix1ya4dxi,2019-12-02T20:52:58Z,"latin folk,bolero,latin indie,latin alternative,latin folklore","RCA Records Label",0.585,0.643,3,-8.392,1,0.0395,0.201,0.000306,0.144,0.592,152.98,3
spotify:track:60zxdAqWtdDu0vYsbXViA7,"FANCY","FANCY YOU","TWICE",2019-04-22,213885,1,false,60727spb0sfh9ijzix1ya4dxi,2020-01-02T10:56:03Z,"k-pop","JYP Entertainment",0.699,0.866,5,-2.138,0,0.0446,0.0132,0,0.648,0.795,132.023,4
spotify:track:3I7uuT1p0nDLkW2ctKoWf0,"Into The Fire","The Invitation","Thirteen Senses",2005,218773,45,false,60727spb0sfh9ijzix1ya4dxi,2020-01-15T00:46:52Z,"","EMI",0.391,0.63,3,-6.764,0,0.0274,0.0437,0.00115,0.113,0.134,174.04,4
spotify:track:4RUKTGXjyRM3wdksLgC6Ca,"Prelude in G Minor, Op. 23, No. 5 - Live at Philharmonie, Berlin, 2018","Rachmaninov: Prelude in G Minor, Op. 23, No. 5 (Live at Philharmonie, Berlin / 2018)","Sergei Rachmaninoff;Yuja Wang",2018-10-26,232786,54,false,60727spb0sfh9ijzix1ya4dxi,2020-01-16T00:02:18Z,"classical,classical piano,concerto,impressionism","Deutsche Grammophon (DG)",0.394,0.216,7,-16.566,0,0.0348,0.993,0.896,0.1,0.176,113.596,4
spotify:track:77O56OCO4RJc0y2GrPzO0x,"Suite for 2 Violins & Piano, Op. 71: No. 1, Allegro energico","Moszkowski: Works for Violin & Piano","Moritz Moszkowski;Nazrin Rashidova;Daniel Grimwood",2015-12-04,287213,0,false,60727spb0sfh9ijzix1ya4dxi,2020-01-16T00:02:23Z,"classical piano,chamber music","Naxos",0.263,0.179,3,-17.606,1,0.0438,0.971,0.727,0.21,0.272,94.127,4
spotify:track:1KbhFmBQNnSsb5CnO0I36O,"Rachmaninoff: Rachmaninov: Symphony No.2 in E minor, Op.27: 3. Adagio","Relaxing Rachmaninov","Valery Gergiev;Mariinsky Orchestra",2019-12-20,220370,6,false,60727spb0sfh9ijzix1ya4dxi,2020-01-16T00:02:58Z,"classical,ballet,opera,orchestral","UME - Global Clearing House",0.159,0.0221,9,-26.145,1,0.0437,0.975,0.456,0.114,0.0369,131.708,3
spotify:track:7jJH8F3PHlNvxfqEAAfFDl,"I Choose You","The Blessed Unrest","Sara Bareilles",2013-07-16,218693,58,false,60727spb0sfh9ijzix1ya4dxi,2020-01-18T11:07:44Z,"","Epic",0.731,0.572,6,-7.889,0,0.0445,0.105,0.00012,0.133,0.947,154.038,4
spotify:track:71WAtDcWVYMoCsblD2uQXx,"Chasing Pavements","19","Adele",2008-01-28,210506,0,false,60727spb0sfh9ijzix1ya4dxi,2020-01-18T11:11:27Z,"soft pop","XL Recordings",0.621,0.473,5,-6.07,0,0.0251,0.312,0,0.11,0.325,80.027,4
spotify:track:4rMNgxEwGWoPHIUcvB5BrB,"It Will Rain","It Will Rain","Bruno Mars",2011-09-27,257847,69,false,60727spb0sfh9ijzix1ya4dxi,2020-01-18T11:11:47Z,"","Elektra (NEK)",0.574,0.824,2,-6.885,1,0.0463,0.359,0,0.0816,0.434,149.981,4
spotify:track:4H7WNRErSbONkM06blBoGc,"Stay","beerbongs & bentleys","Post Malone",2018-04-27,204426,70,true,60727spb0sfh9ijzix1ya4dxi,2020-01-18T11:12:48Z,"","Republic Records",0.506,0.48,5,-5.418,1,0.0266,0.449,0,0.147,0.351,86.042,4
spotify:track:6fTdcGsjxlAD9PSkoPaLMX,"Sunday Candy","Surf","Nico Segal",2015-06-30,226013,60,false,60727spb0sfh9ijzix1ya4dxi,2020-01-18T11:12:59Z,"","Donnie Trumpet & The Social Experiment",0.511,0.596,0,-6.56,1,0.224,0.53,0,0.0798,0.554,158.063,4
spotify:track:6P7tTFzn6oNa0GL8w8oazE,"Make You Feel My Love","19","Adele",2008-01-28,212040,0,false,60727spb0sfh9ijzix1ya4dxi,2020-01-19T18:28:24Z,"soft pop","XL Recordings",0.552,0.18,10,-10.583,1,0.0293,0.894,0.000393,0.105,0.0896,76.995,4
spotify:track:4VywXu6umkIQ2OS0m1I79y,"Better Together","In Between Dreams","Jack Johnson",2005-01-01,207680,72,false,60727spb0sfh9ijzix1ya4dxi,2020-01-19T18:28:42Z,"surf rock","Jack Johnson",0.868,0.347,5,-9.529,1,0.0536,0.308,0.00002,0.11,0.659,110.059,4
spotify:track:3G5iN5QBqMeXx3uZPy8tgB,"Young Girls","Unorthodox Jukebox","Bruno Mars",2012-12-07,228720,70,false,60727spb0sfh9ijzix1ya4dxi,2020-01-19T18:29:11Z,"","Atlantic Records",0.561,0.749,6,-4.951,0,0.032,0.461,0.00000182,0.205,0.501,125.986,4
spotify:track:0mwn1hTGqC0luXpwI9EG3G,"Hungarian Rhapsody No. 6 in D-Flat Major, S. 244/6","Liszt: Piano Concerto No.1; Piano Sonata in B","Franz Liszt;Martha Argerich",2000-01-01,382266,32,false,60727spb0sfh9ijzix1ya4dxi,2020-02-04T21:03:44Z,"classical piano,classical,chamber music,impressionism,concerto","Deutsche Grammophon (DG)",0.413,0.281,1,-14.297,1,0.0527,0.99,0.89,0.159,0.19,126.707,4
spotify:track:1teZCnh8MDg8aF691vPsfr,"String Quartet in F Major, M. 35: I. Allegro moderato, tres doux","Ravel: String Quartet in F major - Bartok: String Quartet No. 4","Maurice Ravel;Cavani Quartet",2010-04-14,530866,0,false,60727spb0sfh9ijzix1ya4dxi,2020-02-05T18:15:25Z,"impressionism,classical,classical piano,neoclassical,chamber music,expressionism","Azica Records",0.244,0.0929,5,-25.626,1,0.0551,0.951,0.695,0.145,0.0686,130.32,4
spotify:track:2Oq7phiwlXV5VfMEreF6CH,"Debussy: String Quartet in G Minor, Op. 10, CD 91, L. 85: III. Andantino. Doucement expressif","Debussy, Fauré & Ravel: String Quartets","Claude Debussy;Quatuor Ébène",2008-10-06,498746,22,false,60727spb0sfh9ijzix1ya4dxi,2020-02-05T19:35:27Z,"impressionism,classical,classical piano,chamber music","Warner Classics",0.0646,0.0177,6,-27.249,1,0.0586,0.96,0.532,0.0533,0.0345,65.458,4
