Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5e8saCEDfJ2szwaG5gTLwI,"ON THE LINE","GLOW EP","MICHELLE",2024-02-09,150800,31,false,60727spb0sfh9ijzix1ya4dxi,2024-02-15T20:20:27Z,"bedroom pop","Atlantic Records",0.692,0.531,1,-8.591,0,0.0388,0.738,0.0747,0.115,0.289,149.763,4
spotify:track:4toQlIcN8likLLM8eWIlPG,"DNR","GLOW EP","MICHELLE",2024-02-09,182426,25,false,60727spb0sfh9ijzix1ya4dxi,2024-02-15T20:23:37Z,"bedroom pop","Atlantic Records",0.793,0.405,0,-7.144,0,0.082,0.688,0.0742,0.0969,0.609,75.012,4
spotify:track:15z5xDY6UAjEiWoMXhTK3Q,"Death of the Phone Call","Huli Ka","Whatever, Dad",2017-07-26,95000,10,false,60727spb0sfh9ijzix1ya4dxi,2024-03-12T23:47:29Z,"lo-fi indie","Lauren Records",0.355,0.0817,9,-17.462,1,0.0443,0.982,0.0017,0.102,0.108,148.672,4
spotify:track:2OYmCSVGmN5vXuG5dX5LKY,"Are You Serious","Are You Serious","Andrew Bird",2016-01-01,218413,51,false,60727spb0sfh9ijzix1ya4dxi,2024-03-13T20:00:10Z,"baroque pop,indie folk","Loma Vista",0.749,0.48,0,-8.374,1,0.0285,0.378,0.00132,0.0974,0.664,99.859,4
spotify:track:01SU1hcBKjD27ynsHGCZRD,"Nothing's Warm As Addiction","Wimberley","Jesse Woods",2021-09-15,116280,25,false,60727spb0sfh9ijzix1ya4dxi,2024-03-13T22:06:10Z,"","Only One On The Mountain",0.647,0.181,0,-12.154,1,0.0279,0.838,0.00452,0.0916,0.237,104.891,3
spotify:track:0ZgoWqmCBXqyFd67ISSI22,"3AM","Drunk","Thundercat",2017-02-24,75153,49,false,60727spb0sfh9ijzix1ya4dxi,2024-03-14T00:50:13Z,"","Brainfeeder",0.502,0.413,8,-13.138,1,0.049,0.841,0.819,0.124,0.0827,167.955,4
spotify:track:1ssKH0F6yLc3neySzdUMN2,"NEVER AGAIN","NEVER AGAIN","MICHELLE",2024-01-11,145720,38,false,60727spb0sfh9ijzix1ya4dxi,2024-03-14T20:28:23Z,"bedroom pop","Atlantic Records",0.817,0.42,11,-8.82,1,0.0329,0.803,0.166,0.108,0.443,95.958,4
spotify:track:5EwRVuWJpNNMYM4UkT561o,"Misery Moon","Duality","Luna Li",2022-03-04,68732,42,false,60727spb0sfh9ijzix1ya4dxi,2024-03-14T21:07:01Z,"","In Real Life Music",0.797,0.313,3,-12.42,0,0.0421,0.819,0.23,0.108,0.432,119.78,4
spotify:track:7LYYciIZ5AfZvYeFzkW4QB,"Pair Of You","BUD","FIG",2022-11-03,144128,37,false,60727spb0sfh9ijzix1ya4dxi,2024-03-14T21:16:42Z,"bedroom pop","Cob Stand LLC",0.849,0.52,5,-5.971,0,0.227,0.252,0.0000375,0.165,0.869,75.004,4
spotify:track:69583U6PxFGdXzl38vl2IT,"Alyosha","Wimberley","Jesse Woods",2021-09-15,94426,9,false,60727spb0sfh9ijzix1ya4dxi,2024-03-14T21:20:51Z,"","Only One On The Mountain",0.59,0.52,4,-9.457,0,0.0313,0.813,0.867,0.112,0.564,129.975,3
