Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6bLU8e0LGyztE9iD5DWBQ1,"Hallucinogenics","Bank On The Funeral","Matt Maeson",2019-04-05,187173,70,true,60727spb0sfh9ijzix1ya4dxi,2020-03-12T08:30:57Z,"","Neon Gold/Atlantic",0.549,0.653,0,-7.47,1,0.0503,0.457,0,0.0969,0.287,121.348,4
spotify:track:2J3SR4n0YiQYCsghgeqZcB,"I Don't Miss You at All","Blood Harmony","FINNEAS",2019-10-04,128916,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-12T08:31:16Z,"","OYOY",0.838,0.316,1,-7.57,0,0.224,0.61,0.000446,0.103,0.531,148.147,4
spotify:track:6gDjre0iU1dTMyjJkOQqNP,"I Don't Love You Anymore","I Don't Love You Anymore","The Honeysticks",2018-02-09,225415,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-12T08:31:27Z,"","The Honeysticks",0.684,0.553,2,-8.826,1,0.0392,0.153,0.484,0.164,0.649,120.054,4
spotify:track:04oG24PjVs59q72Id8wXFK,"Claudia","Claudia","FINNEAS",2019-02-22,161876,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-12T08:33:41Z,"","OYOY",0.812,0.447,11,-7.629,0,0.0765,0.552,0,0.323,0.703,125.075,4
spotify:track:35h32KZDv2gdnJgrHkaBHv,"When the Party's Over","When the Party's Over","Cole Norton",2018-12-02,197980,0,false,woodsish,2020-03-12T08:43:47Z,"","760488 Records DK",0.495,0.136,9,-11.927,1,0.0603,0.93,0,0.103,0.166,120.039,3
spotify:track:7kQkmyoHCEqwe7QwDbkSXM,"Let's Fall in Love for the Night","Let’s Fall In Love For The Night","FINNEAS",2018-10-19,190348,3,true,60727spb0sfh9ijzix1ya4dxi,2020-03-12T08:33:49Z,"","OYOY",0.737,0.408,5,-7.941,1,0.104,0.802,0,0.171,0.374,127.921,4
spotify:track:1U1OeyPu6frcUUrSZ14PjH,"What Did You Mean (When You Said Love)","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,275986,40,false,60727spb0sfh9ijzix1ya4dxi,2020-03-12T08:34:47Z,"retro soul","Ten Good Songs",0.819,0.44,6,-10.801,1,0.178,0.213,0.0364,0.102,0.814,116.717,4
spotify:track:67EUBsc4qosGOVbaYy6TeX,"Boys Will Be Bugs","Animal Kingdom: Comet","Cavetown",2018-12-11,329049,0,true,woodsish,2020-03-24T15:53:38Z,"bedroom pop","Oat Milk",0.608,0.528,1,-11.722,1,0.0338,0.00387,0.000014,0.106,0.454,89.221,4
spotify:track:4kBDDlh8PN6SRobI0uANK1,"Move Me","Move Me","Badflower",2020-02-21,204029,53,false,woodsish,2020-03-12T08:42:01Z,"post-grunge","Big Machine Records / John Varvatos Records",0.283,0.677,11,-5.535,0,0.0347,0.0722,0,0.19,0.188,81.246,5
spotify:track:6ikeNpeQ5zBO98brvwSzN0,"Out Like a Light","Out Like a Light","The Honeysticks",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-12T08:46:17Z,"","The Honeysticks",0.523,0.458,11,-7.785,1,0.0275,0.171,0.00244,0.072,0.359,125.954,3
spotify:track:2g2GdzaXNjsEnlJmjnAgYH,"arrow","arrow","half•alive",2019-01-18,220982,31,false,woodsish,2020-03-12T08:35:45Z,"","half·alive/RCA Records",0.798,0.602,7,-6.433,1,0.0949,0.00497,0.000105,0.0946,0.77,99.986,4
spotify:track:7tySfDFfBiCjraLdoy6In5,"Put It on Me","The Hearse","Matt Maeson",2018-04-27,202760,66,false,woodsish,2020-03-12T09:05:44Z,"","Neon Gold/Atlantic",0.629,0.414,1,-5.782,1,0.0323,0.0068,0.0000778,0.0807,0.417,81.941,3
spotify:track:2UxjLCoAEfrcGkOpv6SJhQ,"This December","Montgomery Ricky","Ricky Montgomery",2016-04-08,181920,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-12T09:10:51Z,"","Ricky Montgomery Records",0.658,0.873,9,-4.873,1,0.0504,0.0253,0,0.132,0.891,139.934,4
spotify:track:0Y5K1UBGAH2hI4EoVUqHgb,"Bet on You.//","Bet on You","The Man Who",2019-11-22,227278,41,false,woodsish,2020-03-12T17:57:53Z,"","Virgin Records",0.5,0.769,1,-3.998,1,0.0435,0.000732,0.0000374,0.189,0.446,79.015,4
spotify:track:7EkMIQ2PzEzwQroLl6dUvw,"crash","vertigo","EDEN",2018-01-19,232412,56,true,woodsish,2020-03-12T23:52:07Z,"","EDEN-Astralwerks",0.503,0.212,0,-12.735,0,0.0658,0.872,0.000293,0.12,0.185,118.492,4
spotify:track:5I1tePX3BffsnavEANSQUF,"Hold On","The Skeptic","Tilian",2018-09-28,189405,0,false,woodsish,2020-03-16T17:01:35Z,"post-hardcore","Rise Records",0.531,0.839,4,-5.24,1,0.0354,0.00461,0.00000809,0.179,0.622,135.97,4
spotify:track:0ZTjo2BjVAicpu6LRusfeg,"Lemon Boy","Lemon Boy","Cavetown",2018-01-01,272902,0,false,woodsish,2020-03-24T15:53:26Z,"bedroom pop","Cavetown",0.507,0.478,4,-10.054,1,0.0396,0.184,0.00000162,0.0891,0.318,139.927,4
spotify:track:48XkVAagIoQHCsOlJtXUd5,"still feel.","Now, Not Yet","half•alive",2019-08-09,247787,63,false,woodsish,2020-03-24T15:53:32Z,"","half·alive/RCA Records",0.779,0.516,10,-6.467,0,0.0521,0.148,0,0.0492,0.715,120.026,4
spotify:track:1vgOqiI9YSONVN9NjH1Snw,"dead yet (with phem)","dead yet (with phem)","gabriel black;phem",2019-06-21,161866,37,true,woodsish,2020-04-05T04:21:49Z,"","Not specified",0.54,0.56,10,-4.879,1,0.0354,0.071,0,0.0866,0.491,146.962,4
spotify:track:1lLGOHbOgsrJ2tFQYKNK44,"Me and My Friends Are Lonely","Who Killed Matt Maeson","Matt Maeson",2017-03-31,180320,51,false,woodsish,2020-04-09T19:48:19Z,"","Neon Gold/Atlantic",0.668,0.491,0,-8.997,0,0.111,0.0558,0,0.15,0.49,74.028,4
spotify:track:3h3pOvw6hjOvZxRUseB7h9,"i wanna be your girlfriend","i wanna be your girlfriend","girl in red",2018-03-02,204990,1,false,woodsish,2020-04-14T03:16:19Z,"bedroom pop","world in red",0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,4
spotify:track:4j6lDQ7Nl4ClcTtur36CMN,"Dead Man Walking","Translations Through Speakers","Jon Bellion",2013-02-20,196840,45,false,woodsish,2020-04-17T23:34:17Z,"","Capitol Records (CAP)",0.743,0.42,9,-7.257,1,0.328,0.78,0,0.109,0.76,94.248,4
spotify:track:09akcdeCiV2jIl6x9WpmxA,"don't worry, you will","everything i could never say...","lovelytheband",2017-09-22,197000,44,false,woodsish,2020-04-19T05:10:35Z,"","RED MUSIC",0.751,0.702,9,-4.382,0,0.0515,0.0931,0,0.141,0.851,120.048,4
spotify:track:4NSex17xPuab9EdpPqaox1,"My Heart Is Buried in Venice","Montgomery Ricky","Ricky Montgomery",2016-04-08,184866,0,false,60727spb0sfh9ijzix1ya4dxi,2020-05-07T05:40:58Z,"","Ricky Montgomery Records",0.67,0.413,11,-8.117,1,0.0274,0.441,0.0000868,0.0902,0.144,112.011,3
spotify:track:0OBIHrjv88N4SEtf2INos5,"Heavy","Heavy","POWERS",2017-02-24,234356,49,false,60727spb0sfh9ijzix1ya4dxi,2020-05-07T05:41:06Z,"","Universal Records",0.739,0.689,4,-3.726,0,0.0468,0.00563,0.00000539,0.102,0.897,102.018,4
spotify:track:1u2CN23PR0T2BHfXRNHwnM,"Alcatraz","Hallucinate","Oliver Riot",2015-11-04,268310,43,false,woodsish,2020-05-12T03:37:40Z,"","596589 Records DK",0.589,0.453,4,-10.039,0,0.0302,0.644,0.000372,0.0557,0.119,79.984,4
spotify:track:12rhvKDK2FfHTZZ1sSAHDG,"Cringe","Bank On The Funeral","Matt Maeson",2019-04-05,216213,69,false,woodsish,2020-05-12T04:26:47Z,"","Neon Gold/Atlantic",0.729,0.474,5,-7.724,1,0.0553,0.0652,0,0.0758,0.443,126.047,4
spotify:track:5BJVxZaNRrqjHwYpGcH3Yq,"Devil Town","Cavetown","Cavetown",2015-11-09,179955,0,false,woodsish,2020-06-02T03:41:19Z,"bedroom pop","cavetown",0.577,0.758,3,-8.166,1,0.0586,0.122,0,0.121,0.493,99.969,4
spotify:track:6iGWH4PRPDwtN9NydaHK8b,"Fool","Lemon Boy","Cavetown",2018-01-01,233785,0,false,woodsish,2020-06-12T22:14:06Z,"bedroom pop","Cavetown",0.671,0.464,1,-9.277,1,0.149,0.0632,0.073,0.0711,0.131,79.509,4
spotify:track:4onYv9MTpOiyrcJx0ACo9f,"Arizona","MCID","Highly Suspect",2019-11-01,213999,37,true,woodsish,2020-09-03T20:37:16Z,"post-grunge","300 Entertainment",0.462,0.362,7,-8.267,0,0.034,0.855,0.0000657,0.0932,0.125,81.737,4
spotify:track:4EWBhKf1fOFnyMtUzACXEc,"Pluto Projector","Pony","Rex Orange County",2019-10-25,267518,76,false,60727spb0sfh9ijzix1ya4dxi,2020-11-10T18:55:36Z,"bedroom pop","Rex Orange County",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
spotify:track:1boXOL0ua7N2iCOUVI1p9F,"Japanese Denim","Get You - Single","Daniel Caesar",2016-10-21,270846,8,true,60727spb0sfh9ijzix1ya4dxi,2020-11-10T18:55:50Z,"","Daniel Caesar",0.707,0.238,3,-8.818,1,0.0379,0.0905,0.00000242,0.0842,0.345,124.156,3
spotify:track:1JqcZQCnxjDOfZZwQidb1H,"Broke","Broke","Samm Henshaw",2018-08-08,207722,53,false,60727spb0sfh9ijzix1ya4dxi,2020-11-10T18:56:06Z,"","Columbia",0.751,0.684,1,-4.325,1,0.303,0.433,0.00000592,0.18,0.864,89.984,4
