Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6DYLWAdxEJvwWmT7EkeDkX,"Charmed","Up and Away","Σtella;Redinho",2022-06-17,158359,71,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:48:02Z,"","Sub Pop Records",0.782,0.359,11,-9.088,1,0.0302,0.417,0.0237,0.203,0.793,98.996,4
spotify:track:0dpusM1gM6ULx0QvjJctbT,"Pictures of You","Hiding in Plain Sight","Drugdealer;Kate Bollinger",2022-10-28,189466,71,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:48:11Z,"","Mexican Summer",0.927,0.31,6,-14.604,0,0.0661,0.507,0.705,0.104,0.783,114.513,4
spotify:track:3dvXRk7TZ929m21p49RR5P,"Mariella","Texas Moon","Khruangbin;Leon Bridges",2022-02-18,310553,71,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:48:19Z,"neo-psychedelic,retro soul","Dead Oceans",0.593,0.576,2,-10.331,1,0.032,0.526,0.718,0.0827,0.559,109.935,4
spotify:track:68wrmZ8GgYlidAhERxI0Bz,"Nomad","Up and Away","Σtella;Redinho",2022-06-17,224448,59,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:48:48Z,"","Sub Pop Records",0.557,0.453,9,-10.129,0,0.0307,0.599,0.455,0.12,0.338,77.019,4
spotify:track:7lirdOcXuV6nIPH1NTNwW8,"Titanic","Up and Away","Σtella;Redinho",2022-06-17,186665,57,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:49:02Z,"","Sub Pop Records",0.762,0.487,0,-5.964,0,0.0328,0.523,0.34,0.0965,0.818,96.025,4
spotify:track:2XgKnKhbOOeA0WPFapu8ly,"The Truth Is","Up and Away","Σtella;Redinho",2022-06-17,217814,57,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:49:15Z,"","Sub Pop Records",0.589,0.395,11,-8.136,0,0.0273,0.619,0.596,0.169,0.302,87.99,4
spotify:track:54eiaf9abJLL5981ZFOQ7C,"Black and White","Up and Away","Σtella;Redinho",2022-06-17,138011,50,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:50:47Z,"","Sub Pop Records",0.889,0.547,9,-6.689,1,0.0486,0.562,0.00444,0.104,0.707,114.041,4
spotify:track:5QyMjJ8c0O1MphFgXp1b1N,"Samba","The Break","Σtella",2020-01-24,176489,29,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:51:05Z,"","Arbutus Records",0.668,0.722,11,-6.284,0,0.0325,0.00359,0.0117,0.0855,0.816,99.926,4
spotify:track:7JMZlCsevBlClH6MMENrZL,"The Break","The Break","Σtella",2020-01-24,183142,27,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:51:29Z,"","Arbutus Records",0.69,0.673,11,-7.968,0,0.0403,0.251,0.726,0.188,0.969,116.01,4
spotify:track:4eHsXKRhZxiUs59kU1Mcw3,"The World Is Big","The Break","Σtella",2020-01-24,184537,13,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:51:46Z,"","Arbutus Records",0.484,0.747,0,-5.841,0,0.0298,0.228,0.176,0.261,0.731,169.935,4
spotify:track:1To3VopSqc8cWHcZJrpjvX,"Mumbo Sugar","Libertalia","Arc De Soleil",2020-05-01,188481,66,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:52:27Z,"","Epidemic Sound",0.707,0.596,1,-7.801,0,0.0334,0.0356,0.849,0.26,0.97,93.997,4
spotify:track:3PLlvksV9NfmoGiZXEqunJ,"The Thief in Marrakesh","The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape","Arc De Soleil",2019-10-18,180373,64,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:52:40Z,"","Epidemic Sound",0.76,0.522,2,-7.937,0,0.0374,0.338,0.854,0.142,0.68,89.974,4
spotify:track:0We07dgjYDwoR9ex4BscSQ,"Trying to Escape","The Thief in Marrakesh Got Caught in Amsterdam Trying to Escape","Arc De Soleil",2019-10-18,175115,53,false,60727spb0sfh9ijzix1ya4dxi,2025-08-31T06:53:03Z,"","Epidemic Sound",0.748,0.642,5,-6.251,1,0.0301,0.0847,0.884,0.126,0.879,89.993,4
spotify:track:3kedYiw0PflZpyQcDzBLKK,"Future Lover","Thee Sacred Souls","Thee Sacred Souls",2022-08-26,211626,67,false,60727spb0sfh9ijzix1ya4dxi,2025-09-06T21:21:11Z,"retro soul","Penrose / Daptone Records",0.607,0.468,11,-7.587,1,0.0271,0.088,0.000155,0.0909,0.806,147.57,4
spotify:track:7cEYxFqiMXub53Gy30oeoX,"Nothing Goes as Planned","Outside","Lamarr Family Values",2025-06-06,223292,0,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T04:43:35Z,"","No Seasons",0.951,0.432,11,-6.621,0,0.0881,0.206,0.000892,0.106,0.541,105.016,4
spotify:track:608uL3XBV8f2MHKNgm32Y3,"Disco Ulysses (Instrumental)","Hill Climber","Vulfpeck",2018-12-07,231084,52,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T05:15:33Z,"funk,funk rock","Vulf Records",0.74,0.707,8,-10.464,0,0.0539,0.0422,0.886,0.0909,0.969,133.715,4
spotify:track:3dHdu2fban1DHShcgPed3l,"Blue Angels","The Fearless Flyers IV","The Fearless Flyers",2024-02-09,270052,45,false,60727spb0sfh9ijzix1ya4dxi,2025-09-09T05:30:53Z,"funk,jazz funk,jazz fusion,funk rock","Vulf Records",0.816,0.485,2,-7.7,0,0.0617,0.0817,0.849,0.126,0.938,114.037,4
spotify:track:5CjwXdq5Z73Va0XCPFG5Aq,"The Good Life","Pinkerton","Weezer",1996-09-24,257000,57,true,60727spb0sfh9ijzix1ya4dxi,2025-09-10T14:55:41Z,"alternative rock","DGC",0.539,0.893,6,-4.566,1,0.0423,0.14,0,0.339,0.683,135.76,4
spotify:track:69t1ffGduov3Bze4gTSBVb,"Hana","Hana","Fujii Kaze",2023-11-02,246699,34,false,60727spb0sfh9ijzix1ya4dxi,2025-09-10T14:59:05Z,"j-pop","Universal Music LLC",0.769,0.716,5,-8.203,0,0.0429,0.118,0.00659,0.158,0.66,123.031,4
spotify:track:5Pw4Q2Z2NttJtISFFxe9MK,"la la la that’s how it goes","no song without you","HONNE",2020-07-03,219080,50,false,60727spb0sfh9ijzix1ya4dxi,2025-09-10T18:42:47Z,"","Atlantic Records UK",0.792,0.538,11,-9.105,1,0.0416,0.00889,0.88,0.107,0.9,123.497,4
