Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6dpeobV45p0mzpNFSYIsYm,"Even Though You Said So Easily","Love Part 2","Colde",2023-05-04,206000,0,false,60727spb0sfh9ijzix1ya4dxi,2024-03-26T00:30:57Z,"","ADA Korea",0.818,0.423,11,-12.115,1,0.0441,0.83,0.0101,0.311,0.561,116.013,4
spotify:track:7szBZqBJuj9eAC8HJ4CyTM,"That I Miss You","That I Miss You","Vansire",2018-07-17,140116,56,false,60727spb0sfh9ijzix1ya4dxi,2024-03-26T00:31:28Z,"bedroom pop","Vansire",0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
spotify:track:0PfVnosPEaMrxj9yQzYqAH,"Cacao and Cocaine","Cacao and Cocaine","SOFIA ISELLA",2024-01-26,161003,56,true,60727spb0sfh9ijzix1ya4dxi,2024-03-26T00:34:46Z,"pop singer-songwriter","SOFIA ISELLA",0.644,0.562,11,-7.143,0,0.0313,0.415,0.00341,0.192,0.743,96.005,4
spotify:track:6PwXCodhJyCLhidB3dDr6r,"Love 2 Fast","Apollo XXI","Steve Lacy",2019-05-24,222981,53,false,60727spb0sfh9ijzix1ya4dxi,2024-03-26T20:08:13Z,"","3qtr",0.43,0.886,0,-4.929,1,0.0562,0.18,0.00175,0.52,0.448,78.986,4
spotify:track:0DyZx471Ab72xTOFE47q9h,"Penelope","Penelope","Early Eyes",2018-06-15,236634,37,false,60727spb0sfh9ijzix1ya4dxi,2024-03-26T20:11:11Z,"","Birds Plural",0.613,0.651,11,-10.048,1,0.0513,0.103,0.000368,0.101,0.6,141.961,4
spotify:track:2fMzYz7gWOpSTATF6N3eJG,"Sunbathing","Sunbathing","Early Eyes",2020-11-13,176786,34,false,60727spb0sfh9ijzix1ya4dxi,2024-03-26T20:11:41Z,"","Epitaph",0.757,0.677,9,-3.66,1,0.0363,0.0701,0.00263,0.112,0.809,143.973,4
spotify:track:7gn3NdQez9Pwbqak4gspz5,"Last Words of a Shooting Star","Bury Me At Makeout Creek","Mitski",2014-11-11,164226,65,false,60727spb0sfh9ijzix1ya4dxi,2024-03-26T20:21:20Z,"","Dead Oceans",0.391,0.167,2,-19.024,1,0.0362,0.47,0.00097,0.11,0.0965,130.498,3
spotify:track:7LYYciIZ5AfZvYeFzkW4QB,"Pair Of You","BUD","FIG",2022-11-03,144128,37,false,60727spb0sfh9ijzix1ya4dxi,2024-03-26T20:22:54Z,"bedroom pop","Cob Stand LLC",0.849,0.52,5,-5.971,0,0.227,0.252,0.0000375,0.165,0.869,75.004,4
spotify:track:5EwRVuWJpNNMYM4UkT561o,"Misery Moon","Duality","Luna Li",2022-03-04,68732,42,false,60727spb0sfh9ijzix1ya4dxi,2024-03-26T20:23:12Z,"","In Real Life Music",0.797,0.313,3,-12.42,0,0.0421,0.819,0.23,0.108,0.432,119.78,4
spotify:track:2c4zwlPMc5dHS3Kg6oeUjk,"Take Yo' Praise","The Iron Pot Cooker","Camille Yarbrough",1975-01-01,253574,60,false,60727spb0sfh9ijzix1ya4dxi,2024-03-27T05:48:45Z,"","Craft Recordings",0.797,0.529,1,-14.489,1,0.187,0.724,0.00601,0.136,0.527,101.424,4
spotify:track:0ri4EFGPe0GqSl8Mp1yYuE,"Me Da Igual","Me Da Igual","L'Impératrice",2024-03-07,209242,39,false,60727spb0sfh9ijzix1ya4dxi,2024-03-27T06:01:09Z,"french indie pop,french house,french pop","microqlima",0.795,0.475,11,-11.634,0,0.0593,0.593,0.121,0.337,0.589,115.03,4
spotify:track:2fvdQ1Uq04qE4RLN5zKBXS,"Disco Yes","Geography","Tom Misch;Poppy Ajudha",2018-04-06,280878,61,false,60727spb0sfh9ijzix1ya4dxi,2024-04-04T04:47:48Z,"indie soul","Beyond The Groove 4",0.926,0.549,9,-6.63,0,0.0935,0.42,0.0399,0.298,0.666,123.044,4
spotify:track:3sslYZcFKtUvIEWN9lADgr,"First Love/Late Spring","Bury Me At Makeout Creek","Mitski",2014-11-11,278640,77,false,60727spb0sfh9ijzix1ya4dxi,2024-04-05T12:52:20Z,"","Dead Oceans",0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,4
spotify:track:68wrmZ8GgYlidAhERxI0Bz,"Nomad","Up and Away","Σtella;Redinho",2022-06-17,224448,59,false,60727spb0sfh9ijzix1ya4dxi,2024-04-19T17:55:29Z,"","Sub Pop Records",0.557,0.453,9,-10.129,0,0.0307,0.599,0.455,0.12,0.338,77.019,4
