Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6jaD8oGpAkZRvJaZ76amtb,"Pearl Diver","Lush","Mitski",2012-01-31,164226,58,false,60727spb0sfh9ijzix1ya4dxi,2024-05-17T22:46:14Z,"","Good Harbor",0.324,0.152,0,-11.312,0,0.0392,0.911,0,0.0957,0.174,89.643,4
spotify:track:3XCveEutwTaDiekRkkfdp9,"Liquid Smooth","Lush","Mitski",2012-01-31,169773,72,false,60727spb0sfh9ijzix1ya4dxi,2024-05-17T22:48:10Z,"","Good Harbor",0.424,0.342,7,-9.469,0,0.0339,0.838,0,0.136,0.124,76.235,4
spotify:track:6rcEGONV6XPUTvwqUEXdIH,"Midnight Snack","Midnight Snack","HOMESHAKE",2015-09-18,174342,42,false,60727spb0sfh9ijzix1ya4dxi,2024-06-03T16:46:21Z,"bedroom pop","Sinderlyn",0.745,0.363,4,-9.289,0,0.0325,0.511,0.931,0.214,0.71,140.064,4
spotify:track:6TBJkXHPhu3EsMk1bshwuI,"ONLY","4 ONLY","LeeHi",2021-09-09,240906,78,false,60727spb0sfh9ijzix1ya4dxi,2024-06-03T16:47:04Z,"k-ballad,k-pop","Genie Music Corporation, Stone Music Entertainment",0.536,0.296,5,-7.451,1,0.0346,0.892,0,0.0873,0.151,122.907,3
spotify:track:7yR5ZDif2glYMnFP73uRMm,"Out Like a Light","Out Like a Light","The Honeysticks;Ricky Montgomery",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2024-06-03T16:47:20Z,"","The Honeysticks",0.522,0.458,11,-7.785,1,0.0275,0.17,0.00244,0.072,0.359,125.973,3
spotify:track:0P9XwjnnIPQFTwdqvu01Mf,"lovememore.","dosii","dosii",2019-02-28,231709,54,false,60727spb0sfh9ijzix1ya4dxi,2024-06-03T16:47:29Z,"","Genie Music Corporation, Stone Music Entertainment",0.641,0.683,0,-7.521,0,0.0273,0.768,0.0176,0.0824,0.924,155.887,4
spotify:track:6AJppuCk5EE86paOdDI4yL,"Tokuninai","HELP EVER HURT NEVER","Fujii Kaze",2020-05-20,205253,48,false,60727spb0sfh9ijzix1ya4dxi,2024-06-03T16:47:58Z,"j-pop","Universal Music LLC",0.727,0.563,7,-6.613,1,0.0272,0.0374,0.0000643,0.311,0.588,99.035,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,87,false,60727spb0sfh9ijzix1ya4dxi,2024-06-03T16:48:08Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:3oX7VxSz6EHHnxKGUjk9sx,"Let You Break My Heart Again","Let You Break My Heart Again","Laufey;Philharmonia Orchestra",2021-08-13,269066,0,false,60727spb0sfh9ijzix1ya4dxi,2024-06-03T16:48:15Z,"opera,classical,orchestral","Laufey",0.26,0.144,2,-15.126,1,0.036,0.965,0.113,0.111,0.127,80.428,4
spotify:track:1EM9pvygHqQm03as6sxLg9,"旅路","旅路","Fujii Kaze",2021-03-01,277333,55,false,60727spb0sfh9ijzix1ya4dxi,2024-06-03T16:48:32Z,"j-pop","Universal Music LLC",0.59,0.556,9,-7.124,1,0.07,0.0711,0.00000324,0.08,0.749,171.936,4
