Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2nlnkxVCbqEwAVmi6xT7vW,"What it Takes to Make You Love Me","Piper Oz the Hound","Art Lown",2021-10-29,122160,41,false,60727spb0sfh9ijzix1ya4dxi,2025-05-10T16:59:56Z,"","Anthology Recordings",0.357,0.462,0,-9.36,1,0.0288,0.964,0.141,0.113,0.476,87.735,4
spotify:track:5TDZyWDfbQFQJabbPwImVY,"Dreams - 2004 Remaster","Rumours","Fleetwood Mac",1977-02-04,257800,66,false,60727spb0sfh9ijzix1ya4dxi,2025-05-10T17:00:18Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.829,0.487,0,-9.751,1,0.0278,0.0671,0.00263,0.127,0.776,120.173,4
spotify:track:2Nbts2INuaIwLzPgicAnfL,"Sunshine Bright","American Seraphim","American Seraphim",2024-06-05,514831,2,false,60727spb0sfh9ijzix1ya4dxi,2025-05-10T17:00:25Z,"","Trivial Records",0.364,0.259,7,-16.536,1,0.0317,0.827,0.0162,0.275,0.133,90.552,4
spotify:track:4zQ8Y3TeQ98xWm20ebX3Cc,"Spring","Now","Kim Jung Mi",1973,303773,47,false,60727spb0sfh9ijzix1ya4dxi,2025-05-10T17:00:55Z,"","Lion Productions",0.298,0.278,4,-14.879,0,0.0351,0.862,0.396,0.113,0.348,142.847,4
spotify:track:65aEANAvV7oZ3HKCKpZ32B,"A Message to Pretty","Calm Before...","The Rising Storm",2018-01-12,208826,53,false,60727spb0sfh9ijzix1ya4dxi,2025-05-10T17:16:30Z,"psychedelic rock","Sundazed Music / Modern Harmonic",0.542,0.225,7,-17.297,1,0.0283,0.889,0.489,0.101,0.564,100.256,4
spotify:track:4bItM9JvkuskaPvGiDiUJd,"순간","Slow Diving Table","Sogyumo Acacia Band",2013-06-26,207960,19,false,60727spb0sfh9ijzix1ya4dxi,2025-05-10T17:28:35Z,"","파스텔뮤직",0.673,0.47,0,-16.698,1,0.0382,0.652,0.662,0.0545,0.606,100.021,4
spotify:track:3Bw3v2zZpA1Yo5faG2WYON,"5 a.m.","Begin","The Millennium",1968,159760,44,false,60727spb0sfh9ijzix1ya4dxi,2025-05-10T17:35:51Z,"baroque pop","Legacy Recordings",0.57,0.517,9,-12.352,1,0.0312,0.717,0.671,0.149,0.619,122.871,4
spotify:track:6hwa35oki7gjruf659dmWN,"Perhaps Maybe","Adventure","OOHYO",2015-10-07,237377,32,false,60727spb0sfh9ijzix1ya4dxi,2025-05-10T17:41:17Z,"","XMG",0.591,0.53,9,-8.973,0,0.0262,0.489,0.0212,0.141,0.44,139.837,4
spotify:track:2BA6SfhtVHxIwM1H7Mi45N,"Going Back to Carolina","Piper Oz the Hound","Art Lown",2021-10-29,132702,32,false,60727spb0sfh9ijzix1ya4dxi,2025-05-12T15:17:21Z,"","Anthology Recordings",0.473,0.631,2,-8.98,1,0.0352,0.844,0.00941,0.0965,0.918,161.962,4
spotify:track:091NIVbaHI7FLkosTNnewd,"I'm Amazed","Piper Oz the Hound","Art Lown",2021-10-29,106440,31,false,60727spb0sfh9ijzix1ya4dxi,2025-05-12T15:18:18Z,"","Anthology Recordings",0.509,0.694,9,-8.868,1,0.0435,0.764,0.0171,0.198,0.928,152.808,4
