Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:57NKPBAkt3YKy35vYUfiYn,"Minor Blues","Rhythm Future Quartet and Friends","Rhythm Future Quartet;Greg Loughman;Jason Anick;Max O'Rourke;Olli Soikkeli",2018-10-28,318893,10,false,,1970-01-01T00:00:00Z,"","Magic Fiddle Music",0.536,0.407,5,-9.048,0,0.103,0.883,0.797,0.0938,0.706,170.7,4
spotify:track:7wyFfCQjDQgI5CH5y81T7N,"Window Seat Reverie","Last Coffee of the Year","Diner Express",2025-12-31,238400,32,false,,1970-01-01T00:00:00Z,"","Barista Jazz International",0.689,0.136,7,-16.53,1,0.0459,0.989,0.938,0.126,0.543,99.184,4
spotify:track:4eJ2iSupaW6y9eS2V4r8p6,"Anouman","Django's Lion","Havana Swing",2005-01-01,194893,24,false,,1970-01-01T00:00:00Z,"swing music,french jazz","Havana Swing",0.458,0.312,2,-10.765,0,0.0323,0.828,0.887,0.307,0.173,133.152,4
spotify:track:15CXFWG9d0CIsEPwEo5tu8,"I'm Confessin' (That I Love You)","Trio & Friends","Harry Diplock",2023-10-20,212181,17,false,,1970-01-01T00:00:00Z,"french jazz","Harry Diplock",0.614,0.276,8,-12.57,1,0.05,0.919,0.888,0.122,0.402,103.105,4
spotify:track:6y6Ro93r6sZcYjaI3C1U5O,"I've Found A New Baby","Hot Club Quartette Volume One","Hot Club Quartette",2002-01-01,159146,11,false,,1970-01-01T00:00:00Z,"french jazz,swing music","StringTone Productions",0.546,0.213,9,-12.628,0,0.0711,0.713,0.245,0.0789,0.654,199.919,4
spotify:track:0UyGWtZTHZThk8tDJiVGlN,"Travels","Travels","Rhythm Future Quartet",2016-02-26,236026,5,false,,1970-01-01T00:00:00Z,"","Rhythm Future Quartet",0.442,0.269,5,-10.427,1,0.0324,0.884,0.85,0.0945,0.218,132.257,4
spotify:track:2Qvk3Fx0auDcG7gpIgQAlV,"Djangologie","Babik joue Django (Babik Plays Django)","Babik Reinhardt",2003-03-07,156653,36,false,,1970-01-01T00:00:00Z,"french jazz,swing music","Cristal Records",0.651,0.399,2,-11.923,1,0.063,0.706,0.944,0.105,0.694,114.34,4
spotify:track:3PbwCz45ksPMm02ta945aj,"Bei Dir war es immer so schön","Gipsy Project & Friends","Biréli Lagrène Gipsy Project",2002-09-30,276106,32,false,,1970-01-01T00:00:00Z,"french jazz,swing music","Dreyfus Jazz",0.639,0.326,7,-8.56,1,0.0411,0.892,0.881,0.108,0.494,90.424,4
spotify:track:1h7gPs9ytxW1eRzhgi9jis,"Melody For Le Quecumbar","Hondarribia","Lollo Meier",2006-08-10,191306,16,false,,1970-01-01T00:00:00Z,"swing music,french jazz","lollo meier",0.591,0.333,4,-14.095,0,0.0516,0.992,0.923,0.105,0.811,106.451,1
spotify:track:454bC9QChXkI8Jh5dBkf4O,"Gypsy Jazz Style: II. La via di Pia","Gypsy Jazz Style","Pietro Lazazzara;Antonio Solazzo;Francesco Clemente;Maria Pia Lazazzara;Sabrina Loforese;Luigi Vania",2022-08-19,220288,14,false,,1970-01-01T00:00:00Z,"french jazz","Stradivarius",0.709,0.342,2,-10.984,0,0.0451,0.862,0.537,0.132,0.569,120.106,4
spotify:track:12tILKyNrv0UILpkdTWgmc,"Solitude","Rhythm Future Quartet and Friends","Rhythm Future Quartet;Greg Loughman;Jason Anick;Max O'Rourke;Olli Soikkeli;Cyrille Aimee",2018-10-28,225186,13,false,,1970-01-01T00:00:00Z,"french jazz,vocal jazz,jazz","Magic Fiddle Music",0.524,0.207,6,-12.525,1,0.0414,0.954,0.00503,0.111,0.179,81.484,4
spotify:track:3IxzOvnQT9NqJMF94xt0VO,"Django en Transit","Django à La Havane","Patrick Saussois;Hot Club Roma;Django Jazz Collective;Havana Swing",2025-12-26,144053,23,false,,1970-01-01T00:00:00Z,"french jazz,swing music","Cavendish Music Library",0.608,0.531,3,-13.517,0,0.0357,0.876,0.784,0.138,0.965,129.273,4
spotify:track:0D855eqxByUkA6JSRCMo0g,"Panique","Manouche","Giacomo Smith;Mozes Rosenberg",2025-05-30,155333,11,false,,1970-01-01T00:00:00Z,"","Stunt Records",0.42,0.375,5,-11.32,1,0.0402,0.857,0.83,0.0944,0.627,184.064,3
spotify:track:4hS9aZ07bGMaU6gSAvFHtN,"Central Park West","Central Park West","Gustav Lundgren Trio",2022-07-15,182308,18,false,,1970-01-01T00:00:00Z,"swing music,bossa nova","Prisma Music",0.607,0.192,11,-15.996,1,0.0519,0.966,0.888,0.109,0.107,114.776,4
