Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3IJzE46O8hpo05HM9D7k44,"Dry As Sand","Who Are You Now","Madison Cunningham",2019-08-16,259720,24,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:10:40Z,"","Verve Forecast",0.42,0.19,11,-13.459,0,0.0391,0.598,0.00411,0.0854,0.0666,120.541,4
spotify:track:6dBUzqjtbnIa1TwYbyw5CM,"Lovers Rock","French Exit","TV Girl",2014-06-05,213920,88,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:10:59Z,"","TV Girl",0.559,0.871,5,-5.338,0,0.0397,0.00000753,0.00545,0.096,0.572,104.97,4
spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma","Comedown Machine","The Strokes",2013-03-25,204773,73,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:07Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4
spotify:track:2t0wwvR15fc3K1ey8OiOaN,"Selfless","The New Abnormal","The Strokes",2020-04-10,222093,78,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:12Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,4
spotify:track:4Eegpewr60UiKR7w8wfGMH,"Location","For The Sake Of The Rhyme","Madison Cunningham",2019-03-15,203546,10,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:17Z,"","Verve Forecast",0.595,0.435,7,-6.392,1,0.0455,0.386,0.0000136,0.112,0.388,115.672,3
spotify:track:5RgFlk1fcClZd0Y4SGYhqH,"She's Always a Woman","The Stranger (Legacy Edition)","Billy Joel",1977,201373,80,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:21Z,"soft rock","Columbia/Legacy",0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,3
spotify:track:5Dijn7Azi4mjmMR4aytxLx,"Public Life","Public Life","Joshua Lee Turner",2020-08-07,282771,13,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:26Z,"","Bring Luck Records",0.527,0.671,2,-7.568,1,0.0267,0.551,0.00184,0.494,0.774,98.045,4
spotify:track:5rwDHRNX2ntvlJbcb8xONo,"miss me if u want to","miss me if u want to","Tipling Rock",2020-08-14,157500,42,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:33Z,"","Tipling Rock",0.666,0.517,4,-8.379,0,0.0399,0.875,0.000455,0.208,0.571,147.979,4
spotify:track:3koAwrM1RO0TGMeQJ3qt9J,"$10","Prize//Reward","Good Morning",2018-05-11,89508,49,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:38Z,"lo-fi indie,bedroom pop","Bedroom Suck Records",0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,4
spotify:track:6rcEGONV6XPUTvwqUEXdIH,"Midnight Snack","Midnight Snack","HOMESHAKE",2015-09-18,174342,42,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:44Z,"bedroom pop","Sinderlyn",0.745,0.363,4,-9.289,0,0.0325,0.511,0.931,0.214,0.71,140.064,4
spotify:track:5SG2BVsZr0W7cFAkjh60TT,"THE BOTTOM","HEATWAVE","MICHELLE",2018-09-04,219833,48,false,60727spb0sfh9ijzix1ya4dxi,2022-10-21T19:11:48Z,"bedroom pop","Canvasback/ATL",0.747,0.614,9,-6.759,0,0.0256,0.00326,0.561,0.185,0.843,110.001,4
spotify:track:40TPv4i9TiKD611hmd3qyO,"Coming Soon","Coming Soon","Annie DiRusso",2021-08-26,195824,0,false,1257545316,2022-10-21T19:17:30Z,"","Annie DiRusso",0.643,0.73,2,-5.042,1,0.0389,0.0705,0.0000308,0.149,0.502,110.974,4
spotify:track:77G0k1La0c5Dw8bAFANcyp,"Sports","Sports","Beach Bunny",2018-01-01,164165,1,false,1257545316,2022-10-21T19:18:01Z,"","Mom+Pop",0.231,0.877,9,-5.278,1,0.0574,0.000653,0.026,0.0694,0.524,186.142,4
spotify:track:07MDkzWARZaLEdKxo6yArG,"Meet Me At Our Spot","THE ANXIETY","THE ANXIETY;WILLOW;Tyler Cole",2020-03-13,162680,75,true,1257545316,2022-10-21T19:18:26Z,"","MSFTSMusic / Roc Nation Records, LLC",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4
spotify:track:51pshtuYkgUQnt5huMPbKL,"The Spins","K.I.D.S.","Mac Miller",2010-08-13,195873,6,true,12153289282,2022-10-21T21:04:06Z,"","Rostrum Records",0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.007,4
spotify:track:2ZFfGgz5RonguqJlm6ajoR,"Dancing In The Dark","Dancing In The Dark","Lucy Dacus",2019-09-12,200539,43,false,1257545316,2022-10-21T19:20:56Z,"","Matador",0.437,0.764,9,-9.056,1,0.0408,0.000794,0.00404,0.203,0.426,76.977,4
