Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6lUXneXZ9jc3HSMHgd8oqh,"How Can You Mend a Broken Heart","Let's Stay Together","Al Green",1972,383502,71,false,60727spb0sfh9ijzix1ya4dxi,2020-07-10T05:06:45Z,"soul,classic soul,motown,soul blues","Fat Possum",0.467,0.42,4,-6.957,1,0.0398,0.509,0.0000256,0.0707,0.365,146.512,3
spotify:track:3slZPJNIslQBksal1hX1zk,"Tangerine","Contrasts","Jimmy Dorsey & His Orchestra;Bob Eberly;Helen O'Connell",1993-01-01,192533,45,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T19:47:49Z,"big band,swing music","GRP",0.484,0.196,11,-11.087,0,0.0963,0.882,0.00103,0.265,0.399,155.001,3
spotify:track:1U1OeyPu6frcUUrSZ14PjH,"What Did You Mean (When You Said Love)","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,275986,40,false,60727spb0sfh9ijzix1ya4dxi,2020-09-25T09:53:38Z,"retro soul","Ten Good Songs",0.819,0.44,6,-10.801,1,0.178,0.213,0.0364,0.102,0.814,116.717,4
spotify:track:2grjqo0Frpf2okIBiifQKs,"September","The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,215005,76,false,60727spb0sfh9ijzix1ya4dxi,2020-09-23T17:46:16Z,"funk,disco","Columbia/Legacy",0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4
spotify:track:0Tel1fmuCxEFV6wBLXsEdk,"Kiss Me","+","Ed Sheeran",2011-09-09,280853,66,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:29:49Z,"soft pop","Atlantic Records UK",0.589,0.227,2,-16.67,1,0.0498,0.64,0.00469,0.0248,0.182,74.993,4
spotify:track:12q3V8ShACq2PSWINMc2rC,"It's Too Late","Tapestry","Carole King",1971,233552,75,false,60727spb0sfh9ijzix1ya4dxi,2019-11-14T17:03:12Z,"singer-songwriter,folk rock","Ode/Epic/Legacy",0.45,0.442,9,-12.718,0,0.0353,0.493,0.00564,0.134,0.812,208.282,4
spotify:track:7lXOqE38eCr979gp27O5wr,"If I Knew","Unorthodox Jukebox","Bruno Mars",2012-12-07,132640,72,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T20:01:53Z,"","Atlantic Records",0.522,0.413,3,-5.86,1,0.0316,0.722,0,0.0854,0.49,175.972,3
spotify:track:5BmKRyAjCnvkko7Ms00YtA,"Our First Time","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,243004,60,false,60727spb0sfh9ijzix1ya4dxi,2019-11-16T21:49:40Z,"","Atlantic Records",0.709,0.45,9,-8.267,0,0.0428,0.419,0,0.241,0.873,77.986,4
spotify:track:745H5CctFr12Mo7cqa1BMH,"My Girl","The Temptations Sing Smokey","The Temptations",1965-03-22,165000,80,false,60727spb0sfh9ijzix1ya4dxi,2020-09-23T17:45:30Z,"motown,classic soul,soul","UNI/MOTOWN",0.574,0.418,0,-10.739,1,0.0345,0.636,0,0.0961,0.692,104.57,4
spotify:track:7kQkmyoHCEqwe7QwDbkSXM,"Let's Fall in Love for the Night","Let’s Fall In Love For The Night","FINNEAS",2018-10-19,190348,3,true,60727spb0sfh9ijzix1ya4dxi,2020-09-25T19:09:34Z,"","OYOY",0.737,0.408,5,-7.941,1,0.104,0.802,0,0.171,0.374,127.921,4
