Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4H7WNRErSbONkM06blBoGc,"Stay","beerbongs & bentleys","Post Malone",2018-04-27,204426,70,true,60727spb0sfh9ijzix1ya4dxi,2022-11-28T10:29:36Z,"","Republic Records",0.506,0.48,5,-5.418,1,0.0266,0.449,0,0.147,0.351,86.042,4
spotify:track:6PVx8IYQJdeLa2AIJnnFrj,"Revvin' My Cj7","So Polite","Summer Salt",2017-07-18,168205,23,false,60727spb0sfh9ijzix1ya4dxi,2022-11-28T10:29:42Z,"","Cherry Lime Records",0.762,0.468,10,-7.969,1,0.0464,0.934,0.102,0.115,0.347,119.88,4
spotify:track:7yR5ZDif2glYMnFP73uRMm,"Out Like a Light","Out Like a Light","The Honeysticks;Ricky Montgomery",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2022-11-28T10:30:03Z,"","The Honeysticks",0.522,0.458,11,-7.785,1,0.0275,0.17,0.00244,0.072,0.359,125.973,3
spotify:track:4EWBhKf1fOFnyMtUzACXEc,"Pluto Projector","Pony","Rex Orange County",2019-10-25,267518,76,false,60727spb0sfh9ijzix1ya4dxi,2022-11-28T10:30:24Z,"bedroom pop","Rex Orange County",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
spotify:track:0OuOPYd05eORfLw94apb8j,"Street by Street","Street by Street","Laufey",2020-04-06,224098,61,false,60727spb0sfh9ijzix1ya4dxi,2022-11-28T10:31:30Z,"","Laufey",0.694,0.279,0,-10.871,1,0.0546,0.87,0.00000249,0.137,0.216,82.068,4
spotify:track:2gx8bumNIp9AS3JSSYekgc,"Fog in the Mirror","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,241376,25,false,60727spb0sfh9ijzix1ya4dxi,2022-11-28T10:32:42Z,"retro soul","Ten Good Songs",0.736,0.278,3,-14.971,1,0.0517,0.884,0.184,0.111,0.259,101.927,4
spotify:track:6K5w15Q6yccYgd2ZK4Iumn,"Twenty Two and Some Change","Guess I’m Grown Now","Stephen Day",2019-10-11,174240,0,false,60727spb0sfh9ijzix1ya4dxi,2022-11-30T20:28:33Z,"pop soul","Stephen Day",0.655,0.462,8,-9.438,1,0.0673,0.438,0.000462,0.167,0.749,140.382,4
spotify:track:1EM9pvygHqQm03as6sxLg9,"旅路","旅路","Fujii Kaze",2021-03-01,277333,55,false,60727spb0sfh9ijzix1ya4dxi,2022-11-30T20:32:16Z,"j-pop","Universal Music LLC",0.59,0.556,9,-7.124,1,0.07,0.0711,0.00000324,0.08,0.749,171.936,4
spotify:track:3OHfY25tqY28d16oZczHc8,"Kill Bill","SOS","SZA",2022-12-09,153946,79,false,60727spb0sfh9ijzix1ya4dxi,2022-12-24T00:41:25Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,4
spotify:track:3OHfY25tqY28d16oZczHc8,"Kill Bill","SOS","SZA",2022-12-09,153946,79,false,60727spb0sfh9ijzix1ya4dxi,2022-12-28T03:14:51Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,4
