Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3eze1OsZ1rqeXkKStNfTmi,"Juke Jam (feat. Justin Bieber & Towkio)","Coloring Book","Chance the Rapper;Justin Bieber;Towkio",2016-05-27,219683,57,true,60727spb0sfh9ijzix1ya4dxi,2024-10-02T20:44:37Z,"","Chance the Rapper",0.505,0.397,5,-9.349,1,0.324,0.716,0,0.0853,0.558,95.063,1
spotify:track:0CwmdepOxdzJuRwtRVbmVi,"Même les loups versent des larmes de joie","1969","1969 Collective;Louis-Jean Cormier",2022-04-12,251186,24,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T20:48:26Z,"chanson québécoise,folk québécois,pop québécoise,rock quebecois","Connor Seidel",0.398,0.252,7,-14.272,1,0.0366,0.931,0.0247,0.103,0.453,79.065,4
spotify:track:5bTuwAgYUD5MABOIPH8ZMt,"You Know What They Do to Guys Like Us in Prison","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,173733,68,true,60727spb0sfh9ijzix1ya4dxi,2024-10-02T20:49:36Z,"emo,pop punk","Reprise",0.387,0.913,8,-3.761,1,0.0814,0.00366,0,0.136,0.674,185.957,4
spotify:track:6RgrpOgbTI3M2qvA8XIvTb,"Shuggie","We Are the 21st Century Ambassadors of Peace & Magic","Foxygen",2013-01-22,201706,51,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T20:49:49Z,"baroque pop,neo-psychedelic","Jagjaguwar",0.467,0.645,1,-7.614,0,0.0365,0.101,0.00515,0.144,0.71,127.468,3
spotify:track:5PA2Q9hBo1gmB3RlA8TZa2,"C’est Comme Ça (Re: Wet Leg)","Re: This Is Why","Paramore;Wet Leg",2023-10-06,144593,46,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T21:07:48Z,"pop punk,emo,indie rock,indie","Atlantic Records",0.627,0.755,0,-4.973,1,0.0408,0.00101,0.777,0.0409,0.74,152.169,4
spotify:track:2bt1cEwiLzcClL5bTs0ezd,"Hospital","Revealer","Madison Cunningham",2022-09-09,213328,38,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T21:11:13Z,"","Verve Forecast",0.547,0.507,4,-8.717,1,0.0353,0.527,0,0.268,0.673,142.102,4
spotify:track:6AGklQLROYjvD8qxAPrk3b,"No Thinking Over the Weekend - Bonus Track","The Loneliest Time","Carly Rae Jepsen",2022-10-21,282425,34,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T21:20:05Z,"","Silent Records IGA",0.602,0.452,8,-9.924,1,0.0616,0.801,0.234,0.106,0.608,75.004,4
spotify:track:5Yx9t9RgATAtYoHN8gbRM0,"Fool","Next Thing","Frankie Cosmos",2016-04-01,124021,71,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T21:26:17Z,"bedroom pop","Bayonet Records",0.511,0.435,9,-10.254,1,0.0408,0.301,0.000082,0.255,0.343,120.207,4
spotify:track:5fayurvS00m3T7fcXBkb7e,"End Of The World","Covered In Hether","Hether",2023-03-17,160675,30,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T21:30:09Z,"bedroom pop","ear slime c/o R&R Digital",0.612,0.175,11,-16.338,0,0.0323,0.97,0.00176,0.131,0.239,95.86,3
spotify:track:6GtX0jaNL8IjVQfrDBx81z,"Bullet With Butterfly Wings - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,258466,78,false,60727spb0sfh9ijzix1ya4dxi,2024-10-02T21:43:25Z,"alternative rock,rock","Virgin Records",0.404,0.72,10,-9.18,0,0.0623,0.0000559,0.836,0.0466,0.475,121.864,4
spotify:track:4zIeRcsaho6lZuaXEYR1y3,"Easier Said Than Done","Thee Sacred Souls","Thee Sacred Souls",2022-08-26,174706,72,false,60727spb0sfh9ijzix1ya4dxi,2024-10-05T00:50:02Z,"retro soul","Penrose / Daptone Records",0.547,0.399,10,-9.808,1,0.0246,0.668,0.00000281,0.132,0.563,84.127,4
spotify:track:30jui3PqevssdIVpjEWM38,"Is there free breakfast here?","Ugly Duck","Hotel Ugly",2023-03-24,129199,66,false,60727spb0sfh9ijzix1ya4dxi,2024-10-05T00:55:44Z,"","Hotel Ugly under exclusive license to Amuseio AB",0.615,0.373,2,-10.173,1,0.0278,0.597,0.00312,0.224,0.337,74.986,4
spotify:track:5qbhVL3vB7HwWvb0042B7y,"The Heart Part 5","Mr. Morale & The Big Steppers","Kendrick Lamar",2022-05-13,332228,60,true,60727spb0sfh9ijzix1ya4dxi,2024-10-05T13:49:25Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.7,0.812,1,-8.128,0,0.297,0.183,0,0.0756,0.801,97.405,4
spotify:track:0OA00aPt3BV10qeMIs3meW,"Big Dawgs","Big Dawgs","Hanumankind;Kalmi",2024-07-09,190666,77,true,60727spb0sfh9ijzix1ya4dxi,2024-10-06T23:56:29Z,"malayalam hip hop,desi hip hop","Universal Music India Pvt Ltd.",0.464,0.745,4,-3.202,0,0.161,0.0235,0,0.363,0.262,180.098,4
spotify:track:3jjsRKEsF42ccXf8kWR3nu,"Washing Machine Heart","Be the Cowboy","Mitski",2018-08-17,128198,83,false,60727spb0sfh9ijzix1ya4dxi,2024-10-07T01:38:41Z,"","Dead Oceans",0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,4
spotify:track:37ZgsOy8t4vMnGtMExr6ah,"Threat of Joy","Future Present Past","The Strokes",2016-06-03,264724,57,true,60727spb0sfh9ijzix1ya4dxi,2024-10-08T00:13:49Z,"garage rock,indie rock,alternative rock","Cult Records",0.59,0.704,0,-7.058,1,0.0284,0.223,0.0825,0.103,0.691,137.968,4
spotify:track:6BJa9yMDEybRoz41oTjPjC,"Dos Uno Nueve (219)","Dos Uno Nueve (219)","Omar Apollo",2020-09-28,187417,20,true,60727spb0sfh9ijzix1ya4dxi,2024-10-08T01:39:06Z,"bedroom pop","Warner Records",0.695,0.856,9,-4.916,0,0.0526,0.3,0.00000152,0.319,0.548,99.98,3
spotify:track:5Gt9bxniM1SxN61yRzRhXL,"United In Grief","Mr. Morale & The Big Steppers","Kendrick Lamar",2022-05-13,255377,75,true,60727spb0sfh9ijzix1ya4dxi,2024-10-08T02:11:47Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.529,0.845,8,-8.142,1,0.404,0.244,0,0.143,0.331,85.63,3
spotify:track:5xoYormSTltk6F9SlQV6mm,"Mirror","Mr. Morale & The Big Steppers","Kendrick Lamar",2022-05-13,256006,63,true,60727spb0sfh9ijzix1ya4dxi,2024-10-08T02:15:22Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.652,0.67,2,-8.766,1,0.0639,0.225,0.000014,0.0804,0.274,91.933,4
