Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0uRzka6sn4LVUj8sHQELYz,"Shame","Legends","Evelyn ""Champagne"" King",2005-02-05,393240,43,false,gabrielerosenthal,2021-02-07T15:06:58Z,"post-disco,disco,funk","RCA Camden",0.679,0.85,11,-6.131,0,0.0371,0.00289,0.115,0.0633,0.822,134.49,4
spotify:track:7s25THrKz86DM225dOYwnr,"Respect","I Never Loved a Man the Way I Love You","Aretha Franklin",1967-03-10,147600,75,false,gabrielerosenthal,2021-02-07T15:12:18Z,"soul,motown,classic soul","Rhino Atlantic",0.805,0.558,0,-5.226,1,0.041,0.164,0.000022,0.0546,0.965,114.95,4
spotify:track:28FV24JwOffzOZwQF9hiEq,"Meant To Be","Hot","Squirrel Nut Zippers",1997-09-01,191906,0,false,gabrielerosenthal,2017-06-28T13:20:41Z,"swing music,big band","Hollywood Records Inc.",0.652,0.18,5,-13.681,1,0.0293,0.771,0.000195,0.337,0.288,90.432,4
spotify:track:2tY1oPAXPoNWJQ8CU6nEK4,"No Regrets","30 By Ella","Ella Fitzgerald",1968,589266,28,false,gabrielerosenthal,2017-06-28T13:17:12Z,"vocal jazz,jazz,swing music,big band,christmas","Blue Note Records",0.501,0.208,5,-13.994,1,0.0398,0.925,0.0000062,0.119,0.209,83.676,4
spotify:track:2Y8aCY4ek0s62o9E5Te25a,"Just You, Just Me","Katharine Whalen's Jazz Squad","Katharine Whalen",1999-01-01,202346,21,false,gabrielerosenthal,2023-02-01T12:33:49Z,"","Mammoth Records",0.708,0.28,2,-10.519,0,0.0337,0.786,0.000139,0.0891,0.512,91.817,4
spotify:track:1rCamQVsAQRA23Eoax7Ywm,"They Can't Take That Away From Me","Ella & Louis (Classics International Version)","Ella Fitzgerald;Louis Armstrong",1956,278026,0,false,gabrielerosenthal,2021-02-07T15:41:30Z,"vocal jazz,jazz,swing music,big band,christmas","Universal Music Group",0.553,0.187,3,-15.315,1,0.0851,0.594,0,0.116,0.411,105.211,4
spotify:track:50fonY7NSzBiRpA5egFcMH,"Love Is the Groove","Believe","Cher;Humberto Gatica",1998,271133,34,false,gabrielerosenthal,2021-02-07T15:40:04Z,"","Warner Records",0.616,0.845,0,-7.798,1,0.0308,0.314,0.00264,0.125,0.559,126.985,4
spotify:track:2jdpfYfvTQBQ9xTUpsbdTw,"Longing","Night Song (Real World Gold)","Nusrat Fateh Ali Khan;Michael Brook",1995,335600,0,false,gabrielerosenthal,2017-09-17T21:40:40Z,"qawwali,ghazal,sufi","Real World Records",0.483,0.557,2,-11.779,1,0.0422,0.413,0.635,0.0728,0.0936,91.998,4
spotify:track:2bYBXVA70ZfJ8Q2qdKnXSI,"Anna","Spinning World","Gunnar Madsen",1997,185026,34,false,gabrielerosenthal,2017-06-27T11:04:06Z,"","G-Spot Records",0.315,0.0744,1,-14.954,1,0.0318,0.981,0.821,0.0718,0.185,142.306,3
spotify:track:6b8IKVufOkAawvQVguQxmo,"I Will Survive","Universal Masters Collection","Gloria Gaynor",1999-01-01,197573,0,false,gabrielerosenthal,2021-02-07T15:56:57Z,"disco","Polydor",0.773,0.641,0,-10.375,1,0.0421,0.0154,0.00104,0.302,0.66,116.287,4
