Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2UxjLCoAEfrcGkOpv6SJhQ,"This December","Montgomery Ricky","Ricky Montgomery",2016-04-08,181920,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-10T01:12:19Z,"","Ricky Montgomery Records",0.658,0.873,9,-4.873,1,0.0504,0.0253,0,0.132,0.891,139.934,4
spotify:track:15j6KDfMDmWBvXtCEESm0v,"Made for Wesley","Trio","Jimmy Rosenberg;Nomy Rosenberg",2004-03-29,199418,32,false,60727spb0sfh9ijzix1ya4dxi,2020-03-09T01:10:51Z,"swing music,french jazz","Hot Club Records",0.58,0.463,7,-10.07,1,0.0339,0.952,0.86,0.0937,0.749,159.982,4
spotify:track:61TvY6ElUmXZRZ4PGn5hXd,"Chega De Saudade","Trio","Jimmy Rosenberg;Nomy Rosenberg",2004-03-29,227395,21,false,60727spb0sfh9ijzix1ya4dxi,2020-03-09T01:44:30Z,"swing music,french jazz","Hot Club Records",0.629,0.532,9,-8.218,1,0.0375,0.924,0.871,0.112,0.647,164.365,4
spotify:track:1U1OeyPu6frcUUrSZ14PjH,"What Did You Mean (When You Said Love)","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,275986,40,false,60727spb0sfh9ijzix1ya4dxi,2020-02-16T21:48:16Z,"retro soul","Ten Good Songs",0.819,0.44,6,-10.801,1,0.178,0.213,0.0364,0.102,0.814,116.717,4
spotify:track:7kQkmyoHCEqwe7QwDbkSXM,"Let's Fall in Love for the Night","Let’s Fall In Love For The Night","FINNEAS",2018-10-19,190348,3,true,60727spb0sfh9ijzix1ya4dxi,2020-02-24T17:19:28Z,"","OYOY",0.737,0.408,5,-7.941,1,0.104,0.802,0,0.171,0.374,127.921,4
spotify:track:25xtIqksRfkr3CHwQXWG6D,"Wasso's Waltz - Alternative version","The Alternative","Jimmy Rosenberg;Biréli Lagrène;Angelo DeBarre;Svein Aarbostad",2013-03-18,164706,4,false,60727spb0sfh9ijzix1ya4dxi,2020-03-09T01:34:34Z,"swing music,french jazz,jazz fusion,jazz","Hot Club Records",0.524,0.57,7,-9.428,1,0.042,0.782,0.927,0.116,0.839,124.457,3
spotify:track:2rd4FH1cSaWGc0ZiUaMbX9,"Lover Boy","Lover Boy","Phum Viphurit",2018-03-22,236727,57,false,60727spb0sfh9ijzix1ya4dxi,2020-03-03T19:56:40Z,"bedroom pop","Rats Records",0.798,0.556,11,-8.597,1,0.0303,0.527,0.000353,0.0959,0.627,109.994,4
spotify:track:67EUBsc4qosGOVbaYy6TeX,"Boys Will Be Bugs","Animal Kingdom: Comet","Cavetown",2018-12-11,329049,0,true,60727spb0sfh9ijzix1ya4dxi,2020-03-03T20:23:21Z,"bedroom pop","Oat Milk",0.608,0.528,1,-11.722,1,0.0338,0.00387,0.000014,0.106,0.454,89.221,4
spotify:track:6ikeNpeQ5zBO98brvwSzN0,"Out Like a Light","Out Like a Light","The Honeysticks",2017-06-16,256018,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-03T21:58:48Z,"","The Honeysticks",0.523,0.458,11,-7.785,1,0.0275,0.171,0.00244,0.072,0.359,125.954,3
spotify:track:2J3SR4n0YiQYCsghgeqZcB,"I Don't Miss You at All","Blood Harmony","FINNEAS",2019-10-04,128916,0,false,60727spb0sfh9ijzix1ya4dxi,2020-02-24T17:35:19Z,"","OYOY",0.838,0.316,1,-7.57,0,0.224,0.61,0.000446,0.103,0.531,148.147,4
spotify:track:4JkKXuKp2RdbE5M7L4z19Z,"Lovesong (The Way) [feat. Bluets]","One, Violet","Charlie Burg;Bluets",2017-09-18,239523,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-03T19:35:49Z,"","Charlie Burg",0.555,0.468,9,-7.64,1,0.0592,0.399,0,0.172,0.41,113.345,3
spotify:track:6gDjre0iU1dTMyjJkOQqNP,"I Don't Love You Anymore","I Don't Love You Anymore","The Honeysticks",2018-02-09,225415,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-10T00:48:01Z,"","The Honeysticks",0.684,0.553,2,-8.826,1,0.0392,0.153,0.484,0.164,0.649,120.054,4
spotify:track:4MafcjCchkKwvkJjTpxrAn,"String Quartet No. 5: I. Poco Andantino - Un poco vivo - Tempo Primo - Lento - Allegro vivace - Vivo - Presto","Villa-Lobos, H.: The Complete String Quartets","Heitor Villa-Lobos;Cuarteto Latinoamericano",2009-01-01,357133,0,false,60727spb0sfh9ijzix1ya4dxi,2020-03-12T06:01:25Z,"neoclassical,chamber music,contemporary classical","Sono Luminus",0.375,0.0906,7,-18.977,1,0.0449,0.974,0.367,0.0904,0.208,134.8,4
spotify:track:1aEcZKCwqln3s3VvY5Kwxl,"You Could Be President","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,236814,36,false,60727spb0sfh9ijzix1ya4dxi,2020-03-19T17:42:32Z,"retro soul","Ten Good Songs",0.693,0.723,2,-6.164,1,0.142,0.194,0.337,0.118,0.881,86.815,4
spotify:track:3WJ9kGj30zXsIEEo1fdKfv,"The Death of Us","Modern Johnny Sings: Songs in the Age of Vibe","Theo Katzman",2020-01-10,226986,44,false,60727spb0sfh9ijzix1ya4dxi,2020-03-19T17:42:59Z,"retro soul","Ten Good Songs",0.962,0.551,0,-7.579,1,0.0551,0.171,0.169,0.0515,0.919,125.484,4
