Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3wk5UPZ5cVFD6rBpQsFQyD,"I Want You Back","Metamorphosis Complete","Infinity Song",2024-06-14,182105,40,false,60727spb0sfh9ijzix1ya4dxi,2024-11-01T11:51:29Z,"","Roc Nation Records, LLC",0.627,0.388,4,-10.969,1,0.0278,0.634,0.00178,0.248,0.645,96.01,4
spotify:track:6BrMEbPSSj55nQhkgf6DnE,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster","Hatful of Hollow","The Smiths",1984,112706,80,false,60727spb0sfh9ijzix1ya4dxi,2024-11-01T11:51:50Z,"new wave,madchester,jangle pop","WM UK",0.241,0.468,2,-9.579,1,0.0272,0.534,0,0.161,0.451,91.581,3
spotify:track:7szBZqBJuj9eAC8HJ4CyTM,"That I Miss You","That I Miss You","Vansire",2018-07-17,140116,56,false,60727spb0sfh9ijzix1ya4dxi,2024-11-01T11:52:07Z,"bedroom pop","Vansire",0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
spotify:track:1jZrlerU1ZWEI7oDPtHPGx,"MESS U MADE","AFTER DINNER WE TALK DREAMS","MICHELLE",2022-03-04,168542,45,true,60727spb0sfh9ijzix1ya4dxi,2024-11-01T11:52:13Z,"bedroom pop","Canvasback/ATL",0.674,0.366,4,-6.539,1,0.0381,0.341,0.0000073,0.125,0.346,126.994,3
spotify:track:4zQcasVVldXnKad9bm42eO,"See You Later","Mic City Sons","Heatmiser",1996-01-01,223000,43,false,60727spb0sfh9ijzix1ya4dxi,2024-11-01T11:53:18Z,"","Astralwerks",0.434,0.586,7,-6.573,1,0.0267,0.0508,0.000472,0.105,0.447,171.436,4
spotify:track:1A8QcZJKhUmJwdqzoAahvR,"Open My Door","Shelter","Alice Phoebe Lou",2023-07-07,153110,65,false,60727spb0sfh9ijzix1ya4dxi,2024-11-01T13:06:14Z,"","Alice Phoebe Lou",0.498,0.499,0,-6.681,1,0.0302,0.264,0.000605,0.269,0.559,144.84,3
spotify:track:3xnM0WCRJKk4Iz49rkG5OC,"I Hope to Be Around","I Hope to Be Around","Men I Trust",2017-11-10,205554,64,false,60727spb0sfh9ijzix1ya4dxi,2024-11-01T13:06:28Z,"bedroom pop,indie pop","Men I Trust",0.821,0.384,11,-9.353,1,0.0388,0.78,0.00138,0.11,0.79,87.978,4
spotify:track:6PUPRb62MyZo6MRlEQZKFq,"Dusk","Glow","Alice Phoebe Lou",2021-03-19,171890,29,false,60727spb0sfh9ijzix1ya4dxi,2024-11-01T13:34:26Z,"","Alice Phoebe Lou",0.852,0.3,9,-6.742,0,0.0713,0.194,0.0259,0.112,0.575,94.006,4
spotify:track:0C3sscH57PNeQ8dmY6xTIR,"SUNRISE","SUNRISE","MICHELLE",2020-07-16,176940,49,false,60727spb0sfh9ijzix1ya4dxi,2024-11-01T16:10:28Z,"bedroom pop","Canvasback/ATL",0.821,0.444,7,-5.954,1,0.0796,0.16,0.0191,0.301,0.678,87.029,4
spotify:track:5Xjh7Ew2mqrajmvTTZN231,"Cinema","TOTEP","Kero Kero Bonito",2018-02-20,126306,45,false,60727spb0sfh9ijzix1ya4dxi,2024-11-02T12:53:28Z,"","Kero Kero Bonito",0.88,0.506,6,-6.664,0,0.0353,0.227,0.0000795,0.074,0.758,114.038,4
spotify:track:7yNf9YjeO5JXUE3JEBgnYc,"Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,84,false,60727spb0sfh9ijzix1ya4dxi,2024-11-03T16:50:54Z,"","Columbia",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
spotify:track:5CBqLg9XdeEHcknJX0fZIJ,"Paul - 2023 Remaster","Masterpiece (2023 Remaster)","Big Thief",2016,183894,69,true,60727spb0sfh9ijzix1ya4dxi,2024-11-03T19:44:06Z,"","4AD",0.473,0.342,11,-8.568,1,0.0343,0.134,0.0000347,0.115,0.225,123.472,4
spotify:track:0tXFWZC3ZF44vgi0h2o4iI,"Mirada","MIRADA","Ivan Cornejo",2024-07-19,167522,76,false,60727spb0sfh9ijzix1ya4dxi,2024-11-15T13:46:18Z,"sad sierreño,corridos tumbados,música mexicana,corrido,sierreño","Interscope Records",0.69,0.393,4,-10.255,1,0.0367,0.752,0.0023,0.109,0.225,95.008,4
spotify:track:1camd9eP6HEbhNjXww8FKN,"Sunflower","Sunflower","Michele Leigh",2020-04-21,165254,54,false,60727spb0sfh9ijzix1ya4dxi,2024-12-11T19:11:18Z,"","Revolution Records",0.683,0.273,7,-11.458,1,0.0285,0.324,0.0000379,0.244,0.719,90.059,4
spotify:track:6Ijmj8Z0L31hCp5pLZnT5U,"Numb","Numb","Men I Trust",2019-04-12,219340,69,false,60727spb0sfh9ijzix1ya4dxi,2025-03-11T11:49:59Z,"bedroom pop,indie pop","Independent",0.783,0.303,4,-14.393,1,0.0527,0.811,0.945,0.109,0.65,138.816,4
spotify:track:0Z94dtWElamDwU4NrcGoUR,"Better","i'll be okay","sign crushes motorist",2022-08-05,98750,65,false,60727spb0sfh9ijzix1ya4dxi,2025-03-11T11:54:56Z,"slowcore","sign crushes motorist",0.696,0.0867,7,-25.203,1,0.0418,0.988,0.922,0.108,0.349,129.989,4
spotify:track:677tTabxmQFZjoNlo2E6JW,"Computer Love","All the Greatest Hits","Zapp",1993-09-28,282480,54,false,60727spb0sfh9ijzix1ya4dxi,2025-03-17T00:49:23Z,"funk,post-disco","Rhino/Warner Records",0.668,0.698,7,-7.222,0,0.123,0.279,0,0.554,0.71,84.578,4
spotify:track:4ExoRP6SDTO8LvYIjUsyiK,"I can do what I want","I can do what I want","Mei Semones",2025-03-04,180606,33,false,60727spb0sfh9ijzix1ya4dxi,2025-03-17T00:49:49Z,"japanese indie,indie jazz","Bayonet Records",0.361,0.532,7,-7.032,1,0.0792,0.642,0.0000141,0.153,0.357,171.709,4
spotify:track:3sslYZcFKtUvIEWN9lADgr,"First Love/Late Spring","Bury Me At Makeout Creek","Mitski",2014-11-11,278640,77,false,60727spb0sfh9ijzix1ya4dxi,2025-03-17T01:19:40Z,"","Dead Oceans",0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,4
